R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
155,25,1500,180,25,1800,400,100,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1X,GPT1Y,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z
142.654,-6.141,4.420,-4.101,-0.560,-0.509,-0.618,-0.651,-0.941,0.790,9.764,-0.979,0.777,9.761,-0.983,0.782,9.760
142.665,2.281,2.101,7.617,-0.288,-0.368,-0.491,-0.594,-0.962,0.754,9.742,-0.984,0.776,9.755,-0.983,0.781,9.759
142.677,-3.699,0.636,3.466,-0.062,-0.475,-0.346,-0.539,-0.969,0.754,9.750,-0.985,0.777,9.754,-0.983,0.780,9.758
142.687,5.089,4.054,5.419,0.256,-0.009,-0.204,-0.472,-0.977,0.783,9.721,-0.984,0.780,9.745,-0.984,0.780,9.756
142.698,-3.577,1.490,-3.979,-0.129,0.909,-0.123,-0.003,-1.020,0.790,9.764,-0.987,0.782,9.750,-0.984,0.780,9.754
142.710,4.113,-2.415,8.471,1.302,0.910,0.173,0.388,-0.984,0.768,9.721,-0.979,0.780,9.747,-0.983,0.780,9.753
142.721,1.671,5.152,-2.514,0.662,0.888,0.395,0.502,-0.941,0.790,9.764,-0.972,0.782,9.756,-0.981,0.780,9.753
142.733,-5.897,-1.072,-3.369,-0.272,0.626,0.406,0.575,-0.934,0.783,9.771,-0.970,0.787,9.751,-0.979,0.782,9.752
142.743,-2.601,4.298,1.147,-0.685,-0.248,0.097,0.365,-0.962,0.725,9.778,-0.974,0.782,9.759,-0.978,0.782,9.753
142.755,0.450,1.368,-1.294,-0.717,0.553,-0.310,0.307,-1.005,0.819,9.771,-0.979,0.787,9.764,-0.977,0.783,9.756
142.766,-1.502,-1.561,-6.543,-0.249,-0.068,-0.256,0.291,-0.991,0.761,9.778,-0.972,0.784,9.765,-0.976,0.784,9.758
