R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
145,25,1500,170,25,1800,400,100,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1Y,GPT1X,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1Y,APT1Z,APT1X,APT2X,APT2Y,APT2Z
257.794,1.183,-0.950,-5.688,0.511,0.071,0.074,0.463,-0.172,-0.596,9.821,-0.152,-0.582,9.844,-0.149,-0.578,9.844
257.806,-3.089,0.880,2.856,-0.234,0.630,0.080,0.632,-0.208,-0.596,9.872,-0.158,-0.590,9.845,-0.150,-0.581,9.844
257.817,-1.502,-4.612,0.292,-0.151,-0.427,0.040,0.424,-0.129,-0.560,9.850,-0.157,-0.580,9.847,-0.152,-0.581,9.845
257.827,0.328,-4.246,6.640,-0.893,-0.504,-0.251,0.177,-0.179,-0.596,9.857,-0.157,-0.583,9.845,-0.153,-0.581,9.845
257.839,-2.234,-1.072,-4.590,-0.716,-0.712,-0.463,-0.190,-0.179,-0.610,9.800,-0.156,-0.591,9.847,-0.154,-0.583,9.846
257.851,1.671,0.147,-10.571,-0.192,0.332,-0.363,-0.081,-0.158,-0.639,9.850,-0.153,-0.597,9.846,-0.154,-0.586,9.845
257.862,2.037,2.223,-1.660,0.507,0.053,-0.165,0.020,-0.143,-0.617,9.807,-0.151,-0.593,9.835,-0.153,-0.588,9.844
257.874,2.526,3.077,-3.369,-0.051,-0.023,-0.158,-0.038,-0.179,-0.589,9.872,-0.154,-0.593,9.838,-0.153,-0.589,9.842
257.884,0.817,-1.805,4.443,0.133,-0.252,-0.135,-0.053,-0.136,-0.581,9.850,-0.150,-0.595,9.839,-0.153,-0.590,9.841
257.895,-2.723,-2.171,-2.637,-1.158,-0.691,-0.410,-0.156,-0.129,-0.553,9.857,-0.153,-0.595,9.847,-0.153,-0.592,9.842
257.907,1.915,6.373,2.368,-0.734,-0.218,-0.597,-0.351,-0.129,-0.560,9.793,-0.147,-0.586,9.849,-0.152,-0.592,9.844
257.918,-0.892,-4.857,-1.294,-1.162,-0.194,-0.811,-0.190,-0.057,-0.560,9.872,-0.134,-0.587,9.852,-0.149,-0.590,9.845
257.929,3.502,-2.049,7.006,-1.287,-0.922,-1.010,-0.328,-0.158,-0.581,9.829,-0.137,-0.584,9.852,-0.146,-0.589,9.847
257.940,-4.676,-2.659,1.269,0.323,-1.223,-0.631,-0.617,-0.122,-0.653,9.886,-0.138,-0.588,9.862,-0.144,-0.588,9.850
257.952,-1.136,3.932,-0.805,1.008,0.142,-0.071,-0.496,-0.143,-0.574,9.829,-0.136,-0.591,9.851,-0.142,-0.589,9.851
257.963,-0.403,-6.077,-2.148,1.292,0.182,0.371,-0.057,-0.122,-0.610,9.843,-0.137,-0.596,9.849,-0.141,-0.589,9.851
