R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1600,200,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
150.578,4.417,-0.354,1.460,0.308,-0.071,9.836,0.311,-0.094,9.856,0.310,-0.103,9.854,-0.418,-1.799,-0.551,-1.808,-0.600,-1.804
150.589,-0.221,-1.086,2.436,0.301,-0.136,9.843,0.310,-0.097,9.853,0.310,-0.101,9.854,-0.794,-1.756,-0.565,-1.803,-0.590,-1.804
150.599,-1.075,1.110,-4.155,0.301,-0.079,9.829,0.309,-0.096,9.853,0.310,-0.100,9.854,-0.460,-1.759,-0.563,-1.802,-0.586,-1.803
150.609,-7.057,-0.964,-5.620,0.280,-0.093,9.857,0.308,-0.098,9.850,0.310,-0.100,9.853,-0.542,-1.628,-0.574,-1.791,-0.583,-1.803
150.619,-4.982,-0.476,1.948,0.330,-0.114,9.814,0.312,-0.106,9.847,0.310,-0.101,9.852,-0.671,-1.929,-0.619,-1.821,-0.588,-1.804
150.630,-1.442,-2.307,-1.347,0.308,-0.093,9.836,0.310,-0.105,9.842,0.310,-0.102,9.850,-0.544,-1.799,-0.613,-1.810,-0.595,-1.806
150.640,-1.686,-0.964,2.192,0.301,-0.100,9.829,0.307,-0.105,9.841,0.309,-0.102,9.848,-0.586,-1.759,-0.612,-1.788,-0.598,-1.803
150.650,0.999,-6.579,-5.376,0.301,-0.093,9.865,0.304,-0.103,9.851,0.308,-0.103,9.848,-0.542,-1.752,-0.601,-1.771,-0.600,-1.797
150.660,1.609,-2.185,-3.911,0.308,-0.129,9.893,0.307,-0.106,9.846,0.308,-0.103,9.847,-0.748,-1.789,-0.617,-1.790,-0.601,-1.795
150.670,-3.517,-9.021,-4.521,0.330,-0.107,9.836,0.311,-0.108,9.848,0.308,-0.104,9.848,-0.627,-1.925,-0.629,-1.811,-0.605,-1.797
150.681,7.713,2.453,3.779,0.308,-0.093,9.821,0.310,-0.106,9.847,0.309,-0.104,9.848,-0.544,-1.802,-0.621,-1.806,-0.610,-1.800
150.691,-4.005,3.430,-1.835,0.301,-0.114,9.843,0.307,-0.110,9.851,0.309,-0.105,9.849,-0.669,-1.756,-0.639,-1.790,-0.615,-1.798
150.701,4.539,2.575,11.714,0.323,-0.100,9.786,0.310,-0.106,9.842,0.309,-0.106,9.848,-0.588,-1.893,-0.620,-1.809,-0.617,-1.799
150.711,-4.738,2.087,-0.737,0.301,-0.100,9.778,0.310,-0.105,9.834,0.309,-0.106,9.846,-0.589,-1.768,-0.617,-1.810,-0.617,-1.802
150.722,-3.395,-2.429,7.563,0.308,-0.079,9.843,0.310,-0.104,9.837,0.310,-0.106,9.844,-0.460,-1.798,-0.606,-1.809,-0.617,-1.804
150.732,1.365,-0.109,1.948,0.301,-0.122,9.850,0.309,-0.106,9.843,0.309,-0.106,9.843,-0.710,-1.755,-0.620,-1.799,-0.617,-1.804
150.742,0.633,1.355,-0.493,0.323,-0.100,9.886,0.309,-0.104,9.847,0.309,-0.105,9.843,-0.582,-1.873,-0.608,-1.801,-0.615,-1.802
150.752,-0.953,-3.283,2.802,0.280,-0.086,9.843,0.306,-0.102,9.849,0.309,-0.105,9.845,-0.501,-1.631,-0.596,-1.784,-0.612,-1.802
150.763,11.009,2.453,1.826,0.323,-0.122,9.908,0.306,-0.099,9.854,0.308,-0.104,9.846,-0.706,-1.869,-0.578,-1.780,-0.606,-1.796
150.773,3.929,2.697,-5.009,0.301,-0.136,9.865,0.304,-0.099,9.855,0.308,-0.102,9.848,-0.792,-1.752,-0.579,-1.770,-0.598,-1.792
150.783,2.097,0.378,-0.493,0.330,-0.100,9.908,0.307,-0.105,9.860,0.307,-0.102,9.850,-0.581,-1.911,-0.611,-1.789,-0.598,-1.789
150.794,-1.564,2.453,8.784,0.316,-0.057,9.857,0.305,-0.101,9.856,0.307,-0.103,9.851,-0.334,-1.837,-0.589,-1.778,-0.599,-1.787
150.804,-4.982,-0.109,-8.794,0.323,-0.143,9.879,0.305,-0.104,9.852,0.306,-0.102,9.851,-0.833,-1.875,-0.605,-1.777,-0.598,-1.784
150.814,1.975,-3.161,-3.300,0.280,-0.107,9.850,0.303,-0.101,9.854,0.306,-0.102,9.852,-0.626,-1.630,-0.588,-1.766,-0.596,-1.782
150.825,2.464,1.965,5.854,0.280,-0.158,9.857,0.304,-0.103,9.850,0.306,-0.102,9.851,-0.918,-1.628,-0.599,-1.772,-0.593,-1.780
150.835,-2.052,-0.964,0.727,0.316,-0.100,9.879,0.306,-0.099,9.852,0.306,-0.101,9.851,-0.583,-1.833,-0.580,-1.779,-0.592,-1.779
150.845,1.243,0.378,-5.131,0.301,-0.122,9.886,0.301,-0.107,9.853,0.305,-0.102,9.851,-0.707,-1.749,-0.625,-1.753,-0.597,-1.775
