R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
155,25,1600,180,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
284.414,2.220,2.331,3.779,0.158,-0.467,9.857,0.182,-0.428,9.854,0.182,-0.421,9.853,-2.713,-0.918,-2.488,-1.062,-2.452,-1.062
284.425,4.661,-3.283,-9.648,0.201,-0.416,9.872,0.185,-0.423,9.864,0.183,-0.422,9.855,-2.417,-1.167,-2.456,-1.076,-2.455,-1.064
284.435,9.056,-1.452,1.826,0.165,-0.445,9.872,0.185,-0.422,9.865,0.183,-0.422,9.857,-2.584,-0.958,-2.452,-1.074,-2.453,-1.067
284.445,6.614,-4.626,3.535,0.215,-0.431,9.865,0.186,-0.417,9.864,0.184,-0.421,9.859,-2.502,-1.251,-2.426,-1.080,-2.448,-1.068
284.456,-0.831,-1.452,0.971,0.150,-0.409,9.865,0.181,-0.413,9.862,0.183,-0.419,9.860,-2.378,-0.875,-2.402,-1.051,-2.439,-1.068
284.466,-2.174,2.209,1.948,0.179,-0.452,9.857,0.180,-0.420,9.864,0.183,-0.419,9.860,-2.629,-1.043,-2.444,-1.049,-2.436,-1.064
284.476,2.464,-6.213,2.192,0.179,-0.359,9.865,0.178,-0.417,9.866,0.182,-0.419,9.862,-2.086,-1.042,-2.421,-1.038,-2.438,-1.059
284.487,2.708,-3.283,-3.789,0.208,-0.337,9.893,0.185,-0.408,9.868,0.182,-0.418,9.863,-1.955,-1.206,-2.370,-1.077,-2.430,-1.060
284.497,2.342,-0.964,2.925,0.150,-0.409,9.843,0.185,-0.406,9.870,0.183,-0.415,9.864,-2.383,-0.877,-2.361,-1.079,-2.415,-1.066
284.507,0.266,3.430,-3.666,0.186,-0.388,9.908,0.183,-0.405,9.871,0.183,-0.413,9.866,-2.243,-1.079,-2.354,-1.064,-2.403,-1.066
