R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
315.405,-2.964,5.685,-3.145,5.604,-3.082,5.609,-3.086,5.606,-3.099,5.628
315.416,-2.964,5.643,-3.148,5.600,-3.075,5.641,-3.078,5.638,-3.096,5.630
315.427,-3.303,5.525,-3.153,5.598,-3.076,5.682,-3.074,5.681,-3.093,5.645
315.438,-2.968,5.651,-3.168,5.596,-3.119,5.671,-3.108,5.670,-3.095,5.664
315.450,-2.891,5.622,-3.175,5.595,-3.106,5.682,-3.100,5.680,-3.101,5.673
315.461,-3.018,5.834,-3.170,5.590,-3.086,5.668,-3.086,5.668,-3.101,5.682
315.472,-3.313,5.416,-3.163,5.591,-3.090,5.669,-3.091,5.671,-3.098,5.686
315.483,-3.138,5.530,-3.160,5.583,-3.076,5.650,-3.079,5.658,-3.091,5.683
315.495,-3.009,5.481,-3.158,5.577,-3.085,5.627,-3.086,5.635,-3.082,5.676
315.506,-3.434,5.786,-3.157,5.573,-3.072,5.647,-3.070,5.650,-3.076,5.669
315.517,-3.137,5.696,-3.162,5.578,-3.057,5.642,-3.054,5.642,-3.068,5.664
315.528,-3.223,5.700,-3.165,5.596,-3.063,5.660,-3.059,5.648,-3.060,5.661
315.540,-3.212,5.679,-3.169,5.609,-3.066,5.675,-3.059,5.661,-3.057,5.665
315.551,-3.136,5.567,-3.167,5.611,-3.062,5.697,-3.064,5.691,-3.054,5.675
315.562,-3.313,5.879,-3.154,5.609,-3.075,5.690,-3.081,5.682,-3.063,5.682
315.573,-3.216,5.729,-3.149,5.606,-3.094,5.689,-3.099,5.685,-3.068,5.688
315.584,-3.222,5.446,-3.151,5.604,-3.102,5.677,-3.100,5.677,-3.071,5.690
315.595,-3.059,5.621,-3.155,5.601,-3.101,5.686,-3.103,5.684,-3.075,5.693
315.607,-2.841,5.731,-3.159,5.591,-3.126,5.668,-3.126,5.674,-3.085,5.694
315.618,-3.266,5.575,-3.159,5.584,-3.169,5.659,-3.166,5.665,-3.099,5.697
315.629,-3.528,5.422,-3.167,5.578,-3.192,5.646,-3.180,5.655,-3.109,5.698
315.640,-3.188,5.712,-3.175,5.574,-3.201,5.671,-3.194,5.678,-3.123,5.695
315.651,-3.554,5.777,-3.182,5.587,-3.213,5.677,-3.198,5.669,-3.136,5.695
315.663,-3.042,5.925,-3.190,5.601,-3.212,5.646,-3.200,5.631,-3.148,5.683
