R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
129.003,-4.161,1.469,-3.984,1.455,-3.899,1.430
129.013,-3.975,1.631,-3.991,1.455,-3.897,1.422
129.024,-4.351,1.421,-3.997,1.457,-3.901,1.420
129.034,-3.834,1.291,-4.000,1.455,-3.904,1.422
129.044,-3.574,1.344,-3.999,1.452,-3.904,1.424
129.055,-4.092,1.502,-3.990,1.450,-3.896,1.430
129.065,-4.175,1.418,-3.991,1.449,-3.894,1.434
129.075,-4.032,1.553,-3.996,1.450,-3.879,1.441
129.086,-4.011,1.392,-4.001,1.444,-3.877,1.453
129.096,-4.011,1.503,-3.999,1.438,-3.880,1.462
129.107,-3.973,1.546,-3.998,1.434,-3.880,1.472
129.117,-3.686,1.549,-3.991,1.440,-3.886,1.479
129.127,-4.175,1.376,-3.983,1.445,-3.899,1.482
129.138,-4.047,1.584,-3.986,1.445,-3.907,1.482
129.148,-3.825,1.680,-3.983,1.444,-3.910,1.489
129.158,-3.976,1.213,-3.971,1.445,-3.913,1.495
129.169,-4.137,1.044,-3.959,1.436,-3.911,1.503
129.179,-4.080,1.471,-3.954,1.431,-3.919,1.507
129.189,-3.967,1.585,-3.948,1.436,-3.928,1.500
129.200,-3.820,1.510,-3.939,1.447,-3.928,1.496
129.210,-4.100,1.672,-3.939,1.458,-3.932,1.489
129.220,-3.759,1.461,-3.941,1.460,-3.931,1.488
129.231,-3.705,1.599,-3.935,1.451,-3.920,1.492
129.241,-3.837,1.375,-3.927,1.452,-3.914,1.487
129.252,-3.764,1.588,-3.923,1.452,-3.912,1.484
129.262,-4.292,1.808,-3.925,1.453,-3.921,1.481
129.272,-4.300,1.501,-3.939,1.458,-3.932,1.482
129.283,-4.095,1.378,-3.951,1.458,-3.941,1.492
129.293,-3.753,1.417,-3.953,1.455,-3.949,1.500
129.303,-3.867,1.554,-3.950,1.454,-3.955,1.508
129.314,-3.889,1.379,-3.944,1.456,-3.959,1.522
129.324,-3.859,1.425,-3.937,1.461,-3.961,1.526
129.334,-3.811,1.758,-3.931,1.460,-3.963,1.529
129.345,-3.909,1.428,-3.924,1.460,-3.968,1.529
129.355,-4.062,1.422,-3.917,1.456,-3.969,1.530
129.365,-3.925,1.377,-3.914,1.449,-3.970,1.520
129.376,-3.814,1.591,-3.911,1.443,-3.972,1.507
129.386,-4.125,1.332,-3.917,1.446,-3.965,1.503
129.397,-3.706,1.373,-3.923,1.437,-3.958,1.497
129.407,-4.017,1.505,-3.925,1.425,-3.951,1.502
