R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,450,150,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
179.926,0.686,1.304,1.916,-1.762,1.978,-1.714,1.984,-1.709,1.971,-1.703
179.937,0.980,0.912,1.912,-1.785,1.985,-1.709,1.992,-1.699,1.976,-1.693
179.947,0.579,0.651,1.867,-1.762,1.982,-1.708,1.997,-1.701,1.981,-1.689
179.957,0.288,0.400,1.887,-1.759,1.969,-1.719,1.982,-1.712,1.980,-1.690
179.968,1.244,0.739,1.905,-1.756,1.991,-1.695,2.001,-1.689,1.984,-1.686
179.978,0.419,0.313,1.916,-1.745,1.979,-1.699,1.987,-1.695,1.986,-1.685
179.988,0.224,-0.781,1.898,-1.737,1.973,-1.709,1.983,-1.707,1.985,-1.690
179.999,0.499,0.083,1.909,-1.725,1.963,-1.691,1.971,-1.692,1.979,-1.698
180.009,0.763,1.095,1.881,-1.739,1.977,-1.682,1.989,-1.682,1.982,-1.699
180.019,0.734,1.480,1.908,-1.754,1.994,-1.665,2.002,-1.662,1.985,-1.688
180.030,0.114,0.621,1.949,-1.745,1.992,-1.677,1.991,-1.675,1.985,-1.683
180.040,0.408,0.301,1.927,-1.808,1.999,-1.697,2.000,-1.683,1.983,-1.683
180.050,0.462,0.435,1.913,-1.781,2.003,-1.695,2.007,-1.685,1.983,-1.684
180.061,0.478,-0.369,1.903,-1.754,1.983,-1.720,1.989,-1.715,1.977,-1.693
180.071,-0.333,-0.039,1.947,-1.725,1.968,-1.721,1.966,-1.722,1.973,-1.703
180.081,-0.021,-0.150,1.962,-1.733,1.981,-1.725,1.975,-1.725,1.970,-1.707
180.092,-1.313,-0.009,1.948,-1.726,1.947,-1.720,1.943,-1.722,1.959,-1.712
180.102,-1.060,0.133,1.935,-1.741,1.953,-1.708,1.950,-1.708,1.947,-1.713
180.112,-0.051,1.736,1.907,-1.731,1.964,-1.662,1.968,-1.665,1.940,-1.705
180.123,-0.469,0.920,1.928,-1.728,1.963,-1.666,1.963,-1.670,1.938,-1.692
180.133,-0.145,1.999,1.923,-1.769,1.963,-1.642,1.964,-1.638,1.932,-1.681
180.143,-0.652,1.019,1.929,-1.760,1.927,-1.673,1.927,-1.670,1.921,-1.677
180.154,-1.186,0.690,1.939,-1.757,1.907,-1.688,1.906,-1.686,1.909,-1.679
180.164,-1.379,0.095,1.960,-1.741,1.899,-1.694,1.893,-1.694,1.896,-1.680
180.174,-0.540,0.143,1.948,-1.757,1.911,-1.700,1.906,-1.697,1.889,-1.685
180.185,-0.614,-0.506,1.934,-1.705,1.891,-1.716,1.888,-1.723,1.881,-1.694
180.195,0.058,-0.592,1.940,-1.731,1.902,-1.760,1.899,-1.763,1.879,-1.712
180.205,1.112,-0.521,1.937,-1.745,1.920,-1.749,1.918,-1.750,1.886,-1.717
180.216,0.170,-0.846,1.957,-1.759,1.923,-1.754,1.917,-1.752,1.895,-1.724
180.226,-0.562,-0.241,1.956,-1.723,1.920,-1.734,1.913,-1.738,1.897,-1.730
180.236,-0.648,0.106,1.932,-1.738,1.913,-1.736,1.911,-1.738,1.895,-1.734
180.246,-1.466,0.095,1.936,-1.768,1.883,-1.749,1.880,-1.745,1.883,-1.736
180.257,-1.771,0.992,1.908,-1.740,1.870,-1.724,1.873,-1.725,1.871,-1.734
180.267,-1.633,0.455,1.917,-1.704,1.852,-1.734,1.854,-1.742,1.854,-1.729
180.277,0.310,0.557,1.935,-1.718,1.894,-1.739,1.893,-1.745,1.851,-1.728
180.288,-0.236,-0.258,1.919,-1.687,1.883,-1.745,1.886,-1.757,1.856,-1.728
180.298,-0.773,0.883,1.963,-1.660,1.872,-1.728,1.866,-1.748,1.853,-1.731
180.308,0.828,1.405,1.963,-1.690,1.903,-1.712,1.896,-1.727,1.855,-1.720
180.319,0.742,1.101,1.989,-1.723,1.923,-1.698,1.910,-1.706,1.869,-1.707
180.329,-0.050,1.396,1.956,-1.740,1.913,-1.690,1.905,-1.693,1.878,-1.699
180.339,-0.570,0.652,1.955,-1.765,1.894,-1.700,1.886,-1.697,1.875,-1.693
180.350,0.778,1.322,1.952,-1.744,1.945,-1.669,1.939,-1.669,1.884,-1.685
180.360,0.294,0.643,1.946,-1.732,1.940,-1.667,1.935,-1.668,1.891,-1.679
180.370,0.454,1.338,1.949,-1.744,1.930,-1.658,1.925,-1.656,1.893,-1.675
180.381,0.988,2.164,1.958,-1.742,1.944,-1.633,1.938,-1.632,1.900,-1.667
180.391,1.568,0.455,1.948,-1.736,1.958,-1.659,1.954,-1.658,1.912,-1.661
180.401,0.520,0.179,1.914,-1.735,1.926,-1.650,1.929,-1.650,1.920,-1.661
180.412,-0.067,0.679,1.930,-1.733,1.918,-1.642,1.919,-1.642,1.922,-1.665
180.422,-0.164,-0.263,1.894,-1.716,1.910,-1.676,1.918,-1.680,1.921,-1.673
180.432,-0.216,-0.371,1.921,-1.731,1.912,-1.688,1.917,-1.688,1.919,-1.681
180.443,-0.209,-1.324,1.919,-1.708,1.918,-1.714,1.923,-1.720,1.920,-1.695
180.453,-0.720,-0.610,1.935,-1.683,1.918,-1.711,1.920,-1.722,1.918,-1.709
180.463,-0.105,1.034,1.967,-1.689,1.922,-1.680,1.917,-1.691,1.911,-1.711
180.474,-0.908,1.274,1.943,-1.727,1.887,-1.688,1.885,-1.691,1.903,-1.705
180.484,-0.198,1.006,1.958,-1.775,1.901,-1.705,1.896,-1.698,1.898,-1.699
180.494,0.363,0.525,1.972,-1.760,1.920,-1.702,1.911,-1.697,1.901,-1.694
180.505,1.090,1.616,1.980,-1.773,1.948,-1.670,1.936,-1.660,1.911,-1.685
180.515,0.835,1.560,1.981,-1.732,1.946,-1.662,1.934,-1.660,1.920,-1.677
180.525,0.768,0.803,1.968,-1.759,1.953,-1.679,1.943,-1.672,1.931,-1.671
180.536,0.087,-0.125,1.929,-1.765,1.952,-1.683,1.950,-1.675,1.940,-1.670
180.546,-0.455,0.087,1.931,-1.748,1.937,-1.674,1.936,-1.669,1.937,-1.677
180.556,0.071,0.658,1.913,-1.679,1.942,-1.648,1.946,-1.657,1.935,-1.681
180.567,0.944,0.353,1.940,-1.758,1.976,-1.667,1.976,-1.663,1.941,-1.682
180.577,0.278,0.920,1.930,-1.721,1.965,-1.656,1.967,-1.659,1.947,-1.685
180.587,-0.553,0.353,1.950,-1.708,1.952,-1.684,1.951,-1.689,1.944,-1.689
180.597,-0.311,0.952,1.944,-1.709,1.932,-1.666,1.932,-1.672,1.935,-1.688
180.609,0.407,0.579,1.958,-1.693,1.959,-1.682,1.956,-1.691,1.937,-1.689
180.619,0.088,0.734,1.949,-1.668,1.954,-1.672,1.952,-1.688,1.939,-1.686
180.630,-1.522,-0.855,1.951,-1.689,1.897,-1.722,1.894,-1.734,1.929,-1.693
180.640,-1.313,-0.815,1.940,-1.709,1.894,-1.729,1.894,-1.737,1.916,-1.703
180.651,-0.166,-0.689,1.933,-1.691,1.923,-1.724,1.924,-1.735,1.910,-1.713
180.661,-0.210,-0.238,1.945,-1.690,1.935,-1.716,1.934,-1.728,1.912,-1.719
180.672,-0.880,-0.034,1.956,-1.701,1.891,-1.727,1.888,-1.737,1.901,-1.725
180.682,-1.037,-0.107,1.961,-1.692,1.881,-1.722,1.877,-1.733,1.891,-1.727
180.693,-0.995,0.120,1.959,-1.722,1.858,-1.734,1.854,-1.738,1.880,-1.733
180.703,-0.904,0.625,1.915,-1.742,1.854,-1.709,1.859,-1.708,1.875,-1.728
180.713,-1.103,-0.481,1.926,-1.738,1.844,-1.726,1.848,-1.725,1.868,-1.727
180.724,-0.424,0.814,1.973,-1.729,1.868,-1.691,1.862,-1.691,1.863,-1.728
180.734,0.399,0.520,1.787,-1.651,1.844,-1.669,1.877,-1.686,1.864,-1.722
180.745,0.410,1.114,2.102,-1.818,1.913,-1.689,1.885,-1.670,1.870,-1.717
180.755,1.602,0.505,1.722,-1.523,1.878,-1.657,1.928,-1.699,1.885,-1.717
180.766,0.132,1.344,2.087,-1.954,1.918,-1.698,1.906,-1.654,1.895,-1.707
180.776,0.252,0.647,2.161,-1.654,1.959,-1.661,1.913,-1.678,1.902,-1.705
180.787,0.178,0.647,2.064,-1.983,1.935,-1.757,1.926,-1.689,1.911,-1.706
180.797,0.452,1.139,2.206,-1.887,1.979,-1.737,1.934,-1.682,1.919,-1.706
180.808,0.066,1.426,1.997,-1.657,1.942,-1.686,1.951,-1.672,1.931,-1.703
180.818,0.018,0.372,2.284,-1.376,1.999,-1.635,1.950,-1.694,1.935,-1.700
180.829,0.900,-0.728,1.765,-1.075,1.937,-1.583,1.993,-1.726,1.949,-1.703
