R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
475.413,0.534,-0.059,-0.296,1.285,0.507,1.481,0.274,1.410,0.288,1.352,0.448,1.297
475.424,-0.218,-0.153,-0.315,1.291,0.474,1.546,0.257,1.448,0.270,1.380,0.435,1.312
475.434,-0.431,0.064,-0.304,1.286,0.433,1.595,0.227,1.473,0.238,1.396,0.413,1.324
475.445,-0.387,-0.503,-0.299,1.270,0.393,1.628,0.198,1.484,0.208,1.399,0.390,1.335
475.456,0.177,0.252,-0.260,1.274,0.389,1.675,0.200,1.509,0.206,1.417,0.373,1.343
475.467,0.629,-0.014,-0.269,1.226,0.372,1.692,0.196,1.514,0.201,1.416,0.362,1.352
475.477,0.626,0.199,-0.281,1.217,0.348,1.749,0.185,1.552,0.188,1.450,0.351,1.366
475.488,1.319,-0.162,-0.304,1.246,0.353,1.785,0.205,1.565,0.207,1.457,0.346,1.376
475.499,1.169,-0.011,-0.268,1.247,0.322,1.822,0.178,1.584,0.179,1.471,0.337,1.383
475.509,-0.100,0.220,-0.301,1.238,0.253,1.857,0.125,1.605,0.124,1.487,0.322,1.391
475.520,0.020,-0.668,-0.310,1.250,0.244,1.871,0.127,1.602,0.126,1.480,0.309,1.399
475.531,-0.228,-0.253,-0.323,1.235,0.202,1.895,0.096,1.615,0.096,1.488,0.288,1.400
475.542,-0.261,-0.868,-0.268,1.225,0.185,1.909,0.079,1.617,0.076,1.487,0.268,1.401
475.552,-0.531,-1.649,-0.264,1.254,0.145,1.900,0.046,1.592,0.041,1.458,0.245,1.392
475.563,0.250,-0.875,-0.268,1.250,0.134,1.906,0.044,1.587,0.037,1.449,0.226,1.379
475.574,-0.684,-0.786,-0.266,1.230,0.093,1.913,0.011,1.588,0.003,1.448,0.209,1.376
475.584,-1.661,-1.963,-0.301,1.232,0.019,1.876,-0.048,1.540,-0.056,1.398,0.180,1.363
475.595,-1.138,-1.308,-0.258,1.244,-0.000,1.906,-0.069,1.560,-0.078,1.414,0.151,1.354
475.606,-0.769,-1.337,-0.284,1.271,-0.019,1.905,-0.077,1.547,-0.086,1.398,0.131,1.345
475.616,0.438,-1.121,-0.307,1.320,-0.006,1.920,-0.054,1.547,-0.063,1.393,0.119,1.341
475.627,0.540,0.713,-0.267,1.294,0.006,1.966,-0.042,1.592,-0.051,1.434,0.117,1.347
475.638,0.429,0.866,-0.271,1.298,0.003,2.004,-0.038,1.624,-0.049,1.464,0.115,1.366
475.649,0.293,0.312,-0.275,1.246,-0.014,1.995,-0.049,1.620,-0.061,1.460,0.109,1.378
475.659,-0.619,-0.120,-0.312,1.216,-0.049,1.992,-0.072,1.618,-0.083,1.459,0.097,1.386
475.670,-0.709,-0.256,-0.329,1.246,-0.072,2.014,-0.088,1.631,-0.098,1.473,0.080,1.392
475.681,-0.485,0.050,-0.336,1.254,-0.082,2.050,-0.093,1.662,-0.101,1.503,0.064,1.401
475.691,-0.256,0.510,-0.307,1.220,-0.096,2.063,-0.107,1.678,-0.116,1.521,0.049,1.409
475.702,-0.190,-0.159,-0.278,1.161,-0.101,2.033,-0.113,1.657,-0.123,1.501,0.038,1.412
475.713,0.043,-0.465,-0.276,1.168,-0.101,1.998,-0.110,1.618,-0.121,1.465,0.031,1.405
475.723,0.171,-0.053,-0.264,1.200,-0.105,2.006,-0.112,1.618,-0.125,1.466,0.023,1.401
475.734,0.052,-0.320,-0.299,1.199,-0.120,1.995,-0.117,1.606,-0.130,1.453,0.018,1.400
475.745,0.429,0.035,-0.288,1.226,-0.104,2.013,-0.100,1.619,-0.113,1.465,0.015,1.401
475.755,-0.025,-0.228,-0.317,1.232,-0.141,2.023,-0.128,1.627,-0.140,1.474,0.005,1.404
475.766,0.996,0.385,-0.282,1.217,-0.138,2.036,-0.129,1.643,-0.141,1.489,-0.003,1.406
475.777,1.106,0.074,-0.245,1.215,-0.124,2.041,-0.118,1.648,-0.132,1.495,-0.000,1.411
475.788,-0.340,0.851,-0.284,1.209,-0.164,2.053,-0.149,1.662,-0.163,1.509,-0.004,1.414
475.798,0.490,1.297,-0.313,1.227,-0.160,2.075,-0.137,1.682,-0.152,1.529,-0.011,1.424
475.809,-0.370,0.175,-0.306,1.221,-0.191,2.044,-0.167,1.653,-0.180,1.500,-0.019,1.430
