R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
591.511,0.140,-0.969,0.255,0.924,0.365,0.899,0.376,0.894,0.380,0.889,0.391,0.912
591.521,-1.032,-0.987,0.271,0.891,0.341,0.891,0.349,0.892,0.355,0.888,0.383,0.906
591.532,-0.929,-0.336,0.285,0.943,0.327,0.911,0.333,0.904,0.339,0.900,0.368,0.902
591.543,0.274,0.718,0.320,0.936,0.346,0.933,0.346,0.927,0.350,0.922,0.361,0.905
591.553,-0.001,-0.347,0.349,0.940,0.339,0.904,0.335,0.897,0.337,0.893,0.357,0.906
591.564,0.002,0.144,0.343,0.911,0.343,0.915,0.340,0.913,0.341,0.909,0.357,0.908
591.575,0.759,-0.254,0.308,0.917,0.359,0.891,0.362,0.888,0.362,0.885,0.359,0.903
591.585,0.797,0.655,0.316,0.919,0.357,0.908,0.358,0.905,0.359,0.901,0.364,0.907
591.596,1.277,-0.010,0.347,0.917,0.379,0.891,0.375,0.888,0.375,0.884,0.372,0.911
591.607,0.904,-0.602,0.341,0.911,0.370,0.876,0.367,0.875,0.366,0.872,0.380,0.910
591.617,1.176,0.017,0.333,0.934,0.391,0.909,0.389,0.904,0.389,0.901,0.391,0.910
591.628,1.111,-0.065,0.337,0.918,0.405,0.888,0.403,0.886,0.401,0.883,0.399,0.907
591.639,1.110,-0.542,0.300,0.963,0.413,0.891,0.417,0.881,0.417,0.877,0.409,0.906
591.649,0.923,-0.574,0.298,0.939,0.423,0.887,0.428,0.882,0.428,0.876,0.415,0.903
591.660,0.244,-0.555,0.313,0.963,0.396,0.885,0.397,0.875,0.398,0.869,0.412,0.899
591.671,0.013,0.536,0.311,0.983,0.390,0.911,0.392,0.899,0.393,0.891,0.410,0.901
591.681,-1.179,0.233,0.335,0.992,0.367,0.934,0.364,0.921,0.365,0.912,0.399,0.913
591.692,-1.781,-0.147,0.356,0.987,0.343,0.938,0.337,0.926,0.337,0.916,0.380,0.919
591.703,-1.168,-1.277,0.335,0.982,0.319,0.912,0.317,0.901,0.317,0.892,0.358,0.916
591.713,-0.415,-0.040,0.313,0.956,0.322,0.926,0.324,0.921,0.323,0.912,0.350,0.912
591.724,-0.777,-0.976,0.306,0.949,0.300,0.919,0.303,0.915,0.303,0.907,0.341,0.915
591.734,0.767,0.410,0.300,0.944,0.331,0.935,0.335,0.932,0.336,0.926,0.341,0.915
591.745,1.286,0.753,0.339,0.903,0.359,0.949,0.356,0.953,0.357,0.948,0.350,0.926
591.756,0.523,0.867,0.338,0.931,0.356,0.977,0.353,0.977,0.353,0.973,0.358,0.939
591.767,0.794,0.832,0.351,0.930,0.374,0.992,0.369,0.992,0.368,0.989,0.364,0.950
591.777,-0.227,0.072,0.339,0.933,0.357,0.962,0.355,0.961,0.353,0.959,0.368,0.952
591.788,-0.975,-0.593,0.310,0.921,0.317,0.953,0.320,0.954,0.319,0.952,0.359,0.954
591.799,0.014,0.623,0.347,0.918,0.338,0.972,0.334,0.974,0.333,0.973,0.351,0.954
591.809,0.020,0.545,0.346,0.898,0.335,0.991,0.331,0.996,0.330,0.996,0.349,0.964
591.820,-0.397,0.005,0.299,0.903,0.311,0.967,0.316,0.971,0.315,0.972,0.344,0.963
591.831,-0.714,1.229,0.282,0.903,0.294,0.993,0.301,0.997,0.303,0.999,0.337,0.967
591.841,-0.738,0.910,0.247,0.920,0.280,0.997,0.293,0.997,0.298,0.999,0.329,0.977
591.852,0.230,0.903,0.288,0.925,0.320,1.003,0.326,1.003,0.332,1.004,0.328,0.982
591.862,0.537,1.238,0.314,0.909,0.330,1.018,0.330,1.021,0.336,1.022,0.329,0.992
591.873,0.162,1.114,0.294,0.944,0.326,1.023,0.330,1.020,0.334,1.021,0.329,1.000
591.884,0.493,0.922,0.268,0.919,0.319,1.014,0.328,1.014,0.333,1.016,0.327,1.006
591.895,-0.332,-0.473,0.274,0.947,0.299,0.984,0.306,0.979,0.311,0.980,0.327,1.003
591.905,-0.111,-0.449,0.241,0.968,0.279,0.964,0.292,0.956,0.299,0.955,0.319,0.991
591.916,-0.331,-0.870,0.225,0.982,0.266,0.953,0.281,0.943,0.290,0.940,0.313,0.982
591.926,-0.821,-0.947,0.305,0.966,0.261,0.954,0.261,0.947,0.269,0.943,0.302,0.974
591.937,-0.385,-1.168,0.335,0.948,0.249,0.937,0.244,0.934,0.249,0.930,0.291,0.963
591.948,-1.029,-0.302,0.321,0.936,0.244,0.957,0.241,0.957,0.245,0.953,0.287,0.958
591.959,-0.550,-0.347,0.333,0.925,0.236,0.931,0.231,0.932,0.233,0.930,0.276,0.949
591.969,0.301,-0.809,0.297,0.911,0.256,0.908,0.258,0.911,0.258,0.911,0.275,0.940
591.980,-1.252,-1.232,0.317,0.889,0.212,0.894,0.210,0.901,0.211,0.903,0.269,0.933
591.990,-2.187,-2.009,0.332,0.916,0.181,0.870,0.176,0.873,0.176,0.874,0.251,0.916
592.001,-1.468,-0.940,0.277,0.934,0.162,0.892,0.167,0.891,0.168,0.892,0.233,0.904
592.012,0.180,0.004,0.306,0.953,0.200,0.901,0.200,0.897,0.201,0.897,0.230,0.899
592.022,-0.447,0.141,0.327,0.986,0.202,0.945,0.198,0.935,0.198,0.933,0.233,0.910
