R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
111.881,-0.600,-0.598,-0.512,-0.536,-0.501,-0.501,-0.501,-0.504,-0.504,-0.493
111.891,0.081,-0.523,-0.522,-0.533,-0.493,-0.493,-0.493,-0.509,-0.509,-0.500
111.901,-1.189,-0.638,-0.522,-0.531,-0.528,-0.528,-0.528,-0.516,-0.517,-0.506
111.912,0.204,-0.470,-0.521,-0.530,-0.496,-0.496,-0.496,-0.520,-0.520,-0.512
111.922,0.317,-0.128,-0.529,-0.529,-0.494,-0.494,-0.495,-0.517,-0.517,-0.516
111.932,0.337,0.095,-0.519,-0.528,-0.481,-0.482,-0.482,-0.512,-0.512,-0.516
111.943,-0.140,0.093,-0.543,-0.529,-0.494,-0.494,-0.494,-0.512,-0.512,-0.516
111.953,-0.919,-0.214,-0.535,-0.531,-0.519,-0.519,-0.519,-0.519,-0.519,-0.517
111.963,0.757,0.014,-0.539,-0.531,-0.482,-0.482,-0.482,-0.518,-0.518,-0.519
111.974,-0.098,0.106,-0.536,-0.532,-0.505,-0.505,-0.505,-0.516,-0.516,-0.519
111.984,0.218,0.101,-0.528,-0.532,-0.495,-0.495,-0.495,-0.516,-0.516,-0.519
111.994,0.451,0.345,-0.544,-0.533,-0.471,-0.471,-0.471,-0.508,-0.509,-0.517
112.005,1.465,0.711,-0.557,-0.536,-0.429,-0.429,-0.429,-0.496,-0.496,-0.512
112.015,1.021,0.836,-0.543,-0.538,-0.442,-0.442,-0.442,-0.487,-0.487,-0.505
112.025,1.004,0.964,-0.562,-0.540,-0.423,-0.423,-0.423,-0.475,-0.475,-0.496
112.035,-0.542,0.655,-0.572,-0.544,-0.445,-0.445,-0.445,-0.472,-0.472,-0.487
112.046,-0.356,0.271,-0.586,-0.550,-0.454,-0.454,-0.454,-0.477,-0.477,-0.484
112.056,-0.391,0.024,-0.593,-0.556,-0.462,-0.462,-0.461,-0.482,-0.482,-0.483
112.066,-0.291,-0.126,-0.586,-0.561,-0.474,-0.474,-0.474,-0.487,-0.487,-0.485
112.076,-0.382,-0.194,-0.590,-0.564,-0.475,-0.474,-0.474,-0.491,-0.491,-0.487
112.087,-1.079,-0.387,-0.608,-0.570,-0.487,-0.487,-0.487,-0.497,-0.497,-0.490
