R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
0,0,0,0,0,0,0,0,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.000300,20,0,0,0,0,10,75,0,0
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
779.452,5.202,5.490,5.741,5.760,5.719,5.672,5.735,5.688,5.680
779.462,4.951,5.408,5.698,5.782,5.744,5.698,5.747,5.701,5.696
779.472,5.110,5.372,5.653,5.776,5.739,5.695,5.759,5.714,5.711
779.483,5.045,5.323,5.609,5.781,5.746,5.702,5.767,5.724,5.724
779.493,4.995,5.284,5.565,5.778,5.743,5.701,5.774,5.732,5.736
779.503,4.380,5.164,5.514,5.785,5.754,5.713,5.779,5.738,5.745
779.513,4.088,5.010,5.451,5.754,5.726,5.687,5.774,5.735,5.751
779.523,4.193,4.880,5.377,5.742,5.718,5.680,5.763,5.726,5.752
779.533,4.768,4.844,5.301,5.759,5.736,5.701,5.763,5.727,5.751
779.543,4.893,4.836,5.235,5.724,5.701,5.667,5.755,5.722,5.749
779.553,5.092,4.859,5.180,5.739,5.715,5.683,5.749,5.717,5.745
779.563,5.356,4.923,5.140,5.722,5.697,5.666,5.741,5.710,5.741
779.574,5.159,4.981,5.114,5.672,5.646,5.615,5.726,5.696,5.734
779.584,4.739,4.969,5.094,5.665,5.638,5.609,5.710,5.680,5.724
779.594,4.780,4.947,5.075,5.682,5.657,5.628,5.699,5.670,5.712
779.604,5.108,4.955,5.056,5.704,5.679,5.650,5.701,5.672,5.703
779.614,5.045,4.982,5.044,5.694,5.668,5.640,5.704,5.676,5.700
779.624,5.255,5.009,5.037,5.677,5.650,5.622,5.701,5.673,5.698
779.634,5.318,5.031,5.035,5.647,5.619,5.592,5.685,5.657,5.692
779.644,5.209,5.064,5.037,5.583,5.555,5.527,5.655,5.627,5.679
779.654,5.413,5.103,5.044,5.543,5.514,5.486,5.616,5.588,5.656
779.664,5.350,5.137,5.056,5.508,5.478,5.450,5.579,5.551,5.628
779.674,5.661,5.191,5.072,5.474,5.443,5.414,5.545,5.516,5.598
779.684,5.847,5.290,5.098,5.448,5.415,5.386,5.512,5.483,5.566
779.694,6.026,5.380,5.134,5.433,5.397,5.367,5.487,5.458,5.536
779.704,6.477,5.514,5.180,5.420,5.380,5.349,5.461,5.431,5.507
779.715,5.858,5.554,5.231,5.393,5.352,5.320,5.438,5.405,5.479
779.725,5.940,5.594,5.280,5.384,5.343,5.310,5.419,5.386,5.454
779.735,5.460,5.597,5.325,5.364,5.323,5.289,5.406,5.372,5.433
779.745,5.361,5.586,5.364,5.380,5.340,5.304,5.401,5.366,5.416
779.755,5.239,5.546,5.392,5.379,5.339,5.303,5.402,5.366,5.406
779.765,5.494,5.537,5.413,5.372,5.333,5.296,5.397,5.361,5.398
779.775,5.632,5.546,5.431,5.358,5.319,5.282,5.389,5.352,5.390
779.785,5.171,5.510,5.445,5.377,5.338,5.301,5.387,5.350,5.384
779.795,4.773,5.429,5.448,5.406,5.370,5.333,5.394,5.356,5.381
779.805,4.590,5.314,5.435,5.417,5.384,5.347,5.406,5.369,5.383
779.815,4.502,5.203,5.408,5.454,5.423,5.388,5.420,5.384,5.389
779.826,4.929,5.142,5.372,5.469,5.440,5.406,5.439,5.405,5.401
779.836,4.580,5.085,5.336,5.495,5.468,5.434,5.458,5.424,5.415
779.846,5.022,5.100,5.302,5.461,5.434,5.401,5.461,5.428,5.428
779.856,5.611,5.134,5.275,5.450,5.421,5.389,5.451,5.419,5.433
779.866,5.582,5.166,5.256,5.438,5.409,5.378,5.439,5.408,5.432
779.876,5.976,5.254,5.251,5.443,5.412,5.381,5.430,5.398,5.427
779.886,6.068,5.369,5.262,5.426,5.392,5.361,5.417,5.385,5.420
779.896,5.926,5.470,5.286,5.434,5.397,5.365,5.412,5.381,5.412
779.907,5.867,5.534,5.319,5.462,5.424,5.392,5.416,5.383,5.407
779.917,5.681,5.556,5.352,5.471,5.432,5.399,5.425,5.392,5.407
779.927,5.761,5.591,5.383,5.529,5.489,5.455,5.449,5.415,5.413
779.937,6.156,5.659,5.419,5.545,5.504,5.469,5.476,5.441,5.427
779.947,6.038,5.717,5.459,5.569,5.526,5.490,5.506,5.470,5.446
779.957,5.748,5.760,5.500,5.584,5.540,5.503,5.530,5.493,5.468
