R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,400,100,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,20,0,0,0,0,10,75,0,0
sysTime,ARawX,ARawY,ARawZ,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
97.432,-0.265,0.208,9.839,1.164,1.175,1.095,1.095,1.082
97.444,-0.230,0.208,9.839,1.166,1.174,1.094,1.094,1.079
97.455,-0.258,0.194,9.745,1.159,1.172,1.116,1.116,1.082
97.467,-0.222,0.222,9.867,1.170,1.171,1.096,1.097,1.077
97.477,-0.179,0.201,9.882,1.185,1.173,1.112,1.112,1.076
97.488,-0.194,0.201,9.831,1.167,1.172,1.081,1.081,1.069
97.500,-0.222,0.222,9.889,1.150,1.169,1.093,1.094,1.064
97.511,-0.194,0.208,9.860,1.142,1.165,1.081,1.082,1.063
97.523,-0.230,0.201,9.911,1.139,1.160,1.079,1.080,1.058
97.534,-0.222,0.208,9.853,1.168,1.160,1.088,1.089,1.054
97.546,-0.215,0.165,9.831,1.157,1.161,1.127,1.127,1.062
97.557,-0.222,0.215,9.875,1.183,1.163,1.110,1.110,1.070
97.568,-0.230,0.194,9.817,1.180,1.167,1.113,1.113,1.068
97.578,-0.244,0.201,9.831,1.174,1.168,1.122,1.123,1.071
97.590,-0.186,0.194,9.817,1.165,1.168,1.125,1.126,1.073
97.601,-0.230,0.222,9.839,1.180,1.169,1.119,1.119,1.073
97.613,-0.215,0.201,9.860,1.177,1.171,1.115,1.115,1.073
97.624,-0.208,0.186,9.846,1.179,1.173,1.113,1.113,1.074
97.636,-0.237,0.194,9.846,1.204,1.177,1.124,1.124,1.076
97.647,-0.237,0.172,9.875,1.195,1.181,1.097,1.097,1.078
97.659,-0.237,0.222,9.882,1.208,1.185,1.091,1.090,1.073
97.670,-0.222,0.215,9.846,1.220,1.190,1.081,1.080,1.066
