R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,30,1,30,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
469.807,-1.085,0.494,0.247,0.170,0.140,0.148,0.117,0.117,0.117,0.139,0.139,0.145
469.818,0.989,1.061,0.511,0.169,0.162,0.149,0.115,0.115,0.115,0.140,0.140,0.143
469.829,-1.939,0.193,0.455,0.086,0.169,0.152,0.088,0.087,0.086,0.139,0.139,0.142
469.840,1.234,0.316,0.444,-0.039,0.154,0.153,0.104,0.103,0.103,0.139,0.139,0.142
469.850,0.257,0.314,0.443,0.169,0.139,0.152,0.111,0.111,0.110,0.139,0.139,0.141
469.861,-7.799,-1.066,0.089,0.294,0.141,0.149,0.072,0.071,0.071,0.130,0.130,0.139
469.871,0.135,-0.167,-0.157,0.044,0.139,0.148,0.072,0.072,0.072,0.116,0.116,0.132
469.882,2.210,-0.398,-0.335,0.086,0.129,0.146,0.053,0.053,0.053,0.105,0.105,0.124
469.893,4.774,0.123,-0.315,0.170,0.112,0.142,0.061,0.061,0.062,0.097,0.097,0.115
469.904,-3.038,-0.208,-0.126,0.502,0.123,0.138,0.058,0.058,0.059,0.094,0.094,0.107
469.914,6.727,1.156,0.114,0.044,0.120,0.135,0.085,0.085,0.086,0.092,0.093,0.101
469.925,3.919,1.191,0.459,0.169,0.115,0.132,0.084,0.085,0.085,0.097,0.098,0.099
469.935,9.168,1.045,0.581,0.252,0.114,0.129,0.084,0.084,0.085,0.101,0.101,0.099
469.946,4.652,-0.041,0.386,0.128,0.110,0.127,0.058,0.059,0.060,0.098,0.099,0.100
469.957,-0.230,-0.696,-0.025,0.044,0.112,0.125,0.029,0.029,0.030,0.087,0.087,0.096
469.968,10.145,1.437,0.134,0.086,0.108,0.122,0.066,0.067,0.068,0.082,0.083,0.090
469.978,5.872,1.549,0.545,0.463,0.135,0.122,0.072,0.071,0.072,0.090,0.091,0.089
469.989,-3.038,0.399,0.629,0.169,0.149,0.125,0.048,0.047,0.048,0.094,0.095,0.090
469.999,-0.352,1.302,0.858,0.170,0.128,0.126,0.082,0.081,0.082,0.101,0.101,0.092
470.010,-1.573,1.215,1.114,-0.039,0.125,0.126,0.105,0.104,0.105,0.112,0.113,0.097
470.021,0.501,1.643,1.209,0.169,0.124,0.126,0.112,0.112,0.112,0.120,0.120,0.104
470.031,1.600,0.603,1.120,0.002,0.132,0.127,0.093,0.092,0.093,0.126,0.126,0.111
470.042,7.459,1.074,0.903,0.169,0.140,0.128,0.088,0.087,0.088,0.125,0.125,0.116
470.053,-4.869,-0.207,0.713,0.378,0.158,0.132,0.065,0.063,0.063,0.125,0.126,0.120
470.064,3.919,1.527,0.787,0.169,0.148,0.134,0.106,0.104,0.105,0.127,0.127,0.121
470.074,0.745,0.766,0.832,0.169,0.147,0.136,0.093,0.091,0.092,0.132,0.133,0.125
470.085,-1.207,1.327,0.901,0.044,0.160,0.139,0.101,0.099,0.099,0.136,0.136,0.128
470.095,2.698,0.890,0.983,0.044,0.144,0.141,0.105,0.103,0.103,0.144,0.144,0.133
470.106,1.478,0.874,0.862,0.169,0.142,0.141,0.102,0.100,0.100,0.145,0.145,0.137
470.117,3.187,0.328,0.616,0.086,0.144,0.141,0.088,0.087,0.086,0.143,0.143,0.139
470.128,-0.719,0.987,0.742,-0.122,0.138,0.141,0.099,0.097,0.097,0.146,0.145,0.140
470.138,3.553,0.116,0.549,0.336,0.162,0.143,0.081,0.079,0.079,0.144,0.144,0.142
470.149,1.600,0.314,0.445,-0.039,0.142,0.144,0.081,0.079,0.079,0.141,0.141,0.142
470.160,-0.108,0.170,0.399,0.294,0.160,0.145,0.086,0.083,0.083,0.140,0.140,0.141
470.170,0.135,0.934,0.609,-0.164,0.149,0.147,0.123,0.121,0.121,0.145,0.144,0.141
470.181,-3.160,0.900,0.795,0.086,0.137,0.146,0.133,0.131,0.131,0.151,0.150,0.143
470.192,-0.475,0.499,0.730,-0.081,0.125,0.144,0.109,0.108,0.107,0.150,0.150,0.145
470.202,6.605,1.168,0.723,0.002,0.118,0.141,0.120,0.119,0.119,0.151,0.151,0.147
470.213,0.623,-0.109,0.525,0.253,0.126,0.139,0.086,0.084,0.084,0.149,0.149,0.148
470.224,1.356,-0.296,0.242,0.044,0.118,0.137,0.078,0.077,0.077,0.142,0.142,0.147
470.234,-1.817,-1.169,-0.190,0.044,0.136,0.136,0.040,0.038,0.038,0.127,0.127,0.141
470.245,5.628,-0.752,-0.476,0.127,0.120,0.135,0.035,0.033,0.034,0.111,0.111,0.132
470.256,-4.015,-0.149,-0.373,0.127,0.114,0.132,0.037,0.036,0.036,0.102,0.102,0.121
470.266,1.111,0.432,-0.056,0.044,0.115,0.130,0.059,0.058,0.058,0.101,0.101,0.114
470.277,-2.428,0.528,0.201,0.210,0.123,0.128,0.067,0.065,0.066,0.102,0.102,0.109
470.287,2.821,0.297,0.192,0.002,0.113,0.127,0.055,0.054,0.054,0.099,0.099,0.106
470.298,-1.085,-0.007,0.126,0.462,0.127,0.125,0.032,0.030,0.030,0.093,0.093,0.102
470.309,-6.822,0.004,0.232,0.044,0.106,0.123,0.052,0.051,0.051,0.093,0.093,0.098
470.320,2.088,0.816,0.394,0.211,0.107,0.120,0.073,0.072,0.073,0.093,0.094,0.096
470.330,-5.235,0.012,0.454,-0.039,0.104,0.119,0.063,0.063,0.063,0.095,0.095,0.096
470.341,-2.184,-0.255,0.282,0.002,0.113,0.118,0.048,0.047,0.048,0.089,0.090,0.094
470.351,0.501,-0.193,0.099,0.211,0.114,0.118,0.036,0.035,0.036,0.081,0.081,0.090
470.362,1.234,0.010,0.057,0.170,0.125,0.118,0.043,0.042,0.042,0.075,0.076,0.086
470.373,5.628,0.430,0.019,0.044,0.112,0.118,0.037,0.036,0.036,0.069,0.070,0.080
470.383,5.140,0.765,0.224,0.169,0.129,0.119,0.054,0.052,0.053,0.070,0.071,0.077
470.394,-2.306,1.324,0.561,0.294,0.133,0.120,0.063,0.061,0.061,0.075,0.076,0.075
470.405,-2.794,0.968,0.924,0.335,0.125,0.121,0.077,0.075,0.076,0.086,0.087,0.078
470.415,-2.184,0.582,0.948,-0.080,0.105,0.120,0.072,0.071,0.072,0.091,0.092,0.083
470.426,-0.597,0.898,0.922,0.212,0.107,0.118,0.087,0.085,0.086,0.095,0.095,0.087
470.437,3.309,0.575,0.753,0.086,0.125,0.118,0.061,0.059,0.060,0.093,0.094,0.091
470.447,3.919,0.447,0.544,0.086,0.120,0.119,0.047,0.045,0.046,0.090,0.091,0.092
470.458,6.117,0.469,0.376,0.128,0.122,0.119,0.037,0.035,0.036,0.086,0.087,0.091
470.469,-1.573,0.021,0.312,0.044,0.121,0.120,0.030,0.027,0.028,0.084,0.084,0.090
470.479,3.797,0.766,0.423,0.210,0.126,0.120,0.057,0.055,0.055,0.085,0.085,0.088
470.490,2.698,0.936,0.610,0.211,0.134,0.121,0.065,0.062,0.063,0.089,0.089,0.088
470.501,2.698,1.189,0.730,0.085,0.137,0.123,0.069,0.066,0.066,0.093,0.094,0.090
470.512,4.163,0.528,0.619,0.211,0.136,0.125,0.037,0.034,0.034,0.092,0.093,0.092
470.523,2.821,0.485,0.590,0.085,0.137,0.126,0.051,0.048,0.049,0.094,0.094,0.093
470.535,0.501,0.755,0.586,0.002,0.138,0.128,0.053,0.050,0.050,0.094,0.094,0.094
