R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
656.585,0.086,0.258,0.144,0.143,0.190
656.596,0.254,0.259,0.127,0.127,0.176
656.606,0.044,0.253,0.133,0.133,0.167
656.617,0.421,0.267,0.135,0.135,0.164
656.628,0.462,0.273,0.129,0.128,0.161
656.639,0.127,0.266,0.149,0.149,0.162
656.650,0.295,0.284,0.156,0.155,0.167
656.660,0.128,0.279,0.142,0.141,0.170
656.671,0.086,0.274,0.119,0.118,0.162
656.682,0.337,0.270,0.124,0.123,0.155
656.692,0.378,0.291,0.120,0.118,0.153
656.703,0.169,0.291,0.141,0.140,0.154
656.714,0.544,0.315,0.157,0.154,0.165
656.725,0.210,0.310,0.155,0.153,0.174
656.735,0.420,0.323,0.127,0.123,0.175
656.746,0.170,0.307,0.136,0.133,0.176
656.757,0.044,0.284,0.120,0.118,0.174
656.768,0.295,0.289,0.141,0.139,0.175
656.778,0.422,0.286,0.152,0.150,0.182
656.789,0.294,0.278,0.175,0.174,0.195
656.800,0.127,0.264,0.150,0.150,0.200
656.811,0.504,0.272,0.166,0.165,0.201
656.821,0.293,0.289,0.177,0.175,0.203
656.832,0.380,0.285,0.165,0.163,0.206
656.843,0.254,0.291,0.175,0.174,0.212
656.854,0.461,0.282,0.170,0.169,0.213
656.865,0.378,0.277,0.162,0.161,0.207
656.875,0.170,0.279,0.164,0.163,0.203
656.886,0.128,0.266,0.186,0.185,0.207
656.897,0.295,0.270,0.181,0.181,0.210
656.908,0.086,0.260,0.207,0.207,0.216
656.918,0.297,0.258,0.209,0.209,0.223
656.929,0.463,0.292,0.204,0.203,0.228
656.940,0.253,0.272,0.224,0.223,0.235
656.951,0.337,0.285,0.208,0.207,0.236
656.961,0.378,0.297,0.207,0.205,0.238
656.972,-0.122,0.278,0.224,0.223,0.240
656.983,0.420,0.279,0.205,0.204,0.238
656.994,0.211,0.271,0.222,0.222,0.237
657.004,0.169,0.260,0.188,0.188,0.231
657.015,0.335,0.262,0.174,0.174,0.221
657.026,0.086,0.254,0.156,0.156,0.206
657.037,0.338,0.257,0.169,0.169,0.201
657.047,0.002,0.259,0.137,0.137,0.193
657.058,0.211,0.281,0.150,0.149,0.181
657.069,0.212,0.266,0.159,0.159,0.180
657.080,0.378,0.263,0.170,0.170,0.187
657.090,0.337,0.274,0.171,0.170,0.187
657.101,0.254,0.280,0.164,0.163,0.188
657.112,0.168,0.271,0.174,0.174,0.189
657.123,0.253,0.255,0.162,0.162,0.185
657.133,0.086,0.245,0.133,0.134,0.175
657.144,0.211,0.254,0.147,0.148,0.173
657.155,0.252,0.242,0.142,0.143,0.166
657.166,0.211,0.237,0.125,0.126,0.155
657.176,0.086,0.218,0.135,0.137,0.149
657.187,0.211,0.216,0.132,0.134,0.145
657.198,0.044,0.216,0.154,0.156,0.151
657.209,0.337,0.232,0.160,0.161,0.157
657.220,0.336,0.237,0.145,0.146,0.158
657.231,0.170,0.243,0.183,0.184,0.166
657.241,0.295,0.264,0.189,0.189,0.179
657.252,0.462,0.256,0.187,0.187,0.189
657.263,0.253,0.258,0.185,0.185,0.193
657.274,0.128,0.252,0.164,0.164,0.191
657.285,0.252,0.247,0.198,0.198,0.195
