R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
383.771,-0.190,0.317,0.339,0.739,0.738,0.753
383.782,-0.137,0.323,0.336,0.734,0.732,0.747
383.793,1.147,0.314,0.333,0.760,0.758,0.751
383.804,0.905,0.317,0.331,0.759,0.758,0.758
383.815,0.312,0.331,0.330,0.753,0.751,0.764
383.826,-0.263,0.336,0.332,0.738,0.736,0.761
383.837,-0.782,0.344,0.333,0.718,0.717,0.751
383.848,0.215,0.362,0.336,0.729,0.727,0.747
383.859,0.198,0.359,0.340,0.731,0.729,0.745
383.870,0.184,0.352,0.342,0.730,0.728,0.745
383.881,0.787,0.362,0.345,0.746,0.745,0.748
383.891,0.573,0.361,0.346,0.738,0.736,0.749
383.902,2.262,0.347,0.347,0.786,0.784,0.764
383.913,-0.099,0.331,0.345,0.756,0.755,0.775
383.924,0.971,0.333,0.342,0.780,0.779,0.777
383.935,0.603,0.344,0.342,0.791,0.790,0.787
383.946,0.240,0.334,0.341,0.792,0.791,0.790
383.957,-0.271,0.334,0.340,0.768,0.766,0.783
383.968,-0.838,0.321,0.336,0.747,0.745,0.775
383.979,-0.571,0.342,0.336,0.741,0.740,0.765
383.990,0.480,0.340,0.337,0.744,0.742,0.759
384.001,-1.092,0.339,0.338,0.708,0.706,0.752
384.012,-1.908,0.349,0.338,0.684,0.682,0.737
384.022,-0.903,0.363,0.341,0.680,0.679,0.718
384.033,-0.165,0.361,0.345,0.691,0.689,0.714
384.044,-1.319,0.369,0.347,0.663,0.661,0.705
384.055,-0.487,0.352,0.349,0.669,0.667,0.696
384.066,-1.454,0.345,0.348,0.628,0.627,0.677
384.077,-0.873,0.355,0.348,0.620,0.619,0.662
384.088,-0.079,0.364,0.350,0.635,0.634,0.656
384.099,-0.055,0.341,0.350,0.621,0.619,0.650
384.110,0.626,0.340,0.349,0.625,0.624,0.646
384.121,-0.701,0.362,0.350,0.594,0.593,0.641
384.132,0.235,0.339,0.350,0.614,0.613,0.639
384.143,0.148,0.334,0.347,0.614,0.613,0.641
384.153,-0.457,0.334,0.345,0.610,0.609,0.641
384.164,-0.277,0.327,0.342,0.596,0.594,0.629
384.175,-0.340,0.335,0.341,0.595,0.594,0.626
384.186,-0.533,0.344,0.340,0.590,0.588,0.622
384.197,0.037,0.336,0.340,0.597,0.596,0.620
384.208,-0.066,0.349,0.340,0.583,0.581,0.616
384.219,0.280,0.340,0.341,0.585,0.584,0.614
384.230,1.270,0.358,0.342,0.608,0.607,0.623
384.241,0.929,0.355,0.345,0.611,0.609,0.632
384.252,0.566,0.352,0.347,0.618,0.616,0.641
384.263,0.584,0.342,0.347,0.608,0.607,0.641
384.274,0.694,0.353,0.347,0.615,0.613,0.645
384.284,0.025,0.366,0.350,0.608,0.606,0.648
384.295,-0.985,0.360,0.352,0.580,0.578,0.642
384.306,-0.874,0.371,0.354,0.571,0.569,0.630
384.317,-0.610,0.373,0.357,0.565,0.563,0.619
384.328,-0.911,0.361,0.359,0.560,0.558,0.612
384.339,-0.479,0.365,0.359,0.550,0.548,0.602
384.350,-0.564,0.355,0.359,0.549,0.547,0.597
384.361,-0.578,0.366,0.359,0.536,0.535,0.588
384.372,-0.019,0.359,0.359,0.549,0.547,0.587
384.383,-0.404,0.353,0.359,0.535,0.533,0.582
384.394,0.251,0.364,0.359,0.541,0.539,0.583
384.405,0.648,0.352,0.358,0.555,0.553,0.585
384.416,-0.200,0.338,0.356,0.541,0.540,0.587
384.426,0.777,0.343,0.353,0.565,0.563,0.589
384.437,0.271,0.322,0.349,0.561,0.560,0.593
384.448,-0.928,0.331,0.345,0.525,0.524,0.583
384.459,-1.788,0.344,0.344,0.502,0.500,0.570
384.470,-0.737,0.348,0.345,0.512,0.510,0.559
384.481,-0.524,0.341,0.345,0.509,0.508,0.553
