R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,45,5,45,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
331.560,12.829,1.099,0.002,0.215,0.323,0.324,0.238
331.572,-2.429,-0.353,0.502,0.226,0.282,0.282,0.237
331.583,5.505,1.184,0.128,0.216,0.311,0.312,0.241
331.594,-5.237,-1.603,0.086,0.223,0.264,0.265,0.240
331.605,0.377,-0.204,0.169,0.214,0.288,0.289,0.233
331.617,3.185,-0.123,0.253,0.210,0.288,0.289,0.232
331.628,-0.720,0.560,0.211,0.214,0.306,0.307,0.235
331.639,-0.354,-0.156,0.169,0.211,0.279,0.280,0.233
331.650,-6.091,-0.693,0.379,0.203,0.248,0.249,0.226
331.662,1.232,0.512,0.086,0.205,0.279,0.280,0.227
331.673,0.988,1.045,0.545,0.214,0.294,0.295,0.236
331.684,0.622,0.572,0.252,0.210,0.284,0.285,0.241
331.695,2.819,1.667,0.335,0.209,0.320,0.321,0.256
331.707,-7.434,-0.774,0.421,0.204,0.278,0.279,0.259
331.718,0.866,-0.198,0.419,0.222,0.292,0.292,0.257
331.729,1.232,-0.920,0.169,0.229,0.272,0.273,0.251
331.740,0.011,-0.615,0.338,0.216,0.280,0.281,0.247
331.752,0.866,-0.033,0.504,0.237,0.290,0.290,0.243
331.763,-5.115,-0.978,0.085,0.228,0.273,0.274,0.239
331.774,-2.918,-0.778,0.127,0.219,0.266,0.267,0.230
331.785,3.551,0.484,0.169,0.221,0.286,0.286,0.228
331.796,7.458,0.596,0.169,0.219,0.296,0.297,0.234
331.808,1.842,1.640,0.128,0.212,0.341,0.342,0.251
331.819,-4.138,0.875,0.086,0.208,0.343,0.345,0.268
331.830,-3.162,-0.646,0.170,0.225,0.308,0.309,0.268
331.842,-2.185,-0.794,0.294,0.215,0.297,0.298,0.259
331.853,-0.476,0.236,0.253,0.227,0.315,0.315,0.257
331.864,1.720,0.038,0.086,0.222,0.311,0.311,0.256
331.875,1.232,-0.379,0.044,0.214,0.300,0.301,0.254
331.886,2.575,0.617,0.252,0.197,0.319,0.321,0.256
331.898,1.598,1.544,0.085,0.199,0.336,0.337,0.266
331.909,0.988,0.601,0.337,0.201,0.322,0.323,0.276
331.920,6.725,1.304,0.296,0.216,0.354,0.355,0.288
331.931,-4.993,1.143,0.337,0.235,0.358,0.358,0.301
331.943,-2.551,0.376,0.212,0.239,0.346,0.346,0.308
331.954,2.941,-0.209,0.044,0.207,0.327,0.329,0.305
331.965,1.110,0.036,0.294,0.217,0.331,0.332,0.302
331.976,4.040,0.315,0.211,0.206,0.335,0.337,0.302
331.988,3.796,-0.193,0.212,0.221,0.334,0.335,0.304
331.999,4.650,0.813,0.127,0.225,0.352,0.352,0.305
332.010,1.598,1.135,0.212,0.233,0.368,0.368,0.316
332.021,-2.307,1.214,0.254,0.238,0.392,0.392,0.332
332.033,-3.894,0.640,0.252,0.235,0.406,0.406,0.345
332.044,-3.406,-0.305,0.337,0.253,0.397,0.396,0.349
332.055,-2.429,-0.113,0.337,0.245,0.393,0.393,0.346
332.066,2.209,-0.495,0.253,0.246,0.378,0.377,0.339
332.078,0.988,-0.444,0.253,0.246,0.363,0.362,0.329
