R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0
sysTime,aCFRawR
23.464,0.027
23.475,0.073
23.485,0.066
23.496,0.072
23.506,0.060
23.517,0.056
23.527,0.084
23.537,0.067
23.548,0.069
23.558,0.058
23.569,0.026
23.579,0.016
23.590,-0.000
23.600,-0.014
23.611,-0.012
23.621,0.015
23.632,0.026
23.642,0.012
23.653,0.028
23.664,0.051
23.675,0.048
23.685,0.049
23.695,0.075
23.706,0.091
23.716,0.072
23.727,0.065
23.737,0.028
23.748,0.054
23.758,0.036
23.769,0.038
23.779,0.052
23.790,0.032
23.800,0.015
23.811,0.030
23.821,0.039
23.832,0.043
23.842,0.067
23.852,0.067
23.863,0.062
23.873,0.085
23.884,0.085
23.894,0.098
23.905,0.084
23.915,0.094
23.925,0.079
23.936,0.089
23.946,0.102
23.956,0.105
23.967,0.113
23.977,0.107
23.988,0.084
23.998,0.094
24.009,0.083
24.019,0.070
24.029,0.077
24.040,0.088
24.050,0.100
24.061,0.114
24.071,0.126
24.082,0.103
24.093,0.103
24.103,0.098
24.114,0.092
24.124,0.092
24.135,0.083
24.145,0.104
24.156,0.115
24.166,0.107
24.177,0.111
24.187,0.102
24.198,0.103
24.208,0.102
24.219,0.131
24.229,0.124
24.240,0.125
24.250,0.104
24.261,0.102
24.271,0.086
24.282,0.088
24.292,0.078
24.302,0.046
24.313,0.037
24.323,0.023
24.334,0.004
24.344,0.031
24.355,0.035
24.365,0.027
24.376,0.006
24.386,0.001
24.397,0.011
24.407,0.003
24.418,0.004
24.428,-0.003
24.438,-0.020
24.449,-0.023
24.459,-0.036
24.470,-0.029
24.480,-0.026
24.492,-0.037
24.502,-0.044
24.513,0.003
24.523,0.026
24.534,0.024
24.544,0.017
24.555,0.014
24.565,0.031
24.576,0.033
24.586,0.038
24.597,0.032
24.607,0.031
24.618,0.050
24.628,0.042
24.638,0.039
24.649,0.042
24.659,0.045
24.670,0.037
24.680,0.047
24.691,0.033
24.701,0.034
24.712,0.034
24.722,0.055
24.733,0.044
24.743,0.046
24.754,0.057
24.764,0.075
24.775,0.083
24.785,0.092
24.795,0.084
24.806,0.085
24.816,0.087
24.827,0.071
24.837,0.060
24.848,0.082
24.858,0.077
24.869,0.087
24.879,0.086
24.889
