R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0
sysTime,aCFRawR,aCFPT10R
30.563,0.080,0.086
30.574,0.082,0.084
30.584,0.086,0.087
30.595,0.106,0.107
30.606,0.114,0.118
30.617,0.113,0.114
30.628,0.131,0.131
30.639,0.121,0.121
30.650,0.112,0.112
30.660,0.104,0.106
30.671,0.076,0.079
30.682,0.062,0.064
30.693,0.086,0.090
30.703,0.085,0.088
30.714,0.098,0.100
30.725,0.110,0.111
30.736,0.109,0.111
30.747,0.123,0.125
30.758,0.117,0.116
30.769,0.116,0.119
30.779,0.154,0.155
30.790,0.170,0.172
30.801,0.184,0.185
30.812,0.164,0.164
30.823,0.151,0.153
30.834,0.148,0.150
30.845,0.172,0.172
30.855,0.181,0.181
30.866,0.176,0.177
30.877,0.164,0.163
30.888,0.170,0.173
30.899,0.164,0.165
30.910,0.153,0.155
30.920,0.105,0.110
30.931,0.097,0.101
30.942,0.117,0.119
30.953,0.122,0.122
30.964,0.091,0.093
30.974,0.101,0.105
30.985,0.090,0.091
30.996,0.120,0.121
31.006,0.104,0.102
31.017,0.118,0.118
31.028,0.116,0.119
31.039,0.124,0.128
31.050,0.140,0.144
31.061,0.143,0.145
31.072,0.136,0.138
31.082,0.147,0.147
31.093,0.155,0.155
31.104,0.138,0.137
31.115,0.149,0.147
31.126,0.147,0.147
31.137,0.140,0.139
31.148,0.152,0.154
31.159,0.150,0.157
31.169,0.158,0.160
31.180,0.143,0.145
31.191,0.156,0.154
31.202,0.146,0.145
31.213,0.148,0.147
31.224,0.171,0.171
31.235,0.175,0.172
31.246,0.177,0.171
31.256,0.197,0.189
31.267,0.209,0.204
31.278,0.214,0.213
31.288,0.197,0.193
31.299,0.175,0.172
31.310,0.166,0.161
31.321,0.147,0.144
31.332,0.148,0.143
31.343,0.163,0.157
31.354,0.194,0.190
31.364,0.201,0.201
31.375,0.179,0.177
31.386,0.174,0.174
31.397,0.150,0.150
31.408,0.149,0.148
31.419,0.163,0.163
31.430,0.168,0.168
31.440,0.152,0.150
31.451,0.167,0.165
31.462,0.154,0.151
31.473,0.143,0.144
31.484,0.138,0.137
31.494,0.129,0.130
31.505,0.124,0.127
31.516,0.143,0.146
31.527,0.144,0.145
31.538,0.153,0.153
31.549,0.171,0.171
31.559,0.141,0.142
31.570,0.139,0.137
31.581,0.121,0.121
31.591,0.102,0.104
31.602,0.093,0.093
31.613,0.108,0.109
31.624,0.114,0.114
31.635,0.100,0.102
31.645,0.083,0.086
31.656,0.102,0.106
31.667,0.091,0.095
31.678,0.094,0.093
31.689,0.087,0.088
31.699,0.096,0.095
31.710,0.120,0.117
31.721,0.121,0.119
31.732,0.128,0.129
31.743,0.134,0.135
31.754,0.137,0.141
31.764,0.129,0.134
31.775,0.126,0.132
31.786,0.125,0.129
31.797,0.137,0.139
31.808,0.128,0.129
31.819,0.103,0.107
31.830,0.092,0.092
31.841,0.104,0.104
31.851,0.113,0.111
31.862,0.089,0.090
31.873,0.103,0.105
31.884,0.095,0.096
31.894,0.096,0.098
31.905,0.098,0.098
31.916,0.098,0.099
31.927,0.103,0.101
31.938,0.102,0.102
31.949,0.100,0.101
31.960,0.101,0.101
31.971,0.097,0.097
31.981,0.103,0.104
31.992,0.071,0.072
32.003,0.055,0.055
32.014,0.056,0.057
32.025,0.055,0.057
32.036,0.067,0.069
32.047,0.068,0.071
32.057,0.074,0.077
32.068,0.065,0.064
32.079,0.048,0.046
32.090,0.022,0.022
32.101,0.025,0.024
32.112,0.023,0.022
32.123,0.025,0.023
32.134,0.023,0.024
32.145,0.025,0.026
32.155,0.006,0.010
32.166,0.015,0.017
32.177,0.027,0.032
32.188,0.034,0.037
32.198,0.034,0.037
32.209,0.058,0.062
32.220,0.075,0.077
32.231,0.090,0.092
32.241,0.086,0.085
32.252,0.088,0.088
32.263,0.117,0.119
32.274,0.096,0.104
32.285,0.052,0.057
32.296,0.043,0.049
32.306,0.020,0.026
32.317,0.014,0.021
32.328,0.001,0.003
32.339,-0.008,-0.009
32.350,-0.000,-0.006
32.361,-0.006,-0.011
32.372,-0.008,-0.013
32.383,-0.029,-0.034
32.394,-0.032,-0.031
32.405,-0.032,-0.029
32.416,-0.010,-0.012
32.427,-0.015,-0.014
32.438,
