R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0
sysTime,aCFRawR,aCFPT10R,aCFPT11R
38.206,-0.006,-0.007,-0.008
38.216,-0.019,-0.018,-0.014
38.226,0.002,0.004,-0.013
38.238,0.007,0.012,-0.010
38.249,0.015,0.020,-0.004
38.260,0.008,0.012,-0.003
38.272,0.037,0.039,0.004
38.283,0.037,0.038,0.014
38.294,0.036,0.036,0.023
38.305,0.012,0.013,0.022
38.316,0.007,0.010,0.019
38.327,0.023,0.020,0.014
38.339,0.029,0.021,0.019
38.350,0.009,0.005,0.012
38.360,0.004,0.001,0.005
38.371,-0.005,-0.005,-0.001
38.383,0.003,0.005,-0.002
38.394,0.012,0.015,0.002
38.405,0.029,0.030,0.012
38.417,0.024,0.024,0.015
38.428,0.028,0.028,0.018
38.439,0.035,0.036,0.028
38.450,0.019,0.022,0.028
38.462,0.019,0.023,0.026
38.473,0.014,0.015,0.023
38.484,-0.001,-0.002,0.014
38.494,-0.002,-0.008,0.009
38.504,0.008,0.004,0.006
38.516,0.018,0.018,0.014
38.527,0.037,0.037,0.023
38.538,-0.005,-0.005,0.021
38.549,-0.009,-0.011,0.011
38.559,-0.028,-0.029,0.001
38.570,0.000,-0.001,-0.000
38.582,0.013,0.010,0.010
38.593,0.016,0.014,0.021
38.604,0.007,0.008,0.023
38.616,0.025,0.023,0.023
38.627,0.028,0.028,0.028
38.638,0.022,0.024,0.034
38.649,0.031,0.034,0.040
38.661,0.035,0.036,0.040
38.672,0.023,0.027,0.039
38.683,0.027,0.029,0.037
38.693,0.019,0.024,0.039
38.704,-0.000,0.002,0.031
38.716,0.015,0.014,0.029
38.727,-0.003,-0.004,0.022
38.738,0.004,0.003,0.021
38.749,0.019,0.018,0.030
38.760,0.008,0.007,0.029
38.772,0.021,0.020,0.031
38.783,0.011,0.008,0.030
38.794,-0.007,-0.008,0.022
38.804,-0.001,-0.001,0.014
38.814,0.007,0.008,0.012
38.825,0.000,0.001,0.010
38.837,0.010,0.013,0.010
38.848,-0.010,-0.007,0.010
38.859,-0.003,-0.001,0.005
38.871,-0.006,-0.004,0.005
38.881,0.010,0.013,0.003
38.892,-0.018,-0.016,-0.003
38.902,-0.024,-0.026,-0.015
38.912,-0.028,-0.027,-0.025
38.922,-0.046,-0.047,-0.031
38.932,-0.049,-0.051,-0.034
38.942,-0.030,-0.030,-0.038
38.953,-0.029,-0.029,-0.036
38.964,-0.018,-0.019,-0.030
38.974,-0.013,-0.012,-0.023
38.984,-0.035,-0.037,-0.023
38.994,-0.034,-0.037,-0.024
39.005,-0.011,-0.014,-0.024
39.015,-0.020,-0.025,-0.017
39.025,-0.023,-0.026,-0.011
39.035,-0.024,-0.029,-0.005
39.045,-0.016,-0.019,0.001
39.057,-0.012,-0.015,0.008
39.068,0.024,0.023,0.022
39.079,0.039,0.035,0.041
39.090,0.022,0.022,0.053
39.102,0.003,0.004,0.053
39.113,-0.002,-0.003,0.043
39.124,0.014,0.015,0.047
39.136,0.013,0.016,0.046
39.147,0.048,0.051,0.057
39.158,0.043,0.048,0.064
39.169,0.033,0.039,0.064
39.180,0.047,0.054,0.067
39.192,0.079,0.086,0.078
39.203,0.062,0.066,0.085
39.214,0.071,0.073,0.089
39.225,0.063,0.067,0.089
39.237,0.065,0.068,0.086
39.248,0.078,0.079,0.089
39.259,0.071,0.070,0.090
39.270,0.055,0.053,0.083
39.282,0.057,0.056,0.083
39.293,0.092,0.089,0.091
39.304,0.098,0.093,0.103
39.315,0.091,0.085,0.107
39.327,0.086,0.082,0.107
39.338,0.083,0.077,0.107
39.349,0.090,0.084,0.103
39.360,0.096,0.093,0.110
39.372,0.077,0.076,0.111
39.383,0.100,0.098,0.112
39.394,0.081,0.080,0.111
39.405,0.096,0.093,0.108
39.416,0.069,0.066,0.105
39.427,0.081,0.079,0.100
39.439,0.066,0.070,0.089
39.450,0.044,0.051,0.077
39.461,0.039,0.045,0.068
39.472,0.041,0.046,0.063
39.484,0.038,0.041,0.061
39.495,0.046,0.045,0.065
39.506,0.027,0.027,0.064
39.517,0.044,0.044,0.061
39.529,0.067,0.068,0.068
39.540,0.056,0.056,0.072
39.551,0.033,0.033,0.065
39.562,0.033,0.029,0.056
39.574,-0.003,-0.005,0.048
39.585,0.008,0.009,0.041
39.596,0.040,0.038,0.045
39.608,0.047,0.044,0.052
39.619,0.05
