R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0,0.995
sysTime,aCFRawR,aCFPT10R,aCFPT11R
25.533,0.179,0.185,0.177
25.543,0.193,0.198,0.181
25.554,0.186,0.193,0.182
25.564,0.187,0.194,0.183
25.575,0.168,0.171,0.175
25.585,0.161,0.161,0.163
25.596,0.145,0.143,0.151
25.606,0.157,0.155,0.146
25.617,0.154,0.149,0.143
25.627,0.151,0.150,0.144
25.638,0.151,0.149,0.142
25.649,0.144,0.141,0.139
25.659,0.139,0.136,0.133
25.669,0.135,0.134,0.129
25.680,0.112,0.112,0.120
25.690,0.093,0.089,0.101
25.701,0.089,0.086,0.087
25.711,0.073,0.070,0.074
25.722,0.110,0.106,0.081
25.732,0.120,0.117,0.096
25.743,0.112,0.111,0.099
25.753,0.097,0.100,0.102
25.764,0.092,0.096,0.097
25.774,0.100,0.102,0.099
25.785,0.093,0.099,0.101
25.795,0.092,0.093,0.098
25.806,0.090,0.092,0.092
25.816,0.088,0.085,0.094
25.827,0.067,0.068,0.086
25.837,0.073,0.073,0.079
25.848,0.077,0.075,0.078
25.858,0.079,0.074,0.080
25.869,0.088,0.082,0.083
25.879,0.070,0.066,0.081
25.890,0.075,0.070,0.075
25.900,0.073,0.073,0.075
25.911,0.050,0.051,0.071
25.921,0.064,0.062,0.070
25.932,0.069,0.066,0.069
25.942,0.079,0.073,0.076
25.953,0.086,0.085,0.081
25.963,0.072,0.068,0.081
25.974,0.072,0.067,0.076
25.984,0.092,0.087,0.084
25.995,0.079,0.080,0.084
26.005,0.074,0.069,0.082
26.016,0.081,0.077,0.079
26.026,0.081,0.078,0.078
26.036,0.112,0.107,0.091
26.047,0.109,0.108,0.096
26.057,0.140,0.137,0.113
26.068,0.153,0.154,0.128
26.079,0.165,0.161,0.142
26.089,0.171,0.171,0.152
26.100,0.168,0.168,0.160
26.110,0.169,0.171,0.167
26.121,0.159,0.166,0.168
26.131,0.164,0.170,0.166
26.141,0.178,0.182,0.166
26.152,0.166,0.169,0.166
26.162,0.170,0.172,0.164
26.173,0.169,0.171,0.166
26.183,0.170,0.170,0.161
26.194,0.155,0.156,0.156
26.204,0.149,0.151,0.155
26.215,0.149,0.150,0.149
26.225,0.130,0.133,0.141
26.236,0.130,0.132,0.130
26.246,0.119,0.125,0.123
26.257,0.120,0.131,0.121
26.267,0.138,0.146,0.126
26.278,0.135,0.141,0.130
26.288,0.155,0.158,0.135
26.299,0.162,0.162,0.144
26.309,0.160,0.156,0.148
26.320,0.179,0.175,0.152
26.330,0.194,0.189,0.165
26.341,0.185,0.181,0.170
26.351,0.194,0.193,0.176
26.362,0.188,0.190,0.180
26.372,0.194,0.198,0.184
26.383,0.176,0.179,0.181
26.393,0.178,0.179,0.179
26.404,0.189,0.193,0.179
26.414,0.202,0.204,0.187
26.425,0.190,0.193,0.195
26.435,0.178,0.180,0.190
26.446,0.169,0.172,0.185
26.456,0.152,0.154,0.166
26.466,0.161,0.163,0.163
26.477,0.158,0.161,0.166
26.487,0.161,0.162,0.166
26.498,0.134,0.138,0.158
26.509,0.151,0.150,0.153
26.519,0.127,0.127,0.150
26.530,0.113,0.112,0.139
26.540,0.120,0.117,0.132
26.551,0.104,0.099,0.126
26.561,0.108,0.104,0.119
26.572,0.099,0.096,0.113
26.582,0.093,0.089,0.103
26.593,0.092,0.088,0.097
26.603,0.085,0.084,0.096
26.613,0.103,0.102,0.094
26.624,0.105,0.104,0.098
26.634,0.112,0.114,0.105
26.645,0.113,0.113,0.109
26.655,0.114,0.113,0.109
26.666,0.116,0.113,0.106
26.676,0.142,0.136,0.113
26.687,0.150,0.142,0.124
26.697,0.135,0.127,0.126
26.708,0.125,0.120,0.127
26.718,0.138,0.134,0.129
26.729,0.124,0.126,0.127
26.739,0.113,0.111,0.122
26.750,0.128,0.127,0.117
26.760,0.146,0.145,0.128
26.771,0.144,0.141,0.140
26.781,0.184,0.182,0.153
26.792,0.173,0.171,0.162
26.802,0.188,0.189,0.173
26.813,0.199,0.196,0.186
26.823,0.194,0.189,0.193
26.834,0.192,0.191,0.193
26.844,0.164,0.163,0.186
26.855,0.174,0.174,0.179
26.865,0.191,0.191,0.185
26.876,0.206,0.207,0.192
26.886,0.180,0.187,0.196
26.897,0.160,0.169,0.185
26.907,0.162,0.170,0.182
26.918,0.148,0.155,0.173
26.928,0.152,0.154,0.167
26.939,0.178,0.177,0.172
26.949,0.201,0.197,0.187
26.960,0.221,0.216,0.202
26.970,0.198,0.198,0.207
26.981,0.181,0.184,0.203
26.991,0.205,0.208,0.206
27.002,0.186,0.189,0.204
27.012,0.169,0.172,0.192
27.022,0.172,0.175,0.184
27.033,0.163,0.166,0.178
27.043,0.171,0.171,0.176
27.054,0.158,0.161,0.171
27.064,0.163,0.162,0.165
27.075,0.150,0.151,0.165
27.085,0.140,0.143,0.160
27.096,0.119,0.124,0.153
27.106,0.137,0.142,0.146
27.117,0.127,0.130,0.144
27.127,0.139,0.138,0.143
27.138,0.125,0.123,0.141
27.148,0.133,0.131,0.138
27.159,0.105,0.103,0.127
27.169,0.124,0.121,0.121
27.180,0.120,0.117,0.118
27.190,0.093,0.094,0.106
27.201,0.084,0.085,0.097
27.211,0.072,0.075,0.086
27.222,0.067,0.071,0.081
27.232,0.057,0.066,0.072
27.243,0.049,0.058,0.063
27.253,0.045,0.053,0.060
27.264,0.058,0.060,0.062
