R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,40,5,40,5,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
141.122,0.213,0.057,9.834,0.554,0.398,0.398,0.391,0.491,0.490,0.481
141.133,0.228,0.093,9.819,0.545,0.381,0.381,0.390,0.474,0.475,0.482
141.144,0.170,0.086,9.798,0.535,0.412,0.413,0.393,0.505,0.507,0.487
141.155,0.141,0.086,9.798,0.531,0.413,0.414,0.403,0.507,0.509,0.497
141.165,0.184,0.057,9.747,0.536,0.401,0.402,0.403,0.496,0.498,0.498
141.176,0.242,0.101,9.819,0.532,0.375,0.376,0.393,0.471,0.473,0.488
141.187,0.199,0.072,9.898,0.521,0.348,0.349,0.376,0.444,0.448,0.473
141.198,0.278,0.101,9.834,0.544,0.323,0.323,0.353,0.424,0.424,0.451
141.208,0.199,0.072,9.826,0.536,0.317,0.317,0.338,0.420,0.421,0.439
141.219,0.192,0.072,9.819,0.522,0.313,0.314,0.329,0.417,0.421,0.432
141.230,0.184,0.101,9.834,0.559,0.309,0.308,0.321,0.420,0.418,0.427
141.241,0.235,0.079,9.841,0.542,0.309,0.310,0.316,0.422,0.422,0.425
141.251,0.220,0.122,9.826,0.559,0.288,0.288,0.301,0.406,0.404,0.414
141.262,0.199,0.072,9.834,0.548,0.255,0.255,0.286,0.375,0.375,0.402
141.273,0.228,0.136,9.841,0.578,0.279,0.278,0.273,0.407,0.402,0.393
141.283,0.249,0.086,9.812,0.584,0.262,0.261,0.269,0.395,0.390,0.394
141.294,0.206,0.079,9.834,0.569,0.275,0.275,0.270,0.411,0.408,0.399
141.305,0.184,0.093,9.877,0.560,0.292,0.291,0.282,0.429,0.428,0.414
141.316,0.199,0.086,9.834,0.526,0.278,0.279,0.285,0.414,0.417,0.420
141.327,0.206,0.136,9.891,0.559,0.313,0.313,0.300,0.455,0.453,0.437
141.337,0.192,0.115,9.841,0.558,0.293,0.293,0.304,0.437,0.436,0.443
141.348,0.177,0.072,9.870,0.557,0.286,0.285,0.306,0.432,0.431,0.447
141.359,0.192,0.101,9.848,0.561,0.288,0.288,0.311,0.438,0.436,0.454
141.369,0.235,0.072,9.805,0.549,0.303,0.303,0.308,0.453,0.453,0.453
141.380,0.184,0.072,9.870,0.571,0.295,0.294,0.311,0.450,0.446,0.459
141.391,0.192,0.108,9.855,0.577,0.280,0.279,0.303,0.438,0.434,0.452
141.402,0.220,0.115,9.819,0.601,0.280,0.278,0.296,0.445,0.437,0.449
141.413,0.177,0.108,9.841,0.600,0.273,0.272,0.291,0.441,0.433,0.446
141.423,0.170,0.108,9.812,0.595,0.294,0.293,0.292,0.464,0.457,0.451
141.434,0.235,0.122,9.841,0.594,0.276,0.274,0.293,0.448,0.442,0.454
141.445,0.184,0.122,9.848,0.577,0.285,0.284,0.293,0.457,0.454,0.456
141.455,0.206,0.086,9.826,0.574,0.274,0.273,0.289,0.447,0.444,0.455
141.466,0.213,0.108,9.841,0.580,0.243,0.242,0.275,0.420,0.417,0.443
141.477,0.177,0.093,9.826,0.576,0.235,0.235,0.262,0.415,0.412,0.433
141.488,0.206,0.093,9.877,0.557,0.235,0.234,0.253,0.415,0.415,0.426
141.499,0.213,0.079,9.826,0.553,0.244,0.244,0.256,0.426,0.427,0.431
141.509,0.184,0.086,9.870,0.545,0.273,0.273,0.260,0.456,0.458,0.437
141.520,0.256,0.093,9.834,0.526,0.271,0.272,0.268,0.452,0.457,0.446
141.531,0.177,0.079,9.812,0.531,0.273,0.274,0.283,0.455,0.459,0.461
141.541,0.156,0.101,9.884,0.525,0.258,0.259,0.290,0.441,0.446,0.469
141.552,0.206,0.086,9.870,0.556,0.260,0.260,0.291,0.448,0.447,0.471
141.563,0.170,0.101,9.812,0.568,0.273,0.272,0.293,0.463,0.461,0.474
141.574,0.206,0.086,9.783,0.585,0.302,0.301,0.304,0.495,0.491,0.486
141.585,0.228,0.093,9.834,0.578,0.302,0.301,0.312,0.496,0.493,0.495
141.595,0.228,0.079,9.826,0.587,0.316,0.315,0.325,0.512,0.507,0.508
141.606,0.242,0.101,9.848,0.565,0.301,0.300,0.331,0.494,0.493,0.515
141.617,0.199,0.101,9.834,0.538,0.306,0.307,0.329,0.496,0.499,0.512
141.627,0.199,0.065,9.812,0.542,0.308,0.308,0.331,0.497,0.500,0.513
141.638,0.184,0.101,9.862,0.542,0.323,0.324,0.336,0.512,0.515,0.518
141.649,0.170,0.057,9.819,0.554,0.327,0.327,0.339,0.517,0.518,0.521
141.660,0.220,0.065,9.834,0.551,0.318,0.318,0.337,0.508,0.509,0.518
141.671,0.163,0.086,9.798,0.556,0.347,0.347,0.345,0.536,0.536,0.525
141.681,0.228,0.122,9.841,0.543,0.356,0.356,0.361,0.542,0.544,0.540
141.692,0.242,0.065,9.834,0.567,0.362,0.362,0.369,0.550,0.548,0.547
141.703,0.213,0.086,9.855,0.551,0.357,0.357,0.367,0.542,0.543,0.544
141.713,0.206,0.072,9.862,0.549,0.360,0.360,0.367,0.543,0.544,0.543
141.724,0.192,0.101,9.862,0.581,0.346,0.345,0.366,0.532,0.528,0.541
141.735,0.141,0.108,9.877,0.595,0.359,0.357,0.360,0.546,0.540,0.534
141.746,0.249,0.086,9.834,0.588,0.348,0.347,0.355,0.534,0.530,0.529
141.757,0.192,0.101,9.848,0.572,0.364,0.364,0.358,0.548,0.546,0.532
141.767,0.170,0.086,9.819,0.544,0.353,0.353,0.357,0.532,0.534,0.530
141.778,0.199,0.093,9.812,0.564,0.370,0.370,0.359,0.550,0.549,0.531
141.789,0.127,0.072,9.812,0.547,0.359,0.359,0.361,0.535,0.537,0.532
141.800,0.199,0.065,9.870,0.527,0.348,0.349,0.353,0.521,0.526,0.523
141.810,0.206,0.101,9.819,0.543,0.370,0.370,0.352,0.543,0.545,0.522
141.821,0.199,0.093,9.805,0.552,0.357,0.357,0.353,0.530,0.531,0.522
141.832,0.184,0.108,9.870,0.573,0.371,0.371,0.352,0.546,0.543,0.520
141.843,0.213,0.086,9.898,0.558,0.405,0.405,0.358,0.576,0.576,0.526
141.853,0.192,0.129,9.877,0.558,0.413,0.413,0.370,0.582,0.582,0.537
141.864,0.242,0.093,9.819,0.555,0.397,0.397,0.373,0.564,0.564,0.539
141.875,0.228,0.144,9.877,0.566,0.425,0.424,0.380,0.591,0.589,0.545
141.886,0.220,0.093,9.877,0.571,0.434,0.433,0.394,0.598,0.596,0.558
141.896,0.163,0.093,9.855,0.562,0.415,0.415,0.397,0.577,0.577,0.560
141.907,0.235,0.101,9.877,0.560,0.411,0.411,0.392,0.572,0.571,0.553
141.918,0.192,0.065,9.884,0.537,0.399,0.400,0.382,0.555,0.559,0.542
141.928,0.149,0.101,9.862,0.544,0.364,0.364,0.365,0.520,0.522,0.524
141.939,0.192,0.108,9.812,0.559,0.397,0.396,0.357,0.553,0.553,0.516
141.949,0.213,0.101,9.819,0.557,0.378,0.378,0.355,0.534,0.534,0.514
141.960,0.192,0.065,9.848,0.549,0.386,0.386,0.355,0.540,0.541,0.513
141.971,0.170,0.101,9.862,0.541,0.361,0.361,0.352,0.513,0.516,0.510
141.981,0.228,0.093,9.877,0.538,0.344,0.344,0.345,0.495,0.498,0.503
141.992,0.149,0.093,9.862,0.540,0.337,0.337,0.336,0.488,0.491,0.493
142.003,0.184,0.079,9.826,0.558,0.310,0.310,0.325,0.465,0.465,0.482
142.013,0.235,-0.308,9.805,0.525,0.347,0.348,0.323,0.497,0.503,0.481
142.024,-0.238,0.963,9.941,0.688,0.323,0.318,0.323,0.493,0.472,0.481
142.034,0.077,-0.071,9.546,0.589,0.288,0.287,0.314,0.447,0.443,0.473
142.045,-0.310,0.474,9.805,0.591,0.284,0.283,0.304,0.445,0.441,0.464
142.056,-0.174,-1.379,9.977,0.550,0.312,0.312,0.309,0.471,0.473,0.472
142.066,0.249,-0.301,9.489,0.533,0.331,0.332,0.321,0.488,0.494,0.484
142.077,1.083,0.057,9.647,0.646,0.366,0.363,0.339,0.536,0.526,0.503
142.088,-0.397,1.128,9.460,0.746,0.417,0.410,0.367,0.598,0.572,0.533
142.098,-0.116,0.445,9.582,0.693,0.453,0.449,0.390,0.627,0.611,0.556
142.109,-0.231,1.128,9.841,0.820,0.476,0.467,0.414,0.665,0.629,0.581
142.120,-0.490,1.250,10.473,0.858,0.509,0.499,0.441,0.699,0.661,0.610
142.130,0.551,-0.193,10.028,0.808,0.512,0.505,0.455,0.696,0.668,0.626
142.141,0.034,0.596,10.365,0.640,0.512,0.511,0.468,0.674,0.673,0.638
142.151,0.005,1.078,9.805,0.913,0.513,0.501,0.474,0.708,0.662,0.644
142.162,0.156,1.207,10.229,0.985,0.538,0.524,0.482,0.744,0.689,0.656
142.173,0.170,-1.163,9.690,0.674,0.533,0.532,0.487,0.701,0.699,0.663
142.183,-0.253,-0.811,9.898,0.451,0.536,0.544,0.493,0.671,0.705,0.664
142.194,0.055,0.216,9.826,0.365,0.550,0.560,0.497,0.666,0.714,0.661
142.205,0.026,0.891,9.834,0.423,0.578,0.586,0.508,0.694,0.730,0.665
