R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,GRawX,GPT1X,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
52.303,-3.962,0.931,0.098,0.043,9.906,0.147,0.035,9.861,0.252,0.207,0.164,0.164,0.182,0.210,0.212,0.229
52.314,1.042,0.717,0.127,0.065,9.898,0.142,0.039,9.861,0.377,0.230,0.164,0.163,0.189,0.214,0.212,0.236
52.325,2.751,0.320,0.156,0.022,9.783,0.141,0.035,9.859,0.128,0.206,0.149,0.150,0.191,0.197,0.199,0.239
52.336,4.338,1.883,0.120,0.079,9.862,0.140,0.036,9.860,0.461,0.214,0.195,0.195,0.203,0.244,0.244,0.250
52.346,-1.033,1.153,0.127,0.022,9.862,0.140,0.036,9.863,0.127,0.212,0.208,0.208,0.222,0.256,0.257,0.269
52.357,-0.910,0.406,0.098,0.000,9.862,0.139,0.033,9.861,0.002,0.193,0.192,0.193,0.229,0.238,0.242,0.274
52.368,6.047,1.594,0.163,0.036,9.826,0.141,0.034,9.858,0.212,0.198,0.210,0.210,0.235,0.255,0.258,0.279
52.379,-2.742,0.847,0.156,0.014,9.812,0.143,0.032,9.853,0.086,0.190,0.243,0.244,0.255,0.286,0.290,0.297
52.389,-5.305,0.098,0.177,0.036,9.884,0.147,0.035,9.853,0.210,0.205,0.224,0.224,0.259,0.267,0.269,0.299
52.400,4.338,0.917,0.149,0.029,9.848,0.144,0.033,9.854,0.169,0.197,0.249,0.250,0.263,0.290,0.293,0.301
52.411,-0.178,0.222,0.149,0.014,9.870,0.146,0.033,9.853,0.086,0.196,0.220,0.220,0.263,0.260,0.263,0.300
52.421,-0.910,0.148,0.177,0.007,9.884,0.148,0.029,9.859,0.044,0.171,0.213,0.214,0.263,0.249,0.256,0.298
52.432,7.268,1.432,0.127,0.007,9.862,0.143,0.028,9.859,0.044,0.165,0.207,0.209,0.263,0.242,0.249,0.296
52.443,-1.887,1.267,0.149,0.065,9.826,0.144,0.031,9.860,0.379,0.185,0.235,0.236,0.281,0.271,0.275,0.311
52.454,-2.009,0.890,0.156,0.043,9.834,0.145,0.034,9.863,0.253,0.201,0.225,0.225,0.289,0.261,0.263,0.317
52.464,3.117,0.657,0.156,0.050,9.891,0.144,0.033,9.863,0.294,0.196,0.208,0.209,0.293,0.243,0.245,0.319
52.475,-3.962,-0.716,0.105,0.065,9.841,0.146,0.036,9.864,0.379,0.213,0.185,0.185,0.292,0.222,0.222,0.316
52.486,1.164,-0.959,0.134,0.050,9.877,0.145,0.037,9.864,0.294,0.215,0.192,0.191,0.285,0.229,0.228,0.307
52.497,2.751,1.257,0.120,0.043,9.848,0.143,0.037,9.861,0.253,0.218,0.241,0.241,0.286,0.278,0.277,0.306
52.508,2.140,1.105,0.220,0.029,9.848,0.148,0.036,9.860,0.169,0.214,0.216,0.216,0.291,0.253,0.252,0.310
52.518,-1.521,0.371,0.134,0.050,9.862,0.145,0.034,9.861,0.294,0.198,0.193,0.193,0.296,0.227,0.229,0.313
52.529,2.751,-0.075,0.141,0.000,9.819,0.146,0.032,9.862,0.002,0.187,0.184,0.185,0.294,0.217,0.221,0.309
52.540,-1.521,0.220,0.177,0.029,9.891,0.151,0.031,9.858,0.169,0.181,0.189,0.190,0.293,0.221,0.226,0.306
52.551,-5.061,0.478,0.192,0.029,9.848,0.156,0.028,9.860,0.169,0.167,0.203,0.205,0.297,0.233,0.240,0.308
52.561,-7.258,0.424,0.134,-0.006,9.819,0.154,0.027,9.859,-0.039,0.158,0.181,0.183,0.298,0.209,0.217,0.306
52.572,-7.014,-1.962,0.177,0.072,9.913,0.157,0.027,9.865,0.417,0.160,0.120,0.122,0.288,0.149,0.156,0.294
52.583,-4.206,-1.918,0.170,0.036,9.834,0.156,0.026,9.864,0.211,0.154,0.119,0.121,0.270,0.148,0.155,0.274
52.594,-2.253,-0.604,0.177,0.050,9.913,0.156,0.030,9.870,0.293,0.174,0.132,0.133,0.255,0.164,0.168,0.256
52.604,-0.178,0.099,0.134,0.029,9.862,0.152,0.028,9.867,0.169,0.165,0.158,0.160,0.253,0.189,0.195,0.254
52.615,6.291,0.815,0.156,0.036,9.798,0.154,0.032,9.865,0.212,0.187,0.178,0.179,0.255,0.212,0.214,0.255
52.626,-0.422,-0.333,0.127,0.029,9.877,0.148,0.033,9.865,0.169,0.192,0.161,0.162,0.257,0.196,0.197,0.256
52.637,1.896,-0.986,0.134,0.022,9.848,0.144,0.033,9.861,0.128,0.197,0.151,0.151,0.249,0.187,0.187,0.248
52.647,-2.619,-0.352,0.134,0.022,9.898,0.146,0.032,9.868,0.127,0.189,0.150,0.150,0.241,0.186,0.187,0.239
