R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
109.356,0.504,0.375,0.377,0.336,0.336,0.266,0.427,0.428,0.357
109.367,0.422,0.378,0.377,0.347,0.347,0.276,0.436,0.436,0.367
109.377,0.379,0.390,0.378,0.344,0.344,0.284,0.432,0.431,0.374
109.388,0.505,0.405,0.382,0.330,0.329,0.286,0.418,0.414,0.376
109.399,0.212,0.386,0.385,0.337,0.337,0.286,0.421,0.420,0.377
109.409,0.377,0.410,0.388,0.381,0.380,0.294,0.466,0.461,0.384
109.420,0.211,0.398,0.391,0.370,0.369,0.301,0.451,0.448,0.391
109.431,0.169,0.394,0.393,0.362,0.361,0.298,0.440,0.439,0.388
109.441,0.295,0.392,0.393,0.366,0.366,0.297,0.443,0.441,0.386
109.452,0.501,0.376,0.391,0.359,0.359,0.299,0.431,0.433,0.387
109.462,0.418,0.385,0.389,0.346,0.346,0.300,0.418,0.418,0.387
109.473,0.588,0.371,0.385,0.379,0.379,0.307,0.446,0.448,0.392
109.484,0.296,0.373,0.382,0.367,0.367,0.312,0.432,0.434,0.396
109.494,0.380,0.374,0.381,0.362,0.363,0.312,0.426,0.428,0.395
109.505,0.502,0.398,0.383,0.378,0.378,0.322,0.443,0.441,0.403
109.515,0.295,0.378,0.383,0.380,0.381,0.328,0.440,0.441,0.408
109.526,0.462,0.388,0.382,0.380,0.380,0.328,0.439,0.438,0.407
109.536,0.421,0.417,0.387,0.401,0.400,0.330,0.462,0.457,0.408
109.547,0.506,0.401,0.391,0.402,0.401,0.332,0.458,0.456,0.409
109.558,0.252,0.392,0.393,0.399,0.399,0.330,0.452,0.451,0.407
109.568,0.503,0.398,0.392,0.387,0.387,0.325,0.440,0.438,0.401
109.579,0.419,0.409,0.395,0.420,0.419,0.338,0.472,0.468,0.412
109.589,0.379,0.409,0.398,0.408,0.407,0.351,0.458,0.455,0.424
109.600,0.462,0.408,0.399,0.439,0.438,0.368,0.486,0.483,0.440
109.610,0.420,0.380,0.397,0.420,0.420,0.377,0.461,0.462,0.447
109.621,0.211,0.362,0.392,0.422,0.423,0.376,0.458,0.462,0.443
109.632,0.422,0.385,0.390,0.446,0.446,0.385,0.482,0.482,0.449
109.642,0.504,0.378,0.387,0.445,0.445,0.394,0.477,0.478,0.456
109.653,0.294,0.366,0.385,0.440,0.441,0.401,0.468,0.471,0.459
109.663,0.463,0.373,0.382,0.429,0.430,0.405,0.455,0.457,0.461
109.674,0.252,0.368,0.379,0.427,0.427,0.405,0.449,0.452,0.458
109.684,0.592,0.363,0.375,0.447,0.447,0.410,0.465,0.469,0.459
109.695,0.588,0.377,0.373,0.419,0.419,0.409,0.437,0.438,0.455
109.706,0.337,0.352,0.371,0.425,0.426,0.403,0.437,0.442,0.446
109.716,0.591,0.385,0.371,0.425,0.425,0.404,0.439,0.439,0.445
109.727,0.588,0.396,0.373,0.410,0.410,0.404,0.425,0.423,0.443
109.737,0.378,0.375,0.375,0.418,0.418,0.400,0.428,0.429,0.436
109.748,0.463,0.373,0.374,0.423,0.423,0.406,0.431,0.433,0.440
109.758,0.505,0.378,0.373,0.430,0.431,0.408,0.437,0.438,0.439
109.769,0.336,0.377,0.374,0.436,0.437,0.414,0.442,0.442,0.443
109.780,0.420,0.384,0.375,0.406,0.406,0.411,0.410,0.410,0.439
109.790,0.380,0.390,0.377,0.431,0.431,0.410,0.435,0.434,0.436
109.801,0.336,0.396,0.382,0.445,0.444,0.417,0.448,0.446,0.441
109.811,0.421,0.355,0.378,0.426,0.427,0.414,0.422,0.427,0.436
109.822,0.337,0.362,0.375,0.457,0.458,0.417,0.452,0.455,0.436
109.832,0.418,0.388,0.375,0.448,0.448,0.425,0.445,0.444,0.443
109.843,0.421,0.385,0.378,0.459,0.459,0.432,0.453,0.453,0.448
109.854,0.420,0.376,0.378,0.424,0.424,0.431,0.416,0.417,0.445
109.864,0.211,0.375,0.378,0.424,0.425,0.426,0.415,0.416,0.438
109.875,0.547,0.386,0.377,0.407,0.407,0.422,0.399,0.398,0.432
109.885,0.211,0.374,0.378,0.409,0.409,0.422,0.398,0.399,0.430
109.896,0.547,0.369,0.375,0.408,0.409,0.422,0.396,0.398,0.428
109.906,0.462,0.358,0.371,0.405,0.406,0.423,0.391,0.394,0.427
109.917,0.419,0.367,0.370,0.389,0.390,0.421,0.376,0.378,0.423
109.928,0.335,0.353,0.367,0.397,0.398,0.420,0.381,0.385,0.420
109.938,0.380,0.380,0.368,0.387,0.387,0.415,0.374,0.374,0.414
109.949,0.421,0.387,0.370,0.409,0.409,0.414,0.397,0.395,0.412
109.959,0.336,0.408,0.376,0.403,0.402,0.411,0.394,0.389,0.408
109.970,0.463,0.422,0.384,0.408,0.406,0.409,0.401,0.394,0.407
109.980,0.462,0.419,0.391,0.401,0.399,0.411,0.394,0.388,0.409
