R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,100,5,100,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
249.476,0.611,0.842,0.902,0.901,0.868,0.895,0.897
249.486,0.803,0.851,0.906,0.905,0.871,0.901,0.900
249.497,0.356,0.851,0.898,0.897,0.874,0.892,0.891
249.507,1.035,0.841,0.910,0.910,0.881,0.900,0.903
249.517,0.769,0.844,0.914,0.914,0.889,0.904,0.906
249.527,0.288,0.838,0.924,0.924,0.900,0.911,0.914
249.537,-0.839,0.836,0.905,0.905,0.898,0.890,0.894
249.547,-0.322,0.841,0.909,0.909,0.894,0.894,0.896
249.558,-0.211,0.847,0.898,0.897,0.887,0.884,0.885
249.568,-0.389,0.845,0.893,0.892,0.886,0.878,0.879
249.578,1.050,0.852,0.927,0.926,0.891,0.913,0.912
249.588,-0.153,0.852,0.905,0.904,0.893,0.890,0.889
249.598,-0.442,0.853,0.887,0.887,0.888,0.873,0.872
249.608,1.347,0.847,0.927,0.927,0.893,0.911,0.911
249.618,-0.062,0.859,0.910,0.909,0.897,0.896,0.892
249.629,-0.393,0.852,0.904,0.903,0.895,0.888,0.887
249.639,0.938,0.852,0.929,0.928,0.897,0.911,0.910
249.649,0.548,0.856,0.918,0.917,0.901,0.901,0.899
249.659,1.157,0.859,0.933,0.932,0.911,0.916,0.913
249.669,0.444,0.852,0.945,0.944,0.923,0.925,0.923
249.679,0.346,0.848,0.951,0.951,0.930,0.928,0.929
249.689,0.487,0.839,0.970,0.970,0.938,0.942,0.946
249.699,0.495,0.841,0.978,0.978,0.943,0.949,0.951
249.710,0.372,0.854,0.984,0.984,0.946,0.956,0.954
249.720,0.520,0.855,0.980,0.979,0.947,0.950,0.948
249.730,0.674,0.849,0.991,0.990,0.953,0.957,0.957
249.740,-0.627,0.859,0.970,0.969,0.953,0.937,0.933
249.750,-0.329,0.853,0.963,0.963,0.947,0.927,0.926
249.760,-1.897,0.862,0.928,0.927,0.935,0.894,0.890
249.770,-1.861,0.869,0.903,0.901,0.914,0.871,0.865
249.780,-0.189,0.869,0.931,0.929,0.905,0.899,0.893
249.791,0.416,0.876,0.937,0.935,0.905,0.907,0.899
249.801,-0.043,0.883,0.937,0.934,0.905,0.908,0.898
249.811,0.533,0.895,0.945,0.942,0.907,0.920,0.906
249.821,0.012,0.890,0.949,0.945,0.909,0.922,0.910
249.831,-1.279,0.905,0.917,0.912,0.899,0.894,0.878
249.841,-0.156,0.899,0.930,0.926,0.893,0.907,0.893
249.851,-0.393,0.902,0.920,0.916,0.891,0.898,0.884
249.862,-0.985,0.894,0.922,0.918,0.889,0.898,0.887
249.872,-1.102,0.892,0.917,0.913,0.881,0.893,0.883
249.882,-0.787,0.886,0.906,0.903,0.869,0.881,0.874
249.892,-1.457,0.889,0.883,0.880,0.856,0.861,0.853
249.902,-1.142,0.882,0.864,0.861,0.841,0.842,0.836
249.912,-0.789,0.883,0.853,0.850,0.829,0.833,0.827
249.922,-0.809,0.889,0.831,0.828,0.814,0.816,0.808
249.933,2.009,0.889,0.882,0.879,0.822,0.868,0.861
249.943,1.328,0.891,0.891,0.888,0.841,0.878,0.870
249.953,0.640,0.873,0.902,0.900,0.855,0.885,0.884
249.963,-0.502,0.873,0.892,0.890,0.858,0.876,0.874
249.973,0.623,0.882,0.917,0.915,0.864,0.903,0.898
249.983,-0.202,0.878,0.910,0.908,0.869,0.894,0.891
249.993,-0.478,0.888,0.894,0.891,0.863,0.882,0.876
250.004,-0.914,0.892,0.882,0.879,0.855,0.872,0.865
250.014,-0.940,0.897,0.869,0.865,0.846,0.861,0.853
250.024,0.445,0.891,0.880,0.877,0.845,0.873,0.866
250.034,-0.803,0.871,0.854,0.852,0.843,0.842,0.842
250.044,-0.058,0.878,0.858,0.856,0.837,0.850,0.848
250.054,0.211,0.883,0.858,0.855,0.837,0.852,0.849
250.064,0.746,0.879,0.865,0.863,0.841,0.859,0.857
250.074,0.332,0.882,0.869,0.866,0.846,0.865,0.862
250.085,-1.545,0.890,0.822,0.819,0.836,0.823,0.818
250.095,0.035,0.890,0.840,0.837,0.829,0.842,0.837
250.105,-0.231,0.888,0.839,0.836,0.828,0.842,0.838
250.115,0.291,0.901,0.841,0.837,0.825,0.850,0.842
250.125,1.321,0.901,0.854,0.850,0.830,0.865,0.856
250.135,-0.288,0.893,0.833,0.830,0.834,0.844,0.838
250.145,0.212,0.898,0.835,0.832,0.832,0.849,0.842
250.156,-0.278,0.890,0.834,0.831,0.833,0.847,0.843
250.166,-0.614,0.893,0.811,0.808,0.824,0.827,0.822
250.176,0.422,0.885,0.813,0.810,0.821,0.829,0.827
250.186,0.820,0.898,0.826,0.823,0.829,0.847,0.841
250.196,-0.368,0.903,0.812,0.808,0.830,0.836,0.829
250.206,-1.332,0.903,0.787,0.783,0.821,0.814,0.807
250.217,-1.861,0.901,0.761,0.758,0.806,0.791,0.784
250.229,-0.364,0.900,0.775,0.771,0.793,0.807,0.801
250.239,0.445,0.897,0.800,0.797,0.797,0.832,0.828
250.251,0.204,0.878,0.806,0.804,0.803,0.835,0.837
250.262,-2.178,0.874,0.744,0.742,0.791,0.774,0.777
250.274,-2.188,0.878,0.724,0.722,0.769,0.758,0.759
250.285,-2.195,0.882,0.692,0.690,0.741,0.731,0.731
250.297,-1.245,0.877,0.701,0.699,0.727,0.742,0.743
250.309,-0.281,0.879,0.718,0.716,0.723,0.763,0.764
250.320,-0.272,0.872,0.722,0.721,0.719,0.768,0.771
250.332,1.265,0.862,0.755,0.754,0.725,0.800,0.806
250.343,-0.141,0.860,0.737,0.736,0.729,0.783,0.790
250.353,-0.482,0.871,0.722,0.720,0.723,0.773,0.776
250.365,-1.032,0.922,0.700,0.695,0.712,0.768,0.754
250.377,-0.040,1.028,0.715,0.702,0.706,0.813,0.765
250.388,-1.533,0.933,0.672,0.667,0.697,0.750,0.735
250.400,-1.171,1.025,0.681,0.668,0.687,0.786,0.743
250.411,0.239,0.912,0.702,0.700,0.687,0.780,0.779
250.423,1.029,1.142,0.743,0.725,0.696,0.873,0.811
250.435,1.498,1.126,0.758,0.743,0.710,0.886,0.834
250.446,-0.765,1.161,0.715,0.696,0.710,0.859,0.793
250.458,0.041,1.087,0.706,0.694,0.702,0.838,0.799
250.468,0.910,1.152,0.738,0.721,0.710,0.887,0.832
250.480,0.640,1.209,0.754,0.733,0.724,0.922,0.851
250.491,-1.249,1.160,0.707,0.690,0.722,0.867,0.816
250.503,0.774,1.166,0.741,0.724,0.721,0.907,0.857
250.514,0.201,1.051,0.744,0.736,0.733,0.885,0.874
250.526,0.143,1.047,0.735,0.729,0.735,0.877,0.869
250.537,-0.115,0.995,0.724,0.721,0.734,0.855,0.864
250.549,-1.680,0.985,0.681,0.680,0.726,0.811,0.826
250.561,-0.238,0.852,0.688,0.697,0.718,0.787,0.844
250.572,0.343,0.972,0.710,0.709,0.722,0.844,0.858
250.582,-0.036,0.906,0.711,0.717,0.728,0.821,0.866
250.594,0.137,0.849,0.714,0.726,0.733,0.808,0.873
250.606,-1.293,0.808,0.681,0.696,0.726,0.766,0.841
250.617,-0.116,0.704,0.700,0.722,0.719,0.760,0.865
250.629,-1.199,0.680,0.654,0.679,0.707,0.709,0.819
250.640,-0.270,0.560,0.670,0.704,0.701,0.693,0.840
250.652,0.239,0.533,0.671,0.707,0.698,0.684,0.835
250.663,0.093,0.585,0.677,0.710,0.699,0.698,0.830
250.675,-0.027,0.565,0.672,0.705,0.695,0.686,0.817
250.687,0.691,0.609,0.697,0.726,0.698,0.719,0.831
250.698,-0.606,0.604,0.686,0.715,0.701,0.708,0.815
250.708,-1.174,0.626,0.667,0.693,0.694,0.696,0.792
250.720,-0.447,0.834,0.681,0.691,0.681,0.761,0.790
250.732,-0.566,0.687,0.660,0.682,0.674,0.704,0.780
250.743,-0.178,0.792,0.674,0.690,0.673,0.740,0.788
250.755,0.697,0.844,0.701,0.711,0.678,0.781,0.805
250.766,0.967,0.794,0.728,0.739,0.695,0.807,0.832
250.778,-0.486,0.926,0.708,0.709,0.695,0.819,0.802
250.789,-1.229,0.875,0.651,0.654,0.675,0.755,0.751
250.801,-1.611,0.766,0.640,0.652,0.667,0.717,0.751
250.813,-1.213,0.811,0.618,0.632,0.649,0.695,0.732
250.823,-1.734,0.958,0.600,0.602,0.634,0.715,0.703
250.834,-1.657,0.854,0.585,0.594,0.622,0.682,0.696
250.846,-3.048,0.780,0.526,0.540,0.592,0.609,0.644
250.856,-5.169,0.792,0.429,0.440,0.551,0.528,0.548
250.866,-4.184,0.970,0.431,0.428,0.511,0.575,0.544
250.878,-5.563,0.594,0.352,0.374,0.466,0.427,0.495
250.889,-5.731,0.637,0.286,0.312,0.403,0.354,0.438
250.901,-10.579,1.210,0.131,0.113,0.315,0.346,0.250
250.911,-12.899,1.152,-0.021,-0.045,0.199,0.226,0.114
250.923,-16.766,0.836,-0.301,-0.287,0.031,-0.142,-0.105
250.933,-19.905,0.961,-0.552,-0.544,-0.153,-0.352,-0.340
250.943,-23.581,1.265,-0.824,-0.839,-0.362,-0.532,-0.605
250.954,-25.732,0.960,-1.165,-1.118,-0.627,-1.013,-0.848
250.965,-28.628,0.536,-1.533,-1.429,-0.892,-1.510,-1.131
250.975,-27.196,0.452,-1.746,-1.643,-1.158,-1.682,-1.314
250.985,-26.413,1.112,-1.916,-1.879,-1.416,-1.616,-1.508
250.995,-21.645,0.422,-2.064,-1.973,-1.637,-1.879,-1.564
251.005,-19.939,1.365,-2.194,-2.135,-1.827,-1.863,-1.681
251.015,-15.896,1.153,-2.322,-2.218,-1.989,-2.062,-1.711
251.025,-11.860,1.171,-2.380,-2.264,-2.115,-2.099,-1.709
251.035,-10.166,1.168,-2.457,-2.329,-2.209,-2.152,-1.723
251.045,-10.375,1.133,-2.555,-2.420,-2.296,-2.211,-1.767
251.055,-10.486,0.989,-2.641,-2.504,-2.376,-2.246,-1.801
251.065,-9.819,0.872,-2.692,-2.550,-2.448,-2.254,-1.802
251.075,-9.435,0.938,-2.733,-2.606,-2.517,-2.200,-1.814
251.085,-6.038,0.697,-2.726,-2.590,-2.571,-2.165,-1.756
251.095,-3.903,0.706,-2.695,-2.561,-2.593,-2.085,-1.688
251.105,-1.938,0.704,-2.646,-2.503,-2.592,-2.014,-1.595
251.116,-0.814,0.849,-2.588,-2.442,-2.570,-1.924,-1.498
251.127,1.709,0.976,-2.488,-2.334,-2.527,-1.793,-1.351
251.139,5.051,0.943,-2.391,-2.213,-2.465,-1.715,-1.195
251.149,10.365,0.441,-2.235,-2.012,-2.366,-1.648,-0.971
251.161,17.864,0.385,-1.900,-1.661,-2.172,-1.324,-0.601
251.171,20.531,0.418,-1.676,-1.416,-1.965,-1.135,-0.349
251.181,21.606,0.718,-1.470,-1.203,-1.745,-0.923,-0.130
251.192,24.665,1.089,-1.114,-0.858,-1.453,-0.509,0.222
251.202,25.621,1.378,-0.804,-0.564,-1.179,-0.134,0.523
251.213,27.526,0.485,-0.558,-0.237,-0.892,-0.100,0.843
251.223,26.935,0.440,-0.321,0.020,-0.609,0.077,1.081
251.234,28.228,0.589,-0.016,0.355,-0.282,0.300,1.391
251.244,27.384,0.767,0.204,0.617,0.005,0.410,1.628
251.256,25.793,0.524,0.388,0.910,0.327,0.291,1.881
251.268,24.717,0.255,0.600,1.176,0.623,0.348,2.098
251.279,23.641,-0.138,0.828,1.449,0.907,0.438,2.310
