R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,30,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
143.081,0.173,0.002,-0.102,0.047,0.010,0.040,-0.105,-0.104,-0.075
143.091,-0.096,-0.039,-0.092,0.035,-0.002,0.037,-0.114,-0.116,-0.078
143.102,-0.145,-0.372,-0.098,0.030,-0.006,0.035,-0.119,-0.119,-0.080
143.112,0.714,-0.247,-0.102,0.043,0.006,0.036,-0.106,-0.105,-0.079
143.123,0.489,0.044,-0.095,0.031,-0.005,0.040,-0.115,-0.116,-0.075
143.133,0.208,0.002,-0.090,0.039,0.002,0.043,-0.105,-0.107,-0.072
143.143,0.256,0.002,-0.078,0.040,0.003,0.046,-0.099,-0.106,-0.070
143.154,0.656,-0.164,-0.068,0.049,0.012,0.048,-0.086,-0.095,-0.067
143.164,0.080,-0.205,-0.076,0.051,0.015,0.053,-0.085,-0.091,-0.062
143.175,0.126,-0.205,-0.086,0.052,0.017,0.054,-0.086,-0.089,-0.061
143.185,-0.714,-0.039,-0.087,0.059,0.024,0.056,-0.080,-0.082,-0.059
143.196,-0.295,-0.288,-0.090,0.076,0.042,0.054,-0.064,-0.065,-0.061
143.206,-0.580,-0.081,-0.086,0.068,0.034,0.048,-0.071,-0.073,-0.068
143.216,-0.472,-0.246,-0.090,0.065,0.032,0.045,-0.074,-0.076,-0.071
143.227,-1.337,0.086,-0.091,0.033,0.000,0.032,-0.106,-0.107,-0.084
143.237,0.549,0.002,-0.082,0.055,0.021,0.027,-0.081,-0.085,-0.088
143.248,-0.320,0.044,-0.076,0.035,0.001,0.028,-0.098,-0.104,-0.087
143.258,0.451,-0.122,-0.081,0.061,0.028,0.033,-0.073,-0.077,-0.081
143.268,-0.131,-0.206,-0.090,0.052,0.020,0.036,-0.085,-0.085,-0.078
143.279,0.293,-0.164,-0.094,0.055,0.023,0.035,-0.082,-0.082,-0.079
143.289,-1.195,0.086,-0.094,0.031,-0.000,0.030,-0.106,-0.105,-0.084
143.300,-0.707,0.002,-0.095,0.023,-0.007,0.018,-0.113,-0.112,-0.096
143.310,-0.029,-0.163,-0.096,0.031,0.000,0.014,-0.104,-0.103,-0.099
143.320,-0.403,0.002,-0.086,0.022,-0.009,0.014,-0.110,-0.112,-0.099
143.331,-1.290,-0.247,-0.097,-0.001,-0.031,0.004,-0.135,-0.133,-0.108
143.341,-0.185,-0.164,-0.105,0.009,-0.019,-0.000,-0.124,-0.121,-0.112
143.352,0.886,-0.122,-0.110,0.023,-0.005,0.001,-0.111,-0.106,-0.109
143.362,0.816,-0.122,-0.114,0.026,-0.001,0.009,-0.108,-0.102,-0.102
143.373,0.231,-0.081,-0.120,0.030,0.003,0.017,-0.106,-0.098,-0.094
143.383,-0.100,0.086,-0.121,0.029,0.001,0.019,-0.107,-0.099,-0.091
143.393,-0.508,-0.164,-0.114,0.012,-0.014,0.011,-0.122,-0.116,-0.100
143.404,-0.438,-0.080,-0.106,0.023,-0.004,0.009,-0.109,-0.105,-0.101
143.414,-0.220,-0.080,-0.119,0.013,-0.013,0.003,-0.121,-0.114,-0.107
143.425,0.129,-0.331,-0.119,0.002,-0.024,-0.000,-0.130,-0.124,-0.111
143.435,0.606,-0.122,-0.115,0.008,-0.017,0.001,-0.122,-0.117,-0.109
143.446,0.217,-0.081,-0.115,-0.002,-0.028,0.001,-0.132,-0.127,-0.109
143.456,-0.235,0.169,-0.113,-0.005,-0.031,0.001,-0.133,-0.129,-0.108
143.466,-0.810,-0.039,-0.119,-0.012,-0.038,-0.001,-0.142,-0.136,-0.111
143.477,-0.012,-0.080,-0.111,-0.004,-0.030,-0.007,-0.130,-0.127,-0.117
143.487,-1.428,-0.038,-0.114,-0.043,-0.068,-0.018,-0.167,-0.164,-0.127
143.498,-0.834,-0.249,-0.115,-0.043,-0.067,-0.027,-0.166,-0.162,-0.134
143.508,-0.556,-0.248,-0.110,-0.044,-0.069,-0.034,-0.164,-0.161,-0.140
143.519,1.002,-0.122,-0.107,-0.022,-0.046,-0.036,-0.138,-0.137,-0.141
143.529,0.459,-0.080,-0.100,-0.025,-0.049,-0.027,-0.138,-0.139,-0.130
143.539,0.384,0.044,-0.087,-0.021,-0.046,-0.021,-0.130,-0.134,-0.123
143.550,1.291,-0.164,-0.090,-0.013,-0.037,-0.021,-0.120,-0.124,-0.121
143.560,-0.140,-0.163,-0.090,-0.021,-0.046,-0.011,-0.127,-0.131,-0.110
143.571,-0.512,-0.080,-0.094,-0.040,-0.064,-0.016,-0.145,-0.148,-0.114
143.581,-0.307,-0.122,-0.100,-0.054,-0.077,-0.023,-0.158,-0.159,-0.120
143.592,0.839,-0.039,-0.092,-0.016,-0.039,-0.018,-0.117,-0.120,-0.115
143.602,-0.704,-0.205,-0.091,-0.023,-0.046,-0.011,-0.123,-0.126,-0.106
143.612,0.464,0.128,-0.091,-0.007,-0.030,-0.013,-0.106,-0.109,-0.107
143.623,0.587,0.002,-0.101,-0.017,-0.039,-0.014,-0.117,-0.117,-0.108
143.633,-0.166,0.044,-0.086,-0.010,-0.033,-0.006,-0.105,-0.110,-0.099
143.643,-1.517,-0.039,-0.077,-0.030,-0.053,-0.015,-0.122,-0.128,-0.106
143.654,-0.074,-0.123,-0.098,-0.021,-0.043,-0.026,-0.117,-0.117,-0.117
143.664,-1.210,-0.289,-0.108,-0.041,-0.061,-0.032,-0.138,-0.135,-0.122
143.675,-0.382,-0.246,-0.109,-0.043,-0.063,-0.041,-0.139,-0.136,-0.129
143.685,-1.090,-0.291,-0.106,-0.060,-0.080,-0.049,-0.154,-0.151,-0.137
143.696,-1.922,-0.206,-0.119,-0.093,-0.112,-0.064,-0.187,-0.181,-0.151
143.706,-1.452,0.127,-0.103,-0.097,-0.117,-0.081,-0.185,-0.184,-0.165
143.716,-1.251,-0.080,-0.093,-0.102,-0.122,-0.093,-0.185,-0.187,-0.175
143.727,-1.050,-0.247,-0.096,-0.118,-0.138,-0.104,-0.198,-0.200,-0.183
143.737,-0.427,-0.039,-0.093,-0.109,-0.129,-0.111,-0.186,-0.188,-0.187
143.748,0.108,-0.039,-0.097,-0.108,-0.128,-0.112,-0.183,-0.184,-0.185
143.758,0.074,-0.290,-0.097,-0.086,-0.105,-0.105,-0.159,-0.159,-0.175
143.769,-0.369,-0.122,-0.104,-0.083,-0.101,-0.103,-0.156,-0.154,-0.171
143.779,-0.922,0.002,-0.103,-0.082,-0.100,-0.106,-0.153,-0.152,-0.172
143.789,-1.551,-0.373,-0.115,-0.082,-0.099,-0.113,-0.155,-0.150,-0.177
143.800,0.460,-0.289,-0.133,-0.061,-0.077,-0.119,-0.138,-0.128,-0.181
143.810,-0.328,0.085,-0.135,-0.065,-0.081,-0.113,-0.142,-0.132,-0.174
143.821,-1.493,0.002,-0.125,-0.111,-0.126,-0.128,-0.183,-0.176,-0.187
143.831,-0.828,-0.289,-0.146,-0.103,-0.117,-0.136,-0.180,-0.166,-0.193
143.842,-0.021,-0.123,-0.131,-0.107,-0.122,-0.144,-0.178,-0.170,-0.199
143.852,0.142,0.002,-0.137,-0.111,-0.125,-0.144,-0.181,-0.172,-0.198
143.862,-0.916,0.002,-0.120,-0.126,-0.141,-0.149,-0.190,-0.186,-0.200
143.873,-0.937,0.002,-0.108,-0.134,-0.150,-0.160,-0.193,-0.193,-0.208
143.883,-0.858,0.086,-0.097,-0.127,-0.143,-0.165,-0.181,-0.184,-0.210
143.894,-1.194,-0.080,-0.094,-0.143,-0.159,-0.176,-0.193,-0.197,-0.218
143.904,0.158,-0.248,-0.103,-0.136,-0.152,-0.182,-0.186,-0.187,-0.220
143.915,1.124,-0.039,-0.111,-0.133,-0.147,-0.177,-0.182,-0.180,-0.212
143.925,-0.486,0.002,-0.108,-0.161,-0.176,-0.174,-0.207,-0.206,-0.207
143.935,-0.887,-0.289,-0.098,-0.175,-0.189,-0.181,-0.214,-0.217,-0.210
143.946,0.221,-0.122,-0.103,-0.167,-0.182,-0.186,-0.205,-0.206,-0.212
143.956,0.163,-0.205,-0.113,-0.167,-0.181,-0.181,-0.205,-0.203,-0.204
143.967,0.428,-0.373,-0.120,-0.152,-0.165,-0.174,-0.189,-0.185,-0.195
143.977,0.926,-0.039,-0.111,-0.136,-0.149,-0.166,-0.169,-0.167,-0.185
143.988,-0.148,0.002,-0.103,-0.147,-0.160,-0.160,-0.176,-0.177,-0.177
143.998,-0.661,-0.122,-0.097,-0.175,-0.188,-0.170,-0.199,-0.202,-0.185
144.008,0.874,0.044,-0.084,-0.155,-0.170,-0.168,-0.174,-0.181,-0.180
144.019,-0.175,-0.039,-0.080,-0.174,-0.188,-0.167,-0.189,-0.197,-0.177
144.029,0.050,-0.206,-0.086,-0.176,-0.189,-0.167,-0.189,-0.195,-0.174
144.040,0.003,-0.039,-0.083,-0.187,-0.200,-0.166,-0.196,-0.202,-0.170
144.050,-0.269,-0.122,-0.088,-0.199,-0.212,-0.170,-0.206,-0.211,-0.172
144.061,0.147,-0.039,-0.085,-0.204,-0.217,-0.173,-0.207,-0.212,-0.173
144.071,0.018,-0.123,-0.097,-0.214,-0.226,-0.173,-0.217,-0.219,-0.171
144.081,-0.271,0.044,-0.090,-0.204,-0.216,-0.169,-0.202,-0.206,-0.165
144.092,-0.442,-0.122,-0.096,-0.215,-0.226,-0.173,-0.212,-0.213,-0.167
144.102,-0.045,0.085,-0.089,-0.206,-0.217,-0.174,-0.198,-0.202,-0.166
144.113,-0.911,-0.081,-0.081,-0.219,-0.231,-0.177,-0.206,-0.212,-0.167
144.123,-0.610,-0.164,-0.086,-0.208,-0.220,-0.180,-0.194,-0.198,-0.169
144.134,-1.202,0.169,-0.082,-0.213,-0.225,-0.185,-0.195,-0.201,-0.171
144.144,-0.343,-0.290,-0.085,-0.204,-0.215,-0.188,-0.185,-0.189,-0.172
144.154,0.297,-0.080,-0.083,-0.187,-0.198,-0.183,-0.165,-0.170,-0.165
144.165,0.923,-0.122,-0.094,-0.160,-0.170,-0.174,-0.139,-0.140,-0.155
144.175,-0.820,0.044,-0.089,-0.185,-0.195,-0.173,-0.161,-0.164,-0.152
144.186,0.198,0.044,-0.085,-0.169,-0.179,-0.175,-0.143,-0.147,-0.153
144.196,-0.002,0.168,-0.077,-0.171,-0.182,-0.172,-0.143,-0.149,-0.148
144.207,0.743,-0.165,-0.091,-0.166,-0.175,-0.173,-0.139,-0.141,-0.147
144.217,1.043,-0.081,-0.080,-0.137,-0.147,-0.158,-0.107,-0.113,-0.132
144.227,-0.436,0.002,-0.082,-0.151,-0.160,-0.152,-0.121,-0.126,-0.125
144.238,0.664,-0.081,-0.085,-0.142,-0.152,-0.151,-0.113,-0.116,-0.124
144.248,0.248,-0.206,-0.086,-0.158,-0.167,-0.149,-0.128,-0.131,-0.121
144.259,-0.903,-0.206,-0.103,-0.186,-0.194,-0.153,-0.159,-0.157,-0.124
144.269,-0.112,-0.289,-0.098,-0.167,-0.175,-0.154,-0.139,-0.138,-0.125
144.280,0.106,-0.039,-0.096,-0.156,-0.164,-0.150,-0.127,-0.127,-0.121
144.290,0.747,-0.081,-0.103,-0.143,-0.150,-0.145,-0.115,-0.112,-0.116
144.300,0.454,-0.206,-0.103,-0.134,-0.141,-0.137,-0.107,-0.104,-0.108
144.311,-0.812,-0.039,-0.094,-0.162,-0.170,-0.141,-0.132,-0.133,-0.113
144.321,-2.026,0.002,-0.094,-0.210,-0.217,-0.161,-0.178,-0.179,-0.132
144.332,-1.085,-0.080,-0.109,-0.213,-0.218,-0.175,-0.183,-0.179,-0.145
144.342,-0.530,-0.122,-0.125,-0.217,-0.222,-0.184,-0.190,-0.181,-0.153
144.353,-0.647,-0.122,-0.135,-0.230,-0.234,-0.190,-0.204,-0.192,-0.159
144.363,0.201,-0.039,-0.135,-0.208,-0.212,-0.187,-0.182,-0.170,-0.156
144.373,-0.116,-0.164,-0.123,-0.206,-0.210,-0.184,-0.175,-0.167,-0.154
144.384,1.429,-0.039,-0.114,-0.170,-0.175,-0.176,-0.136,-0.132,-0.145
144.394,2.116,0.044,-0.105,-0.154,-0.159,-0.158,-0.118,-0.117,-0.127
144.405,1.554,-0.247,-0.102,-0.142,-0.147,-0.138,-0.105,-0.105,-0.107
144.415,0.919,0.002,-0.094,-0.130,-0.136,-0.122,-0.093,-0.095,-0.092
144.426,1.203,-0.164,-0.108,-0.115,-0.119,-0.110,-0.081,-0.079,-0.080
144.436,1.496,-0.122,-0.107,-0.107,-0.111,-0.100,-0.075,-0.073,-0.071
144.447,1.390,0.002,-0.099,-0.083,-0.088,-0.083,-0.051,-0.052,-0.057
144.457,0.085,-0.164,-0.090,-0.082,-0.087,-0.070,-0.049,-0.053,-0.045
144.467,-0.369,-0.081,-0.086,-0.092,-0.097,-0.074,-0.059,-0.064,-0.050
144.478,0.713,-0.080,-0.090,-0.078,-0.082,-0.074,-0.048,-0.051,-0.052
144.488,0.310,-0.080,-0.098,-0.095,-0.098,-0.072,-0.068,-0.069,-0.051
144.499,1.901,-0.080,-0.093,-0.066,-0.070,-0.065,-0.040,-0.042,-0.046
144.509,0.992,-0.080,-0.096,-0.062,-0.065,-0.049,-0.038,-0.039,-0.032
144.520,0.563,-0.039,-0.094,-0.052,-0.056,-0.041,-0.030,-0.032,-0.027
144.530,-1.218,0.044,-0.084,-0.098,-0.102,-0.048,-0.074,-0.079,-0.035
144.540,0.036,-0.123,-0.087,-0.089,-0.093,-0.053,-0.067,-0.071,-0.042
144.551,0.968,-0.039,-0.085,-0.086,-0.089,-0.052,-0.064,-0.069,-0.043
144.561,0.693,-0.080,-0.084,-0.080,-0.084,-0.043,-0.060,-0.064,-0.036
144.572,1.086,0.002,-0.072,-0.062,-0.066,-0.033,-0.040,-0.048,-0.027
144.582,1.454,-0.416,-0.088,-0.039,-0.041,-0.019,-0.022,-0.025,-0.015
144.592,0.699,0.086,-0.087,-0.043,-0.046,-0.009,-0.028,-0.031,-0.008
144.603,0.499,0.002,-0.087,-0.060,-0.062,-0.007,-0.047,-0.049,-0.008
144.613,1.281,-0.081,-0.090,-0.051,-0.053,0.001,-0.040,-0.042,-0.002
144.624,0.713,0.002,-0.090,-0.066,-0.068,0.006,-0.056,-0.058,0.000
144.634,1.222,0.002,-0.091,-0.058,-0.060,0.013,-0.050,-0.052,0.004
144.645,0.679,0.044,-0.095,-0.067,-0.068,0.020,-0.061,-0.061,0.008
144.655,-0.008,-0.038,-0.086,-0.066,-0.067,0.023,-0.059,-0.062,0.008
144.665,-0.994,-0.080,-0.084,-0.095,-0.097,0.017,-0.088,-0.091,-0.000
144.676,-0.564,-0.206,-0.080,-0.081,-0.083,0.011,-0.074,-0.079,-0.008
144.686,-1.307,-0.080,-0.091,-0.093,-0.094,0.006,-0.089,-0.090,-0.015
144.697,-0.934,-0.206,-0.089,-0.099,-0.100,-0.005,-0.095,-0.096,-0.029
144.707,-0.947,-0.039,-0.075,-0.103,-0.105,-0.014,-0.095,-0.101,-0.039
144.717,-0.937,0.085,-0.064,-0.116,-0.119,-0.024,-0.105,-0.114,-0.050
144.728,-0.789,0.044,-0.059,-0.119,-0.122,-0.030,-0.106,-0.116,-0.056
144.738,-0.425,0.002,-0.056,-0.102,-0.104,-0.031,-0.087,-0.098,-0.057
144.749,-0.207,0.127,-0.051,-0.106,-0.108,-0.035,-0.089,-0.102,-0.061
144.759,0.165,-0.206,-0.064,-0.108,-0.110,-0.035,-0.095,-0.102,-0.061
