R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,0,30,0,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
84.656,-0.126,0.441,0.036,0.054,-0.055,-0.054,-0.030,-0.015,-0.012,0.011
84.666,0.228,0.008,0.019,0.049,-0.061,-0.060,-0.033,-0.024,-0.018,0.007
84.677,0.658,0.241,0.007,0.042,-0.050,-0.049,-0.027,-0.015,-0.008,0.011
84.688,-0.656,0.071,0.012,0.036,-0.075,-0.073,-0.026,-0.039,-0.033,0.011
84.699,-1.257,-0.631,-0.012,0.029,-0.095,-0.093,-0.037,-0.063,-0.053,-0.001
84.710,-1.832,-1.015,0.006,0.023,-0.097,-0.096,-0.049,-0.062,-0.056,-0.014
84.720,-0.823,-0.989,0.001,0.018,-0.091,-0.089,-0.059,-0.056,-0.049,-0.025
84.731,-1.349,-0.983,-0.004,0.014,-0.111,-0.109,-0.068,-0.077,-0.069,-0.035
84.742,-1.807,-1.306,0.014,0.012,-0.132,-0.131,-0.083,-0.094,-0.090,-0.050
84.752,-0.201,-0.940,0.013,0.012,-0.115,-0.114,-0.090,-0.076,-0.072,-0.057
84.763,-0.944,-0.836,0.014,0.013,-0.131,-0.130,-0.095,-0.091,-0.087,-0.061
84.774,-1.489,-1.015,0.019,0.014,-0.152,-0.152,-0.105,-0.110,-0.107,-0.070
84.785,-0.410,-0.746,0.034,0.017,-0.127,-0.127,-0.109,-0.081,-0.081,-0.073
84.796,-0.903,-0.766,0.022,0.019,-0.145,-0.144,-0.115,-0.099,-0.096,-0.077
84.806,-2.241,-1.227,0.020,0.019,-0.200,-0.199,-0.131,-0.151,-0.148,-0.092
84.817,-1.163,-1.318,0.015,0.018,-0.193,-0.192,-0.146,-0.142,-0.139,-0.105
84.828,-0.089,-0.723,0.020,0.017,-0.159,-0.158,-0.145,-0.106,-0.103,-0.102
84.839,0.340,-0.371,0.025,0.017,-0.154,-0.153,-0.143,-0.099,-0.097,-0.099
84.849,-0.239,-0.161,0.030,0.019,-0.145,-0.144,-0.138,-0.087,-0.086,-0.092
84.860,-0.594,-0.118,0.033,0.021,-0.129,-0.129,-0.134,-0.071,-0.070,-0.087
84.871,-1.051,-0.409,0.035,0.024,-0.149,-0.149,-0.140,-0.089,-0.089,-0.091
84.881,0.616,-0.058,0.043,0.026,-0.115,-0.115,-0.137,-0.052,-0.054,-0.086
84.892,0.652,0.147,0.046,0.029,-0.116,-0.116,-0.130,-0.052,-0.054,-0.078
84.903,0.215,0.255,0.045,0.031,-0.113,-0.113,-0.123,-0.049,-0.050,-0.069
84.914,-0.737,0.082,0.030,0.033,-0.131,-0.131,-0.121,-0.068,-0.067,-0.066
84.925,0.217,-0.092,0.020,0.031,-0.134,-0.133,-0.124,-0.071,-0.068,-0.068
84.935,-0.549,-0.114,0.025,0.029,-0.142,-0.142,-0.122,-0.078,-0.076,-0.066
84.946,-0.820,-0.540,0.029,0.028,-0.150,-0.150,-0.129,-0.084,-0.083,-0.071
84.957,-0.499,-0.713,0.038,0.029,-0.151,-0.150,-0.136,-0.082,-0.082,-0.077
84.967,0.228,-0.343,0.042,0.032,-0.136,-0.136,-0.134,-0.065,-0.066,-0.074
84.978,0.215,-0.061,0.042,0.034,-0.127,-0.127,-0.128,-0.055,-0.057,-0.067
84.989,0.182,-0.178,0.053,0.037,-0.128,-0.128,-0.128,-0.054,-0.057,-0.065
85.000,0.566,0.229,0.059,0.043,-0.102,-0.102,-0.118,-0.026,-0.030,-0.053
85.010,-0.433,0.166,0.046,0.045,-0.110,-0.110,-0.112,-0.036,-0.038,-0.047
85.021,-0.120,0.108,0.034,0.044,-0.092,-0.092,-0.109,-0.020,-0.019,-0.043
85.032,0.037,-0.097,0.021,0.041,-0.096,-0.095,-0.110,-0.026,-0.023,-0.044
85.043,-0.171,-0.177,0.012,0.037,-0.102,-0.101,-0.110,-0.034,-0.030,-0.044
85.054,-0.040,0.134,0.029,0.034,-0.087,-0.087,-0.104,-0.018,-0.017,-0.038
85.064,0.253,0.188,0.012,0.032,-0.083,-0.082,-0.100,-0.016,-0.013,-0.034
85.075,0.619,0.203,0.024,0.029,-0.077,-0.077,-0.096,-0.010,-0.009,-0.031
85.086,1.188,0.530,0.029,0.029,-0.063,-0.062,-0.085,0.003,0.004,-0.021
85.096,0.671,0.703,0.040,0.031,-0.059,-0.059,-0.073,0.007,0.007,-0.009
85.107,-0.361,0.402,0.027,0.031,-0.071,-0.070,-0.068,-0.006,-0.005,-0.005
85.118,-0.180,-0.015,0.056,0.033,-0.060,-0.061,-0.070,0.006,0.002,-0.007
85.129,0.220,0.167,0.052,0.037,-0.042,-0.042,-0.064,0.022,0.020,-0.002
85.139,-0.172,0.077,0.039,0.038,-0.047,-0.047,-0.061,0.015,0.014,-0.000
85.150,-0.790,-0.277,0.047,0.039,-0.050,-0.050,-0.064,0.012,0.010,-0.003
85.161,-0.459,-0.322,0.073,0.043,-0.038,-0.039,-0.065,0.026,0.020,-0.005
85.172,-0.422,-0.212,0.050,0.046,-0.036,-0.036,-0.064,0.024,0.022,-0.004
85.182,-0.361,-0.291,0.047,0.048,-0.032,-0.032,-0.066,0.026,0.025,-0.005
85.193,1.154,0.302,0.061,0.050,0.007,0.006,-0.056,0.065,0.062,0.003
85.204,0.394,0.513,0.045,0.050,-0.005,-0.005,-0.046,0.049,0.048,0.013
85.215,1.107,0.488,0.037,0.047,0.006,0.006,-0.039,0.057,0.057,0.017
85.225,1.493,0.868,0.025,0.043,0.021,0.022,-0.025,0.069,0.071,0.030
85.236,2.026,1.114,0.026,0.041,0.043,0.044,-0.008,0.088,0.090,0.045
85.247,1.132,1.382,0.053,0.043,0.064,0.063,0.013,0.108,0.105,0.065
85.258,1.502,1.450,0.089,0.048,0.094,0.092,0.031,0.139,0.131,0.080
85.268,0.120,1.156,0.074,0.053,0.086,0.085,0.044,0.126,0.121,0.091
85.279,0.206,0.791,0.062,0.056,0.088,0.088,0.049,0.123,0.120,0.094
85.290,2.083,1.251,0.057,0.057,0.140,0.140,0.066,0.170,0.168,0.108
85.301,1.882,1.621,0.031,0.053,0.165,0.166,0.090,0.186,0.188,0.127
85.311,0.354,1.224,0.031,0.048,0.145,0.146,0.101,0.160,0.162,0.134
85.322,0.878,1.001,0.037,0.044,0.166,0.166,0.110,0.177,0.177,0.138
85.333,-0.075,0.487,0.057,0.046,0.147,0.147,0.111,0.156,0.154,0.136
85.344,0.216,0.194,0.050,0.046,0.149,0.149,0.110,0.154,0.153,0.131
85.355,0.248,0.268,0.036,0.046,0.152,0.152,0.115,0.150,0.151,0.132
