R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,-1550,50,1,50,1,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
305.364,1.245,0.601,0.212,0.218,0.144,0.145,0.125,0.276,0.277,0.259
305.375,0.558,0.521,0.205,0.217,0.130,0.131,0.131,0.258,0.261,0.263
305.386,-0.496,0.349,0.207,0.216,0.126,0.127,0.134,0.253,0.255,0.265
305.397,0.369,0.171,0.213,0.215,0.141,0.142,0.133,0.268,0.269,0.262
305.407,0.034,0.282,0.212,0.215,0.146,0.147,0.138,0.270,0.271,0.265
305.418,0.276,0.024,0.208,0.214,0.136,0.137,0.134,0.258,0.260,0.260
305.429,0.413,0.102,0.209,0.214,0.138,0.140,0.136,0.259,0.261,0.260
305.440,0.396,0.379,0.201,0.213,0.138,0.140,0.141,0.255,0.260,0.264
305.450,0.277,0.457,0.198,0.211,0.145,0.146,0.147,0.259,0.264,0.267
305.461,-0.553,0.209,0.192,0.209,0.139,0.140,0.148,0.249,0.255,0.266
305.472,-1.229,-0.318,0.196,0.208,0.114,0.115,0.139,0.225,0.230,0.254
305.483,-0.417,-0.463,0.191,0.206,0.130,0.131,0.132,0.237,0.244,0.245
305.494,0.430,-0.201,0.198,0.205,0.159,0.160,0.133,0.266,0.270,0.245
305.504,0.528,0.193,0.203,0.205,0.173,0.175,0.139,0.280,0.282,0.250
305.515,-0.106,0.070,0.216,0.206,0.161,0.162,0.140,0.270,0.268,0.250
305.526,-0.225,-0.041,0.219,0.207,0.163,0.164,0.139,0.271,0.268,0.248
305.537,-1.140,-0.403,0.218,0.208,0.149,0.151,0.132,0.255,0.253,0.241
305.547,-0.760,-0.582,0.216,0.209,0.142,0.143,0.123,0.246,0.245,0.231
305.558,-0.207,-0.528,0.213,0.210,0.147,0.148,0.117,0.250,0.249,0.225
305.569,-0.435,-0.421,0.207,0.210,0.138,0.139,0.113,0.238,0.239,0.221
305.580,-1.251,-0.805,0.212,0.210,0.110,0.111,0.101,0.211,0.211,0.209
305.591,0.708,-0.249,0.212,0.210,0.147,0.148,0.101,0.248,0.247,0.210
305.601,0.510,-0.016,0.205,0.210,0.144,0.145,0.104,0.242,0.244,0.213
305.612,0.732,0.213,0.204,0.210,0.151,0.152,0.109,0.247,0.249,0.218
305.623,0.197,0.117,0.215,0.210,0.139,0.141,0.110,0.239,0.238,0.219
305.634,1.271,0.315,0.226,0.211,0.159,0.160,0.115,0.261,0.257,0.223
305.644,0.358,0.536,0.225,0.212,0.151,0.152,0.123,0.252,0.248,0.232
305.655,-0.097,0.246,0.225,0.213,0.130,0.131,0.122,0.231,0.227,0.231
305.666,-0.992,-0.058,0.233,0.215,0.116,0.117,0.119,0.220,0.214,0.228
305.677,-1.011,-0.469,0.231,0.217,0.113,0.114,0.109,0.217,0.211,0.219
305.687,-0.690,-0.436,0.221,0.218,0.130,0.131,0.105,0.230,0.228,0.216
305.698,0.348,-0.103,0.219,0.218,0.139,0.141,0.105,0.239,0.237,0.216
305.709,0.379,0.170,0.234,0.218,0.150,0.151,0.110,0.254,0.247,0.221
305.720,0.248,0.372,0.231,0.220,0.144,0.146,0.114,0.247,0.242,0.226
305.731,-1.194,-0.145,0.223,0.221,0.111,0.113,0.108,0.212,0.209,0.221
305.741,-1.366,-0.762,0.226,0.221,0.080,0.082,0.092,0.183,0.180,0.205
305.752,-1.218,-1.181,0.228,0.222,0.063,0.065,0.074,0.169,0.166,0.189
305.763,-1.318,-1.175,0.238,0.223,0.048,0.050,0.061,0.161,0.154,0.178
305.773,-0.614,-1.046,0.230,0.224,0.046,0.047,0.050,0.158,0.154,0.169
305.784,-1.465,-0.995,0.209,0.223,0.029,0.031,0.041,0.138,0.141,0.163
305.795,-0.320,-0.849,0.211,0.222,0.044,0.045,0.032,0.155,0.157,0.155
305.806,-0.109,-0.365,0.209,0.220,0.053,0.054,0.032,0.166,0.168,0.158
305.817,-0.590,-0.376,0.206,0.219,0.057,0.058,0.030,0.170,0.174,0.158
305.827,-1.557,-0.736,0.216,0.218,0.038,0.040,0.020,0.157,0.157,0.150
305.838,0.105,-0.677,0.196,0.217,0.049,0.050,0.010,0.163,0.170,0.143
305.849,-0.286,-0.439,0.199,0.215,0.045,0.047,0.009,0.162,0.167,0.144
305.860,-0.218,-0.251,0.200,0.213,0.070,0.071,0.010,0.187,0.192,0.147
305.870,-0.125,-0.205,0.186,0.211,0.085,0.086,0.009,0.198,0.207,0.149
305.881,0.318,0.089,0.185,0.209,0.094,0.095,0.012,0.206,0.215,0.153
305.892,0.232,0.078,0.196,0.207,0.087,0.088,0.012,0.203,0.208,0.155
305.903,1.710,0.766,0.196,0.206,0.137,0.138,0.026,0.251,0.257,0.171
305.913,0.591,0.917,0.200,0.205,0.137,0.138,0.039,0.251,0.255,0.185
305.924,0.502,0.888,0.202,0.205,0.151,0.152,0.049,0.264,0.267,0.195
305.935,-0.326,0.621,0.203,0.205,0.140,0.141,0.052,0.251,0.254,0.199
