R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
210.463,1.203,-0.782,0.144,0.158,0.159,0.155,0.174,0.179,0.176
210.473,3.644,0.806,0.147,0.173,0.174,0.153,0.189,0.193,0.173
210.484,2.790,-0.169,0.136,0.159,0.161,0.156,0.171,0.177,0.175
210.495,-3.557,-0.377,0.129,0.158,0.160,0.159,0.167,0.175,0.175
210.505,-0.505,-0.116,0.132,0.165,0.167,0.160,0.173,0.180,0.175
210.516,-4.412,-0.064,0.132,0.155,0.157,0.157,0.161,0.168,0.170
210.526,-3.801,-0.357,0.135,0.146,0.148,0.154,0.152,0.158,0.166
210.537,4.743,0.853,0.113,0.169,0.172,0.156,0.168,0.180,0.166
210.547,2.057,0.968,0.116,0.189,0.192,0.169,0.186,0.197,0.177
210.558,3.400,2.168,0.114,0.223,0.226,0.185,0.216,0.228,0.190
210.568,-3.191,-0.667,0.119,0.195,0.198,0.194,0.187,0.197,0.197
210.579,3.644,-0.408,0.125,0.193,0.195,0.186,0.184,0.192,0.186
210.590,-0.750,0.091,0.123,0.173,0.176,0.178,0.163,0.171,0.177
210.600,4.865,-0.178,0.134,0.162,0.164,0.174,0.154,0.158,0.171
210.610,-5.266,0.001,0.125,0.179,0.181,0.180,0.167,0.174,0.176
210.621,4.377,0.269,0.142,0.178,0.179,0.179,0.169,0.170,0.173
210.631,-2.092,-0.066,0.142,0.167,0.168,0.180,0.157,0.158,0.172
210.642,1.325,-0.061,0.135,0.154,0.156,0.177,0.142,0.145,0.168
210.652,-1.604,-0.197,0.142,0.146,0.147,0.176,0.136,0.137,0.166
210.663,-0.139,0.155,0.149,0.159,0.160,0.178,0.150,0.149,0.167
210.674,-1.360,0.686,0.156,0.177,0.177,0.185,0.169,0.165,0.173
210.684,0.104,-0.651,0.142,0.161,0.162,0.186,0.149,0.150,0.173
210.695,10.236,0.596,0.133,0.165,0.167,0.181,0.150,0.154,0.167
210.705,-0.383,0.618,0.128,0.166,0.168,0.187,0.149,0.155,0.172
210.716,-7.464,0.198,0.131,0.170,0.171,0.195,0.152,0.156,0.178
210.726,1.325,0.428,0.130,0.169,0.171,0.194,0.151,0.155,0.176
210.737,0.959,0.670,0.132,0.167,0.169,0.197,0.149,0.152,0.178
210.747,4.499,1.003,0.140,0.177,0.178,0.203,0.159,0.161,0.182
210.758,1.569,0.889,0.143,0.187,0.188,0.213,0.169,0.170,0.190
210.769,-0.383,-0.034,0.139,0.188,0.189,0.218,0.168,0.170,0.194
210.779,2.057,-0.100,0.144,0.173,0.174,0.212,0.154,0.154,0.186
210.790,-0.505,-0.878,0.144,0.159,0.160,0.206,0.141,0.140,0.180
210.800,-2.825,-0.608,0.144,0.162,0.163,0.201,0.143,0.143,0.173
210.811,-2.214,-0.393,0.150,0.152,0.153,0.194,0.135,0.133,0.166
210.821,1.569,-0.614,0.145,0.156,0.157,0.190,0.137,0.137,0.161
210.832,-1.848,-0.852,0.153,0.158,0.159,0.186,0.141,0.138,0.156
210.842,6.208,0.071,0.150,0.166,0.166,0.181,0.148,0.146,0.151
210.853,-7.342,-0.331,0.154,0.171,0.171,0.184,0.153,0.150,0.154
210.863,0.470,-0.541,0.156,0.172,0.172,0.181,0.154,0.151,0.150
210.874,-0.872,0.466,0.153,0.211,0.211,0.187,0.192,0.189,0.157
210.884,7.551,0.158,0.155,0.195,0.195,0.184,0.175,0.172,0.153
210.895,7.428,1.367,0.152,0.206,0.206,0.187,0.185,0.182,0.156
210.905,1.935,2.062,0.145,0.228,0.229,0.205,0.204,0.204,0.173
210.916,5.841,1.885,0.151,0.234,0.234,0.221,0.210,0.208,0.188
210.927,-3.435,0.680,0.153,0.228,0.228,0.235,0.202,0.200,0.201
210.937,5.597,0.972,0.163,0.244,0.243,0.244,0.219,0.214,0.208
210.947,-5.144,-0.142,0.163,0.242,0.241,0.250,0.215,0.210,0.214
210.958,1.691,0.947,0.173,0.257,0.256,0.254,0.231,0.223,0.216
210.969,1.203,1.090,0.166,0.268,0.267,0.263,0.239,0.233,0.223
210.979,-2.336,-0.084,0.147,0.267,0.268,0.270,0.230,0.231,0.229
210.989,-6.121,-2.209,0.151,0.220,0.220,0.259,0.183,0.182,0.216
211.000,10.480,-0.032,0.150,0.247,0.248,0.248,0.208,0.208,0.203
211.011,-1.848,0.391,0.145,0.271,0.272,0.253,0.229,0.230,0.207
211.021,1.569,0.781,0.138,0.279,0.280,0.259,0.232,0.236,0.211
211.032,-1.848,0.411,0.136,0.297,0.299,0.269,0.247,0.251,0.219
211.042,-3.191,0.892,0.146,0.320,0.321,0.279,0.269,0.269,0.226
211.053,-2.581,-0.438,0.152,0.312,0.313,0.284,0.259,0.258,0.229
211.063,-1.360,-0.206,0.163,0.318,0.318,0.282,0.265,0.261,0.226
211.074,-1.726,-0.373,0.150,0.301,0.301,0.277,0.242,0.242,0.219
211.084,-1.726,0.996,0.137,0.309,0.311,0.280,0.245,0.248,0.220
211.095,1.203,-0.809,0.136,0.278,0.280,0.280,0.211,0.215,0.218
211.105,2.179,-0.003,0.138,0.283,0.284,0.273,0.215,0.218,0.209
211.116,-0.505,1.029,0.139,0.313,0.314,0.284,0.242,0.245,0.218
211.128,-0.994,0.144,0.138,0.296,0.297,0.288,0.223,0.226,0.221
211.138,0.348,-0.510,0.139,0.280,0.281,0.285,0.206,0.208,0.216
211.148,-0.017,-0.737,0.150,0.266,0.266,0.278,0.194,0.193,0.207
211.159,-2.459,0.436,0.146,0.296,0.297,0.278,0.222,0.222,0.207
211.169,-6.365,-0.851,0.160,0.278,0.277,0.278,0.206,0.201,0.205
211.180,0.836,-0.175,0.163,0.267,0.266,0.267,0.195,0.190,0.194
211.190,1.203,0.037,0.176,0.287,0.285,0.269,0.218,0.209,0.196
211.201,-0.261,-0.614,0.175,0.263,0.261,0.263,0.193,0.185,0.189
211.211,1.325,-1.375,0.172,0.248,0.247,0.254,0.178,0.170,0.181
211.221,5.231,-1.484,0.181,0.230,0.228,0.238,0.162,0.152,0.164
211.232,3.888,0.586,0.174,0.272,0.270,0.235,0.202,0.194,0.162
211.242,-0.383,0.283,0.174,0.254,0.253,0.236,0.184,0.177,0.164
211.252,-0.017,0.121,0.149,0.252,0.253,0.239,0.176,0.177,0.167
211.263,8.893,0.466,0.190,0.261,0.258,0.237,0.194,0.182,0.165
211.274,-5.388,-0.188,0.168,0.254,0.253,0.241,0.182,0.177,0.169
211.284,-0.017,-0.253,0.196,0.254,0.251,0.237,0.188,0.175,0.166
211.294,1.935,-0.290,0.110,0.257,0.260,0.237,0.169,0.183,0.164
211.305,-3.069,0.082,0.079,0.276,0.283,0.237,0.179,0.204,0.164
211.315,1.203,1.294,0.004,0.291,0.304,0.243,0.172,0.222,0.168
211.326,-5.755,0.142,-0.012,0.265,0.278,0.248,0.138,0.193,0.170
211.336,-6.487,-0.698,-0.032,0.246,0.262,0.246,0.112,0.173,0.164
211.347,2.545,0.119,-0.018,0.242,0.257,0.238,0.108,0.164,0.153
211.357,-7.952,-0.780,-0.021,0.226,0.241,0.236,0.089,0.145,0.147
211.367,-0.139,-1.291,-0.027,0.198,0.213,0.222,0.058,0.115,0.131
211.378,-3.435,-1.742,-0.047,0.173,0.190,0.207,0.027,0.089,0.113
211.388,-7.097,-1.773,-0.123,0.140,0.163,0.187,-0.025,0.060,0.090
211.399,-6.975,-1.739,-0.028,0.132,0.148,0.170,-0.010,0.043,0.070
211.409,-5.999,-1.277,-0.143,0.104,0.129,0.153,-0.068,0.022,0.051
211.419,-4.900,-0.480,-0.201,0.121,0.150,0.146,-0.066,0.040,0.040
211.430,4.743,-0.467,-0.266,0.098,0.133,0.135,-0.108,0.018,0.025
211.440,-2.581,-0.133,-0.067,0.129,0.149,0.134,-0.032,0.031,0.021
211.451,3.278,1.145,-0.043,0.147,0.165,0.135,-0.008,0.046,0.021
211.461,7.428,1.312,-0.052,0.170,0.189,0.148,0.012,0.067,0.032
211.471,-3.679,-0.009,0.024,0.154,0.168,0.154,0.013,0.046,0.038
211.482,0.714,-0.575,0.099,0.139,0.147,0.147,0.018,0.027,0.033
211.492,-2.092,-1.147,0.210,0.135,0.134,0.140,0.042,0.018,0.030
211.503,-5.144,-0.671,0.211,0.126,0.125,0.131,0.037,0.013,0.023
211.513,0.470,-0.986,0.119,0.111,0.118,0.123,0.002,0.009,0.019
211.524,-5.144,-1.188,0.230,0.112,0.112,0.115,0.026,0.007,0.015
211.534,2.179,-1.121,0.167,0.100,0.106,0.104,0.004,0.006,0.009
211.544,0.714,-1.080,0.074,0.083,0.097,0.092,-0.036,0.000,0.000
211.555,2.790,0.089,-0.152,0.084,0.116,0.085,-0.090,0.017,-0.008
211.565,-0.383,-0.462,0.101,0.092,0.104,0.082,-0.019,0.004,-0.011
211.576,7.428,0.120,0.277,0.111,0.110,0.079,0.043,0.014,-0.009
211.586,3.766,-0.280,0.085,0.084,0.098,0.076,-0.027,0.006,-0.009
211.597,4.621,0.337,0.218,0.085,0.089,0.073,0.008,0.000,-0.010
211.607,0.592,-0.773,0.245,0.066,0.068,0.072,0.000,-0.014,-0.005
211.617,3.522,-0.183,0.277,0.081,0.081,0.070,0.028,0.005,-0.000
211.628,-1.970,-0.119,0.090,0.066,0.080,0.069,-0.027,0.007,0.002
211.638,-7.952,-0.635,0.102,0.052,0.066,0.065,-0.037,-0.004,0.000
211.649,-3.923,-0.579,0.092,0.056,0.072,0.064,-0.036,0.002,-0.000
211.659,4.010,-1.319,0.050,0.023,0.042,0.051,-0.076,-0.026,-0.012
211.669,7.673,-0.701,-0.018,0.009,0.033,0.036,-0.103,-0.035,-0.027
211.680,6.818,-0.357,-0.173,-0.021,0.014,0.023,-0.170,-0.057,-0.043
211.690,-6.609,-1.164,-0.246,-0.052,-0.010,0.014,-0.218,-0.087,-0.057
211.701,1.935,-0.377,-0.264,-0.035,0.007,0.006,-0.205,-0.072,-0.069
211.711,-1.848,-0.134,-0.201,-0.031,0.006,0.001,-0.190,-0.079,-0.081
211.722,9.748,0.974,-0.055,0.019,0.046,0.005,-0.110,-0.043,-0.080
211.732,-11.126,0.062,-0.071,-0.002,0.029,0.013,-0.139,-0.057,-0.068
211.743,-1.238,0.018,-0.072,0.007,0.037,0.014,-0.120,-0.049,-0.066
211.753,-5.999,-0.931,0.023,-0.018,-0.001,0.007,-0.113,-0.088,-0.074
211.764,9.015,1.574,-0.127,0.017,0.041,0.006,-0.092,-0.044,-0.074
211.774,21.223,3.453,0.111,0.117,0.110,0.030,0.095,0.024,-0.048
211.785,-12.469,4.353,0.760,0.233,0.174,0.083,0.361,0.096,0.013
211.796,9.870,4.151,0.489,0.229,0.205,0.127,0.262,0.135,0.066
211.807,5.964,9.658,0.029,0.372,0.406,0.209,0.239,0.334,0.148
211.818,-10.149,9.405,0.020,0.522,0.552,0.326,0.398,0.472,0.262
211.828,3.766,6.005,-0.207,0.494,0.533,0.396,0.336,0.445,0.326
211.839,20.246,6.581,-0.633,0.503,0.568,0.446,0.257,0.463,0.360
211.850,-3.801,2.538,-0.471,0.470,0.546,0.497,0.184,0.424,0.396
211.861,4.743,-0.533,-0.414,0.337,0.416,0.484,0.035,0.283,0.370
211.872,-23.089,-2.758,-0.350,0.290,0.367,0.471,-0.009,0.223,0.345
211.883,-5.999,-4.349,-0.596,0.208,0.298,0.427,-0.136,0.144,0.287
211.894,-5.022,-1.053,-1.071,0.198,0.318,0.388,-0.241,0.144,0.227
211.905,-16.863,-0.049,-1.612,0.189,0.343,0.376,-0.364,0.140,0.184
211.916,-4.656,1.072,-2.576,0.156,0.374,0.368,-0.597,0.131,0.136
211.928,12.189,5.274,-2.829,0.284,0.510,0.387,-0.526,0.211,0.101
211.939,3.278,8.090,-3.005,0.408,0.646,0.444,-0.479,0.286,0.101
211.950,-3.313,8.669,-3.691,0.467,0.753,0.519,-0.600,0.329,0.114
211.961,15.729,10.337,-4.514,0.493,0.833,0.584,-0.773,0.331,0.105
211.972,20.368,13.940,-4.966,0.621,0.992,0.677,-0.795,0.399,0.112
211.983,20.002,16.782,-5.879,0.757,1.199,0.811,-0.925,0.503,0.149
211.994,11.823,16.846,-6.665,0.856,1.365,0.953,-1.091,0.551,0.180
212.005,0.592,13.136,-7.269,0.877,1.440,1.074,-1.306,0.497,0.178
212.016,-12.713,7.530,-7.493,0.837,1.419,1.144,-1.489,0.344,0.121
212.027,-6.121,0.700,-7.489,0.690,1.259,1.128,-1.694,0.057,-0.020
212.038,0.714,-1.172,-7.186,0.611,1.141,1.061,-1.750,-0.178,-0.205
212.049,-1.238,-3.051,-6.699,0.543,1.024,0.983,-1.762,-0.402,-0.389
212.060,0.104,-5.655,-5.977,0.417,0.820,0.871,-1.746,-0.694,-0.593
212.070,-8.074,-5.737,-5.364,0.371,0.707,0.765,-1.667,-0.881,-0.775
212.081,-8.806,-7.832,-4.700,0.309,0.584,0.657,-1.615,-1.063,-0.943
212.091,-4.656,-6.525,-4.106,0.287,0.504,0.548,-1.519,-1.185,-1.097
212.102,-3.313,-6.054,-3.858,0.224,0.402,0.442,-1.508,-1.321,-1.238
212.113,2.301,-5.212,-4.104,0.153,0.361,0.354,-1.688,-1.395,-1.360
212.123,-4.046,-5.063,-3.755,0.102,0.261,0.265,-1.636,-1.525,-1.481
212.134,-11.980,-5.318,-3.043,0.067,0.167,0.179,-1.536,-1.633,-1.583
212.145,-14.178,-6.864,-3.297,-0.076,0.063,0.094,-1.795,-1.747,-1.679
212.156,-6.487,-6.768,-3.239,-0.155,-0.019,-0.000,-1.879,-1.844,-1.789
212.166,-13.445,-9.877,-2.514,-0.235,-0.213,-0.114,-1.667,-2.035,-1.903
212.177,-9.661,-10.665,-2.067,-0.301,-0.341,-0.241,-1.569,-2.149,-2.019
212.187,-9.051,-10.002,-2.459,-0.379,-0.431,-0.362,-1.613,-2.225,-2.127
212.198,-21.258,-12.418,-1.559,-0.501,-0.619,-0.493,-1.560,-2.392,-2.239
212.208,-7.219,-11.206,-1.739,-0.645,-0.711,-0.624,-1.825,-2.449,-2.339
212.219,-9.539,-11.746,-2.124,-0.872,-0.851,-0.757,-2.265,-2.565,-2.450
212.230,-14.300,-10.322,-1.095,-0.892,-0.933,-0.876,-2.098,-2.612,-2.535
212.240,-0.994,-8.254,-1.187,-0.926,-0.966,-0.974,-2.102,-2.600,-2.588
212.251,-0.994,-7.163,-1.446,-1.004,-1.040,-1.068,-2.164,-2.636,-2.644
212.262,-1.848,-6.106,-1.229,-1.004,-1.097,-1.146,-1.995,-2.653,-2.682
212.273,-1.116,-5.497,-0.600,-0.994,-1.166,-1.218,-1.753,-2.674,-2.707
212.284,1.325,-5.182,-0.593,-0.994,-1.200,-1.276,-1.641,-2.656,-2.712
212.295,-5.510,-6.229,-0.856,-1.066,-1.258,-1.332,-1.720,-2.667,-2.719
212.306,-12.347,-6.276,-0.299,-1.065,-1.305,-1.390,-1.572,-2.663,-2.726
212.317,-14.910,-4.965,0.127,-1.067,-1.330,-1.442,-1.481,-2.627,-2.715
212.328,-5.022,-3.090,-0.010,-1.063,-1.312,-1.472,-1.477,-2.549,-2.683
212.338,-5.510,-2.151,0.292,-1.040,-1.322,-1.491,-1.336,-2.500,-2.641
212.349,-2.092,-0.691,0.429,-1.018,-1.302,-1.494,-1.272,-2.416,-2.578
