R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,100,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
181.074,0.074,0.040,-0.009,-0.122,-0.079,-0.183,-0.179,-0.179,-0.079,-0.083,-0.083
181.085,-0.413,0.966,0.241,-0.039,-0.078,-0.178,-0.174,-0.175,-0.074,-0.079,-0.080
181.096,-3.709,-1.006,-0.091,-0.122,-0.085,-0.223,-0.219,-0.177,-0.121,-0.123,-0.083
181.107,-0.535,0.202,-0.187,-0.038,-0.091,-0.195,-0.191,-0.180,-0.095,-0.096,-0.087
181.118,0.197,0.161,0.070,-0.123,-0.087,-0.177,-0.173,-0.175,-0.077,-0.079,-0.082
181.129,1.173,-0.378,-0.168,-0.080,-0.090,-0.194,-0.190,-0.178,-0.095,-0.096,-0.086
181.140,-4.319,0.146,-0.071,-0.374,-0.088,-0.198,-0.194,-0.180,-0.099,-0.100,-0.088
181.151,-2.000,-0.506,-0.118,0.086,-0.085,-0.209,-0.205,-0.180,-0.109,-0.111,-0.089
181.162,1.661,0.261,-0.065,0.086,-0.086,-0.190,-0.186,-0.180,-0.091,-0.092,-0.089
181.173,1.295,0.742,0.283,-0.121,-0.079,-0.182,-0.179,-0.174,-0.082,-0.085,-0.084
181.184,-4.075,-0.728,-0.158,-0.248,-0.090,-0.218,-0.214,-0.178,-0.121,-0.121,-0.088
181.195,-2.488,0.047,-0.128,0.044,-0.087,-0.196,-0.192,-0.179,-0.098,-0.099,-0.090
181.206,-2.000,-0.209,-0.133,-0.331,-0.094,-0.206,-0.202,-0.180,-0.110,-0.108,-0.091
181.217,2.150,0.634,0.144,-0.331,-0.108,-0.188,-0.184,-0.176,-0.097,-0.091,-0.088
181.228,-0.291,0.247,0.337,0.002,-0.107,-0.193,-0.188,-0.170,-0.102,-0.097,-0.084
