R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,120,30,100,155,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
255.639,38.168,10.072,0.491,1.750,1.926,0.314
255.650,38.168,10.072,0.491,1.750,1.926,0.314
255.661,38.168,10.072,0.491,1.750,1.926,0.314
255.672,38.168,10.072,0.491,1.750,1.926,0.314
255.683,38.168,10.072,0.491,1.750,1.926,0.314
255.693,38.168,10.072,0.491,1.750,1.926,0.314
255.705,38.168,10.072,0.491,1.750,1.926,0.314
255.716,38.168,10.072,0.491,1.750,1.926,0.314
255.727,38.168,10.072,0.491,1.750,1.926,0.314
255.738,38.168,10.072,0.491,1.750,1.926,0.314
255.749,38.168,10.072,0.491,1.750,1.926,0.314
255.760,38.168,10.072,0.491,1.750,1.926,0.314
255.771,38.168,10.072,0.491,1.750,1.926,0.314
255.783,38.168,10.072,0.491,1.750,1.926,0.314
255.794,38.168,10.072,0.491,1.750,1.926,0.314
255.805,38.168,10.072,0.491,1.750,1.926,0.314
255.815,38.168,10.072,0.491,1.750,1.926,0.314
255.826,38.168,10.072,0.491,1.750,1.926,0.314
255.837,38.168,10.072,0.491,1.750,1.926,0.314
255.848,38.168,10.072,0.491,1.750,1.926,0.314
255.859,38.168,10.072,0.491,1.750,1.926,0.314
255.870,38.168,10.072,0.491,1.750,1.926,0.314
255.882,38.168,10.072,0.491,1.750,1.926,0.314
255.893,38.168,10.072,0.491,1.750,1.926,0.314
255.904,38.168,10.072,0.491,1.750,1.926,0.314
255.915,38.168,10.072,0.491,1.750,1.926,0.314
255.926,38.168,10.072,0.491,1.750,1.926,0.314
255.936,38.168,10.072,0.491,1.750,1.926,0.314
255.947,38.168,10.072,0.491,1.750,1.926,0.314
255.958,38.168,10.072,0.491,1.750,1.926,0.314
255.970,38.168,10.072,0.491,1.750,1.926,0.314
255.981,38.168,10.072,0.491,1.750,1.926,0.314
255.992,38.168,10.072,0.491,1.750,1.926,0.314
256.003,38.168,10.072,0.491,1.750,1.926,0.314
256.014,38.168,10.072,0.491,1.750,1.926,0.314
256.025,38.168,10.072,0.491,1.750,1.926,0.314
256.036,38.168,10.072,0.491,1.750,1.926,0.314
256.048,38.168,10.072,0.491,1.750,1.926,0.314
256.058,38.168,10.072,0.491,1.750,1.926,0.314
256.069,38.168,10.072,0.491,1.750,1.926,0.314
256.080,38.168,10.072,0.491,1.750,1.926,0.314
256.091,38.168,10.072,0.491,1.750,1.926,0.314
256.102,38.168,10.072,0.491,1.750,1.926,0.314
256.113,38.168,10.072,0.491,1.750,1.926,0.314
256.124,38.168,10.072,0.491,1.750,1.926,0.314
256.135,38.168,10.072,0.491,1.750,1.926,0.314
256.147,38.168,10.072,0.491,1.750,1.926,0.314
256.158,38.168,10.072,0.491,1.750,1.926,0.314
256.169,38.168,10.072,0.491,1.750,1.926,0.314
256.179,38.168,10.072,0.491,1.750,1.926,0.314
256.190,38.168,10.072,0.491,1.750,1.926,0.314
256.201,38.168,10.072,0.491,1.750,1.926,0.314
256.212,38.168,10.072,0.491,1.750,1.926,0.314
256.223,38.168,10.072,0.491,1.750,1.926,0.314
256.234,38.168,10.072,0.491,1.750,1.926,0.314
256.246,38.168,10.072,0.491,1.750,1.926,0.314
256.257,38.168,10.072,0.491,1.750,1.926,0.314
256.268,38.168,10.072,0.491,1.750,1.926,0.314
256.279,38.168,10.072,0.491,1.750,1.926,0.314
256.290,38.168,10.072,0.491,1.750,1.926,0.314
256.300,38.168,10.072,0.491,1.750,1.926,0.314
256.311,38.168,10.072,0.491,1.750,1.926,0.314
256.322,38.168,10.072,0.491,1.750,1.926,0.314
256.334,38.168,10.072,0.491,1.750,1.926,0.314
256.345,38.168,10.072,0.491,1.750,1.926,0.314
256.356,38.168,10.072,0.491,1.750,1.926,0.314
256.367,38.168,10.072,0.491,1.750,1.926,0.314
256.378,38.168,10.072,0.491,1.750,1.926,0.314
256.389,38.168,10.072,0.491,1.750,1.926,0.314
256.400,38.168,10.072,0.491,1.750,1.926,0.314
256.411,38.168,10.072,0.491,1.750,1.926,0.314
256.422,38.168,10.072,0.491,1.750,1.926,0.314
256.433,38.168,10.072,0.491,1.750,1.926,0.314
256.444,38.168,10.072,0.491,1.750,1.926,0.314
256.455,38.168,10.072,0.491,1.750,1.926,0.314
256.466,38.168,10.072,0.491,1.750,1.926,0.314
256.477,38.168,10.072,0.491,1.750,1.926,0.314
256.488,38.168,10.072,0.491,1.750,1.926,0.314
256.499,38.168,10.072,0.491,1.750,1.926,0.314
256.511,38.168,10.072,0.491,1.750,1.926,0.314
256.522,38.168,10.072,0.491,1.750,1.926,0.314
256.533,38.168,10.072,0.491,1.750,1.926,0.314
256.543,38.168,10.072,0.491,1.750,1.926,0.314
256.554,38.168,10.072,0.491,1.750,1.926,0.314
256.565,38.168,10.072,0.491,1.750,1.926,0.314
256.576,0.000,-0.425,0.007,0.000,-0.041,0.049
256.587,0.000,0.025,-0.000,0.001,0.017,-0.016
256.598,0.000,0.466,-0.008,0.000,0.031,-0.039
256.609,0.000,0.432,-0.007,-0.000,0.051,-0.058
256.620,0.000,-0.601,0.010,-0.001,-0.112,0.121
256.631,0.000,-1.027,0.017,0.001,-0.082,0.101
256.643,0.000,-0.389,0.006,0.002,-0.023,0.032
256.654,0.000,-0.942,0.016,0.004,-0.041,0.062
256.666,0.000,-1.868,0.032,0.008,-0.102,0.143
256.676,0.000,-1.723,0.030,0.013,-0.040,0.083
256.687,0.000,-0.725,0.012,0.015,0.022,0.006
256.699,0.000,-0.538,0.009,0.016,0.002,0.023
256.710,0.000,0.931,-0.016,0.016,0.142,-0.142
256.721,0.000,0.620,-0.010,0.015,0.088,-0.084
256.732,0.000,0.182,-0.003,0.013,-0.030,0.040
256.742,0.000,-0.571,0.010,0.014,-0.040,0.065
256.753,0.000,-0.592,0.010,0.015,-0.050,0.075
256.765,0.000,-1.792,0.031,0.018,-0.124,0.174
256.775,0.000,-1.939,0.033,0.024,-0.072,0.130
256.786,0.000,-0.958,0.016,0.027,0.031,0.013
256.798,0.000,-0.310,0.005,0.032,0.153,-0.115
256.808,0.000,-0.463,0.008,0.033,0.073,-0.032
256.819,0.000,0.240,-0.004,0.033,0.095,-0.065
