R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
28,0,10,28,0,10,50,15,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,15,15
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
167.546,0.000,-0.446,3.000,15.557,5.063,4.597
167.551,0.000,-0.446,3.000,15.557,5.063,4.597
167.556,0.000,-0.446,3.000,15.557,5.063,4.597
167.562,0.000,-0.446,3.000,15.557,5.063,4.597
167.567,0.000,-0.446,3.000,15.557,5.063,4.597
167.572,0.000,-0.446,3.000,15.557,5.063,4.597
167.577,0.000,-0.446,3.000,15.557,5.063,4.597
167.582,0.000,-0.446,3.000,15.557,5.063,4.597
167.587,0.000,-0.446,3.000,15.557,5.063,4.597
167.592,0.000,-0.446,3.000,15.557,5.063,4.597
167.598,0.000,-0.446,3.000,15.557,5.063,4.597
167.603,0.000,-0.446,3.000,15.557,5.063,4.597
167.608,0.000,-0.446,3.000,15.557,5.063,4.597
167.613,0.000,-0.446,3.000,15.557,5.063,4.597
167.618,0.000,-0.446,3.000,15.557,5.063,4.597
167.623,0.000,-0.446,3.000,15.557,5.063,4.597
167.628,0.000,-0.446,3.000,15.557,5.063,4.597
167.634,0.000,-0.446,3.000,15.557,5.063,4.597
167.639,0.000,-0.446,3.000,15.557,5.063,4.597
167.644,0.000,-0.446,3.000,15.557,5.063,4.597
167.649,0.000,-0.446,3.000,15.557,5.063,4.597
167.654,0.000,-0.446,3.000,15.557,5.063,4.597
167.659,0.000,-0.446,3.000,15.557,5.063,4.597
167.664,0.000,-0.446,3.000,15.557,5.063,4.597
167.669,0.000,-0.446,3.000,15.557,5.063,4.597
167.675,0.000,-0.446,3.000,15.557,5.063,4.597
167.680,0.000,-0.446,3.000,15.557,5.063,4.597
167.685,0.000,-0.446,3.000,15.557,5.063,4.597
167.690,0.000,-0.446,3.000,15.557,5.063,4.597
167.695,0.000,-0.446,3.000,15.557,5.063,4.597
167.700,0.000,-0.446,3.000,15.557,5.063,4.597
167.705,0.000,-0.446,3.000,15.557,5.063,4.597
167.711,0.000,-0.446,3.000,15.557,5.063,4.597
167.716,0.000,-0.446,3.000,15.557,5.063,4.597
167.721,0.000,-0.446,3.000,15.557,5.063,4.597
167.726,0.000,-0.446,3.000,15.557,5.063,4.597
167.731,0.000,-0.446,3.000,15.557,5.063,4.597
167.736,0.000,-0.446,3.000,15.557,5.063,4.597
167.741,0.000,-0.446,3.000,15.557,5.063,4.597
167.747,0.000,-0.446,3.000,15.557,5.063,4.597
167.752,0.000,-0.446,3.000,15.557,5.063,4.597
167.757,0.000,-0.446,3.000,15.557,5.063,4.597
167.762,0.000,-0.446,3.000,15.557,5.063,4.597
167.767,0.000,-0.446,3.000,15.557,5.063,4.597
167.772,0.000,-0.446,3.000,15.557,5.063,4.597
167.777,0.000,-0.446,3.000,15.557,5.063,4.597
167.782,0.000,-0.446,3.000,15.557,5.063,4.597
167.787,0.000,-0.446,3.000,15.557,5.063,4.597
167.793,0.000,-0.446,3.000,15.557,5.063,4.597
167.798,0.000,-0.446,3.000,15.557,5.063,4.597
167.803,0.000,-0.446,3.000,15.557,5.063,4.597
167.808,0.000,-0.446,3.000,15.557,5.063,4.597
167.813,0.000,-0.446,3.000,15.557,5.063,4.597
167.818,0.000,-0.446,3.000,15.557,5.063,4.597
167.823,0.000,-0.446,3.000,15.557,5.063,4.597
167.829,0.000,-0.446,3.000,15.557,5.063,4.597
167.834,0.000,-0.446,3.000,15.557,5.063,4.597
167.839,0.000,-0.446,3.000,15.557,5.063,4.597
167.844,0.000,-0.446,3.000,15.557,5.063,4.597
