R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
45,15,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,500,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
101.699,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.706,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.711,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.717,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.723,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.729,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.735,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.741,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.748,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.753,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.759,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.765,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.771,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.777,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.783,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.790,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.796,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.801,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.807,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.813,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.819,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.825,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.831,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.838,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.843,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.849,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.855,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.861,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.867,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.873,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.880,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.886,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.891,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.897,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.903,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.909,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.915,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.921,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.928,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.934,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.939,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.945,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.951,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.957,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.963,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.970,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.976,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.981,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.987,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.993,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
101.999,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.005,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.012,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.018,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.024,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.029,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.035,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.041,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.047,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.053,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.060,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.066,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.071,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.077,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.083,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.089,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.095,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.102,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.108,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.114,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.119,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.125,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.131,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.137,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.143,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.150,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.156,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.161,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.167,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.173,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.179,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.185,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.192,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.198,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.204,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.209,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.215,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.221,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.227,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.234,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.240,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.246,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.251,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.257,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.263,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.269,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.275,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.282,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.288,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.294,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.299,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.305,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.311,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.317,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.324,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.330,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.336,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.341,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.347,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.353,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.359,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.366,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.372,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.378,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.384,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.389,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.395,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.401,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.407,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.414,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.420,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.426,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.431,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.437,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.443,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.450,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.456,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.462,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.468,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.474,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.479,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.485,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.492,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.498,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.504,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.510,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.516,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.521,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.527,0.000,-0.446,0.000,64.455,0.164,-84.776,-2.900,-0.684,2.244
102.534,0.000,-0.446,0.000,-2.005,-0.015,-0.664,0.090,0.002,-0.262
102.539,0.000,-0.446,0.000,-1.745,0.300,-1.112,0.079,0.004,-0.162
102.545,0.000,-0.446,0.000,-1.373,-0.169,0.262,0.062,0.005,-0.088
102.550,0.000,-0.446,0.000,-0.347,-0.528,-0.051,0.016,0.005,0.059
102.555,0.000,-0.446,0.000,0.388,-0.880,-0.124,-0.017,0.005,0.117
102.561,0.000,-0.446,0.000,0.937,-0.116,0.255,-0.042,0.004,0.157
102.566,0.000,-0.446,0.000,1.984,-0.596,0.751,-0.089,0.003,0.242
102.572,0.000,-0.446,0.000,1.868,-0.636,0.507,-0.084,0.002,0.161
102.577,0.000,-0.446,0.000,0.996,-0.532,1.252,-0.045,0.001,0.023
102.582,0.000,-0.446,0.000,1.354,-0.621,0.237,-0.061,-0.000,0.057
102.588,0.000,-0.446,0.000,1.721,0.090,0.331,-0.077,-0.002,0.088
102.593,0.000,-0.446,0.000,1.514,-0.351,-0.253,-0.068,-0.003,0.040
102.599,0.000,-0.446,0.000,0.929,-0.818,-0.764,-0.042,-0.004,-0.044
102.604,0.000,-0.446,0.000,0.707,-0.644,0.166,-0.032,-0.004,-0.050
102.610,0.000,-0.446,0.000,0.267,0.610,1.311,-0.012,-0.005,-0.081
102.615,0.000,-0.446,0.000,0.101,1.155,1.686,-0.005,-0.005,-0.090
102.620,0.000,-0.446,0.000,0.400,1.806,0.749,-0.018,-0.005,-0.031
102.626,0.000,-0.446,0.000,0.099,0.965,0.267,-0.004,-0.005,-0.041
102.631,0.000,-0.446,0.000,1.295,0.835,0.231,-0.058,-0.006,0.104
102.636,0.000,-0.446,0.000,1.655,0.398,0.062,-0.074,-0.007,0.119
102.642,0.000,-0.446,0.000,2.264,0.074,-0.317,-0.102,-0.009,0.157
102.647,0.000,-0.446,0.000,1.758,0.517,-0.514,-0.079,-0.010,0.085
102.653,0.000,-0.446,0.000,1.705,-0.066,-1.084,-0.077,-0.012,0.043
102.658,0.000,-0.446,0.000,1.295,0.202,-1.769,-0.058,-0.013,-0.005
102.663,0.000,-0.446,0.000,0.816,0.545,-2.872,-0.037,-0.013,-0.060
102.669,0.000,-0.446,0.000,1.100,0.332,-1.688,-0.049,-0.014,-0.019
102.674,0.000,-0.446,0.000,0.816,-0.369,-0.448,-0.037,-0.015,-0.055
102.679,0.000,-0.446,0.000,0.867,-0.909,0.700,-0.039,-0.016,-0.031
102.685,0.000,-0.446,0.000,0.996,-1.424,-0.103,-0.045,-0.017,-0.016
102.690,0.000,-0.446,0.000,1.074,-1.061,-0.776,-0.048,-0.017,0.005
102.696,0.000,-0.446,0.000,0.355,-0.388,-0.995,-0.016,-0.018,-0.079
102.701,0.000,-0.446,0.000,0.599,-0.315,0.185,-0.027,-0.018,-0.035
102.707,0.000,-0.446,0.000,0.180,0.243,0.673,-0.008,-0.019,-0.073
102.712,0.000,-0.446,0.000,0.876,-0.030,1.828,-0.039,-0.019,0.016
102.717,0.000,-0.446,0.000,0.781,-0.462,2.316,-0.035,-0.020,0.002
102.722,0.000,-0.297,0.000,0.545,-0.306,1.260,-0.025,-0.021,-0.037
102.728,0.000,-0.297,0.000,1.066,0.104,0.893,-0.048,-0.021,0.036
