R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
145.238,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.244,4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.249,4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.255,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.261,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.266,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.272,5,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.278,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.283,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.289,2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.295,2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.300,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.306,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.312,4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.317,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.323,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.329,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.334,2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.340,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.346,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.352,-9,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.357,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.363,5,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.369,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.374,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.380,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.386,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
