R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
40,1,48,40,1,40,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
170356,1.221,0,1038336,-81120,15999,-169072
170361,-6.226,0,1038336,-81120,15999,-169072
170366,4.272,0,1038336,-81120,15999,-169072
170371,3.784,0,1038336,-81120,15999,-169072
170376,-0.732,0,1038336,-81120,15999,-169072
170381,-3.662,0,1038336,-81120,15999,-169072
170386,-1.343,0,1038336,-81120,15999,-169072
170391,-1.953,0,1038336,-81120,15999,-169072
170396,-5.005,0,1038336,-81120,15999,-169072
170401,-0.610,0,1038336,-81120,15999,-169072
170406,5.981,0,1038336,-81120,15999,-169072
170411,3.174,0,1038336,-81120,15999,-169072
170416,-5.615,0,1038336,-81120,15999,-169072
170421,-6.592,0,1038336,-81120,15999,-169072
170426,-1.343,0,1038336,-81120,15999,-169072
170431,4.272,0,1038336,-81120,15999,-169072
170436,3.296,0,1038336,-81120,15999,-169072
170441,4.272,0,1038336,-81120,15999,-169072
170446,0.610,0,1038336,-81120,15999,-169072
170451,0.122,0,1038336,-81120,15999,-169072
170456,0.488,0,1038336,-81120,15999,-169072
170461,-6.592,0,1038336,-81120,15999,-169072
170466,0.366,0,1038336,-81120,15999,-169072
170471,0.488,0,1038336,-81120,15999,-169072
170476,-10.742,0,1038336,-81120,15999,-169072
170481,5.493,0,1038336,-81120,15999,-169072
170486,-6.104,0,1038336,-81120,15999,-169072
170491,-1.953,0,1038336,-81120,15999,-169072
170496,-0.488,0,1038336,-81120,15999,-169072
170501,-5.005,0,1038336,-81120,15999,-169072
170506,2.319,0,1038336,-81120,15999,-169072
170511,6.958,0,1038336,-81120,15999,-169072
170516,-1.709,0,1038336,-81120,15999,-169072
170521,6.958,0,1038336,-81120,15999,-169072
170526,-6.104,0,1038336,-81120,15999,-169072
170531,5.005,0,1038336,-81120,15999,-169072
170536,6.958,0,1038336,-81120,15999,-169072
170541,9.277,0,1038336,-81120,15999,-169072
170546,2.197,0,1038336,-81120,15999,-169072
170551,-2.563,0,1038336,-81120,15999,-169072
170556,4.517,0,1038336,-81120,15999,-169072
170561,-0.366,0,1038336,-81120,15999,-169072
170566,2.075,0,1038336,-81120,15999,-169072
170571,-2.808,0,1038336,-81120,15999,-169072
170576,-2.441,0,1038336,-81120,15999,-169072
170581,-1.343,0,1038336,-81120,15999,-169072
170586,-4.028,0,1038336,-81120,15999,-169072
170591,-3.906,0,1038336,-81120,15999,-169072
170596,-9.644,0,1038336,-81120,15999,-169072
170601,-6.104,0,1038336,-81120,15999,-169072
170606,0.610,0,1038336,-81120,15999,-169072
170611,-0.732,0,1038336,-81120,15999,-169072
170616,3.906,0,1038336,-81120,15999,-169072
170621,-0.366,0,1038336,-81120,15999,-169072
170626,-1.099,0,1038336,-81120,15999,-169072
170631,1.831,0,1038336,-81120,15999,-169072
170636,-0.122,0,1038336,-81120,15999,-169072
170641,-0.977,0,1038336,-81120,15999,-169072
170646,-2.075,0,1038336,-81120,15999,-169072
170651,-6.592,0,1038336,-81120,15999,-169072
170656,0.977,0,1038336,-81120,15999,-169072
170661,-2.808,0,1038336,-81120,15999,-169072
170666,-8.911,0,1038336,-81120,15999,-169072
170671,1.953,0,1038336,-81120,15999,-169072
170676,2.930,0,1038336,-81120,15999,-169072
170681,-6.592,0,1038336,-81120,15999,-169072
170686,2.197,0,1038336,-81120,15999,-169072
170691,-4.517,0,1038336,-81120,15999,-169072
170696,0.244,0,1038336,-81120,15999,-169072
170701,0.244,0,1038336,-81120,15999,-169072
170706,-4.883,0,1038336,-81120,15999,-169072
170711,3.296,0,1038336,-81120,15999,-169072
170716,0.854,0,1038336,-81120,15999,-169072
170721,-0.366,0,1038336,-81120,15999,-169072
170726,-0.122,0,1038336,-81120,15999,-169072
170731,4.272,0,1038336,-81120,15999,-169072
170736,-0.122,0,1038336,-81120,15999,-169072
170741,-1.465,0,1038336,-81120,15999,-169072
170746,3.906,0,1038336,-81120,15999,-169072
170751,-6.348,0,1038336,-81120,15999,-169072
170756,-4.150,0,1038336,-81120,15999,-169072
