R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
48,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
266987,31.311,5250,0,134144,-12576,-3925,3277
266992,29.480,5250,0,196608,-18432,-3966,3277
266997,13.123,5250,0,195584,-18336,-4008,3277
267002,-13.733,5250,0,182272,-17088,-4052,4733
267007,-18.127,5250,0,159744,-14976,-4092,1382
267012,-6.042,5250,0,135168,-12672,-4131,1382
267018,-10.437,5250,0,106496,-9984,-4168,1382
267023,-1.160,5250,0,88064,-8256,-4203,-807
267028,0.793,5250,0,76800,-7200,-4234,-807
267033,16.785,5250,0,103424,-9696,-4260,-807
267038,18.127,5250,0,98304,-9216,-4287,-1400
267043,8.362,5250,0,115712,-10848,-4308,-1400
267048,0.061,5250,0,129024,-12096,-4323,-1400
267053,-12.146,5250,0,122880,-11520,-4340,-8219
267058,-46.326,5250,0,122880,-11520,-4347,-8219
267063,-63.171,5250,0,25600,-2400,-4348,-8219
267068,-56.213,5250,0,43008,-4032,-4356,-1046
267073,-53.650,5250,0,5120,-480,-4363,2339
267078,-38.635,5250,0,-16384,1536,-4370,2339
267083,-34.729,5250,0,11264,-1056,-4376,1529
267088,-22.156,5250,0,-24576,2304,-4384,1529
267093,-7.996,5250,0,-9216,864,-4392,1529
267098,-10.925,5250,0,16384,-1536,-4397,-2694
267103,-11.536,5250,0,27648,-2592,-4401,-2694
267108,-31.799,5250,0,34816,-3264,-4404,-2694
267113,-41.443,5250,0,70656,-6624,-4414,-1501
267118,-40.222,5250,0,54272,-5088,-4425,652
267123,-39.978,5250,0,-12288,1152,-4439,652
267128,-9.338,5250,0,-2048,192,-4457,1939
267133,6.653,5250,0,-11264,1056,-4486,-174
267138,2.258,5250,0,8192,-768,-4520,-174
267143,3.601,5250,0,15360,-1440,-4552,1150
267148,7.507,5250,0,43008,-4032,-4594,1150
267153,25.818,5250,0,78848,-7392,-4639,1150
267158,23.621,5250,0,82944,-7776,-4687,812
267163,27.527,5250,0,106496,-9984,-4734,812
267168,19.958,5250,0,129024,-12096,-4780,812
267173,22.522,5250,0,107520,-10080,-4821,6472
267178,8.606,5250,0,122880,-11520,-4864,1419
267183,-1.770,5250,0,122880,-11520,-4900,1419
267188,-2.136,5250,0,103424,-9696,-4940,2526
267193,5.188,5250,0,96256,-9024,-4981,2526
267198,20.569,5250,0,67584,-6336,-5020,-449
267203,14.587,5250,0,92160,-8640,-5056,-449
267208,19.226,5250,0,102400,-9600,-5095,-449
267213,39.490,5250,0,94208,-8832,-5133,-1253
267218,26.794,5250,0,133120,-12480,-5169,-1253
267223,3.479,5250,0,162816,-15264,-5200,-1253
267228,6.042,5250,0,167936,-15744,-5226,6614
