R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
9217,-2.625,1,0,0,0,0,0,0,0
9222,4.700,1,0,0,0,0,0,0,0
9227,2.869,1,0,0,0,0,0,0,0
9232,-12.024,1,0,0,0,0,0,0,0
9237,3.601,1,0,0,0,0,0,0,0
9242,5.310,1,0,0,0,0,0,0,0
9247,7.874,1,0,0,0,0,0,0,0
9252,1.892,1,0,0,0,0,0,0,0
9257,-0.183,1,0,0,0,0,0,0,0
9262,2.258,1,0,0,0,0,0,0,0
9267,-4.211,1,0,0,0,0,0,0,0
9272,-9.583,1,0,0,0,0,0,0,0
9277,5.310,1,0,0,0,0,0,0,0
9282,1.160,1,0,0,0,0,0,0,0
9287,-6.653,1,0,0,0,0,0,0,0
9292,3.723,1,0,0,0,0,0,0,0
9297,-3.967,1,0,0,0,0,0,0,0
9302,-6.897,1,0,0,0,0,0,0,0
9307,0.549,1,0,0,0,0,0,0,0
9312,2.136,1,0,0,0,0,0,0,0
9317,-2.625,1,0,0,0,0,0,0,0
9322,5.798,1,0,0,0,0,0,0,0
9327,2.869,1,0,0,0,0,0,0,0
9332,-1.160,1,0,0,0,0,0,0,0
9337,1.160,1,0,0,0,0,0,0,0
9342,3.357,1,0,0,0,0,0,0,0
9347,-0.427,1,0,0,0,0,0,0,0
9352,1.526,1,0,0,0,0,0,0,0
9357,3.723,1,0,0,0,0,0,0,0
9362,-3.601,1,0,0,0,0,0,0,0
9367,4.211,1,0,0,0,0,0,0,0
9372,1.404,1,0,0,0,0,0,0,0
9377,5.066,1,0,0,0,0,0,0,0
9382,1.038,1,0,0,0,0,0,0,0
9387,-1.770,1,0,0,0,0,0,0,0
9392,2.014,1,0,0,0,0,0,0,0
9397,5.554,1,0,0,0,0,0,0,0
9402,-2.625,1,0,0,0,0,0,0,0
9407,2.625,1,0,0,0,0,0,0,0
9412,4.578,1,0,0,0,0,0,0,0
9417,2.502,1,0,0,0,0,0,0,0
9422,-1.648,1,0,0,0,0,0,0,0
9427,-2.136,1,0,0,0,0,0,0,0
9432,-1.160,1,0,0,0,0,0,0,0
9437,-4.333,1,0,0,0,0,0,0,0
9442,1.282,1,0,0,0,0,0,0,0
9447,-0.549,1,0,0,0,0,0,0,0
9452,-6.897,1,0,0,0,0,0,0,0
9457,-1.526,1,0,0,0,0,0,0,0
9462,0.916,1,0,0,0,0,0,0,0
9467,-1.404,1,0,0,0,0,0,0,0
9472,0.061,1,0,0,0,0,0,0,0
9477,-3.845,1,0,0,0,0,0,0,0
9482,-0.183,1,0,0,0,0,0,0,0
9487,-3.967,1,0,0,0,0,0,0,0
9492,6.775,1,0,0,0,0,0,0,0
9497,-2.625,1,0,0,0,0,0,0,0
9502,5.188,1,0,0,0,0,0,0,0
9507,-6.165,1,0,0,0,0,0,0,0
9512,-2.991,1,0,0,0,0,0,0,0
9517,0.916,1,0,0,0,0,0,0,0
9522,2.502,1,0,0,0,0,0,0,0
9527,-2.502,1,0,0,0,0,0,0,0
9532,-1.892,1,0,0,0,0,0,0,0
9537,2.380,1,0,0,0,0,0,0,0
9542,2.869,1,0,0,0,0,0,0,0
9547,0.183,1,0,0,0,0,0,0,0
9552,1.038,1,0,0,0,0,0,0,0
9557,-0.305,1,0,0,0,0,0,0,0
9562,-5.920,1,0,0,0,0,0,0,0
9567,-0.061,1,0,0,0,0,0,0,0
9572,-0.183,1,0,0,0,0,0,0,0
9577,1.770,1,0,0,0,0,0,0,0
9582,2.747,1,0,0,0,0,0,0,0
9587,2.258,1,0,0,0,0,0,0,0
9592,4.333,1,0,0,0,0,0,0,0
9597,3.601,1,0,0,0,0,0,0,0
9602,-0.671,1,0,0,0,0,0,0,0
9607,-0.916,1,0,0,0,0,0,0,0
9612,5.310,1,0,0,0,0,0,0,0
9617,2.625,1,0,0,0,0,0,0,0
9622,2.747,1,0,0,0,0,0,0,0
9627,-1.282,1,0,0,0,0,0,0,0
9633,2.991,1,0,0,0,0,0,0,0
9638,-7.996,1,0,0,0,0,0,0,0
9643,-3.357,1,0,0,0,0,0,0,0
9648,7.751,1,0,0,0,0,0,0,0
9653,-0.793,1,0,0,0,0,0,0,0
9658,-2.869,1,0,0,0,0,0,0,0
9663,-3.967,1,0,0,0,0,0,0,0
9668,-0.793,1,0,0,0,0,0,0,0
9673,-0.549,1,0,0,0,0,0,0,0
9678,-1.038,1,0,0,0,0,0,0,0
9683,0.183,1,0,0,0,0,0,0,0
9688,0.305,1,0,0,0,0,0,0,0
9693,-3.601,1,0,0,0,0,0,0,0
9698,3.479,1,0,0,0,0,0,0,0
9703,-0.427,1,0,0,0,0,0,0,0
9708,-0.549,1,0,0,0,0,0,0,0
9713,3.235,1,0,0,0,0,0,0,0
9718,-2.502,1,0,0,0,0,0,0,0
9723,-0.305,1,0,0,0,0,0,0,0
9728,10.437,1,0,0,0,0,0,0,0
9733,-2.258,1,0,0,0,0,0,0,0
9738,0.549,1,0,0,0,0,0,0,0
9743,-2.014,1,0,0,0,0,0,0,0
9748,-0.916,1,0,0,0,0,0,0,0
9753,-4.944,1,0,0,0,0,0,0,0
9758,5.188,1,0,0,0,0,0,0,0
9763,0.549,1,0,0,0,0,0,0,0
9768,-3.235,1,0,0,0,0,0,0,0
9773,0.793,1,0,0,0,0,0,0,0
9778,0.427,1,0,0,0,0,0,0,0
9783,-2.502,1,0,0,0,0,0,0,0
9788,-3.235,1,0,0,0,0,0,0,0
9793,-1.160,1,0,0,0,0,0,0,0
9798,-0.427,1,0,0,0,0,0,0,0
9803,1.404,1,0,0,0,0,0,0,0
9808,-5.798,1,0,0,0,0,0,0,0
9813,1.038,1,0,0,0,0,0,0,0
9818,-0.916,1,0,0,0,0,0,0,0
