R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
56,1,70,35,1,20,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi
72118,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72123,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72128,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72133,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72138,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72143,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72148,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72153,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72158,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72163,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72168,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72173,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72178,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72183,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72188,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72193,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72198,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72203,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72208,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72213,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72218,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72223,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72228,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72233,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72238,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72243,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72248,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72253,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72258,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72263,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72268,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72273,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72278,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72283,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72288,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72293,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72298,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72303,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72308,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72313,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
72318,0,-9216,-11085824,-13497344,1060948,2297,-138002,1201247
