R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,110,47,58,110,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi
37100,0,0,0,0,0,0,0,0,0,1024
37105,0,0,0,0,0,0,0,0,0,1024
37110,0,0,0,0,0,0,0,0,0,1024
37115,0,0,0,0,0,0,0,0,0,1024
37120,0,0,0,0,0,0,0,0,0,1024
37125,0,0,0,0,0,0,0,0,0,1024
37130,0,0,0,0,0,0,0,0,0,1024
37135,0,0,0,0,0,0,0,0,0,1024
37140,0,0,0,0,0,0,0,0,0,1024
37145,0,0,0,0,0,0,0,0,0,1024
37150,0,0,0,0,0,0,0,0,0,1024
37155,0,0,0,0,0,0,0,0,0,1024
37160,0,0,0,0,0,0,0,0,0,1024
37165,0,0,0,0,0,0,0,0,0,1024
37170,0,0,0,0,0,0,0,0,0,1024
37175,0,0,0,0,0,0,0,0,0,1024
37180,0,0,0,0,0,0,0,0,0,1024
37185,0,0,0,0,0,0,0,0,0,1024
37190,0,0,0,0,0,0,0,0,0,1024
37195,0,0,0,0,0,0,0,0,0,1024
37200,0,0,0,0,0,0,0,0,0,1024
37205,0,0,0,0,0,0,0,0,0,1024
37210,0,0,0,0,0,0,0,0,0,1024
37215,0,0,0,0,0,0,0,0,0,1024
37220,0,0,0,0,0,0,0,0,0,1024
37225,0,0,0,0,0,0,0,0,0,1024
37230,0,0,0,0,0,0,0,0,0,1024
37235,0,0,0,0,0,0,0,0,0,1024
37240,0,0,0,0,0,0,0,0,0,1024
37245,0,0,0,0,0,0,0,0,0,1024
37250,0,0,0,0,0,0,0,0,0,1024
37255,0,0,0,0,0,0,0,0,0,1024
37260,0,0,0,0,0,0,0,0,0,1024
37265,0,0,0,0,0,0,0,0,0,1024
37270,0,0,0,0,0,0,0,0,0,1024
37275,0,0,0,0,0,0,0,0,0,1024
37280,0,0,0,0,0,0,0,0,0,1024
37285,0,0,0,0,0,0,0,0,0,1024
37290,0,0,0,0,0,0,0,0,0,1024
37295,0,0,0,0,0,0,0,0,0,1024
37300,0,0,0,0,0,0,0,0,0,1024
37305,0,0,0,0,0,0,0,0,0,1024
37310,0,0,0,0,0,0,0,0,0,1024
37315,0,0,0,0,0,0,0,0,0,1024
37320,0,0,0,0,0,0,0,0,0,1024
37325,0,0,0,0,0,0,0,0,0,1024
37330,0,0,0,0,0,0,0,0,0,1024
37335,0,0,0,0,0,0,0,0,0,1024
