R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
13405,0,0,0,0,0,0,0,0,0,1024
13410,0,0,0,0,0,0,0,0,0,1024
13415,0,0,0,0,0,0,0,0,0,1024
13420,0,0,0,0,0,0,0,0,0,1024
13425,0,0,0,0,0,0,0,0,0,1024
13430,0,0,0,0,0,0,0,0,0,1024
13435,0,0,0,0,0,0,0,0,0,1024
13440,0,0,0,0,0,0,0,0,0,1024
13445,0,0,0,0,0,0,0,0,0,1024
13450,0,0,0,0,0,0,0,0,0,1024
13455,0,0,0,0,0,0,0,0,0,1024
13460,0,0,0,0,0,0,0,0,0,1024
13465,0,0,0,0,0,0,0,0,0,1024
13470,0,0,0,0,0,0,0,0,0,1024
13475,0,0,0,0,0,0,0,0,0,1024
13480,0,0,0,0,0,0,0,0,0,1024
13485,0,0,0,0,0,0,0,0,0,1024
13490,0,0,0,0,0,0,0,0,0,1024
13495,0,0,0,0,0,0,0,0,0,1024
13500,0,0,0,0,0,0,0,0,0,1024
13505,0,0,0,0,0,0,0,0,0,1024
13510,0,0,0,0,0,0,0,0,0,1024
13515,0,0,0,0,0,0,0,0,0,1024
13520,0,0,0,0,0,0,0,0,0,1024
13525,0,0,0,0,0,0,0,0,0,1024
13530,0,0,0,0,0,0,0,0,0,1024
13535,0,0,0,0,0,0,0,0,0,1024
13540,0,0,0,0,0,0,0,0,0,1024
13545,0,0,0,0,0,0,0,0,0,1024
13550,0,0,0,0,0,0,0,0,0,1024
13555,0,0,0,0,0,0,0,0,0,1024
13560,0,0,0,0,0,0,0,0,0,1024
13565,0,0,0,0,0,0,0,0,0,1024
13570,0,0,0,0,0,0,0,0,0,1024
13575,0,0,0,0,0,0,0,0,0,1024
13580,0,0,0,0,0,0,0,0,0,1024
13585,0,0,0,0,0,0,0,0,0,1024
13590,0,0,0,0,0,0,0,0,0,1024
13595,0,0,0,0,0,0,0,0,0,1024
13600,0,0,0,0,0,0,0,0,0,1024
13605,0,0,0,0,0,0,0,0,0,1024
13610,0,0,0,0,0,0,0,0,0,1024
13615,0,0,0,0,0,0,0,0,0,1024
