R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,10,0,500000,3000000,1024,16,32768,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,GPT1X,aPT1R,aKFPT11R,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi,PIDUXi
7327,0,-1432,-1432.000,0,0,0,0,0,0,0
7332,0,-1432,-1432.000,0,0,0,0,0,0,0
7337,0,-1432,-1432.000,0,0,0,0,0,0,0
7342,0,-1432,-4294967.295,0,0,0,0,0,0,0
7347,0,-1432,4294967.295,0,0,0,0,0,0,0
7352,0,-1432,-4294967.295,0,0,0,0,0,0,0
7357,0,-1432,4294967.295,0,0,0,0,0,0,0
7362,0,-1432,-4294967.295,0,0,0,0,0,0,0
7367,0,-1432,-4294967.295,0,0,0,0,0,0,0
7372,0,-1432,4294967.295,0,0,0,0,0,0,0
7377,0,-1432,-1432.000,0,0,0,0,0,0,0
7382,0,-1432,-1432.000,0,0,0,0,0,0,0
7387,0,-1432,4294967.295,0,0,0,0,0,0,0
7392,0,-1432,-1432.000,0,0,0,0,0,0,0
7397,0,-1432,-1432.000,0,0,0,0,0,0,0
7402,0,-1432,-4294967.295,0,0,0,0,0,0,0
7407,0,-1432,-4294967.295,0,0,0,0,0,0,0
7412,0,-1432,4294967.295,0,0,0,0,0,0,0
7417,0,-1432,-1432.000,0,0,0,0,0,0,0
7422,0,-1432,-1432.000,0,0,0,0,0,0,0
7427,0,-1432,-1432.000,0,0,0,0,0,0,0
7432,0,-1432,4294967.295,0,0,0,0,0,0,0
7438,0,-1432,-1432.000,0,0,0,0,0,0,0
7443,0,-1432,4294967.295,0,0,0,0,0,0,0
7448,0,-1432,-4294967.295,0,0,0,0,0,0,0
7453,0,-1432,-1432.000,0,0,0,0,0,0,0
7458,0,-1432,-1432.000,0,0,0,0,0,0,0
7463,0,-1432,-1432.000,0,0,0,0,0,0,0
7468,0,-1432,-1432.000,0,0,0,0,0,0,0
7473,0,-1432,-1432.000,0,0,0,0,0,0,0
7478,0,-1432,-1432.000,0,0,0,0,0,0,0
7483,0,-1432,-1432.000,0,0,0,0,0,0,0
