R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
87434,0,4637696,-1050728,-291352,-22594,320
87444,0,4637696,-1050728,-291352,-22594,320
87454,0,4637696,-1050728,-291352,-22594,320
87464,0,4637696,-1050728,-291352,-22594,320
87474,0,4637696,-1050728,-291352,-22594,320
87484,0,4637696,-1050728,-291352,-22594,320
87494,0,4637696,-1050728,-291352,-22594,320
87504,0,4637696,-1050728,-291352,-22594,320
87514,0,4637696,-1050728,-291352,-22594,320
87524,0,4637696,-1050728,-291352,-22594,320
87534,0,4637696,-1050728,-291352,-22594,320
87544,0,4637696,-1050728,-291352,-22594,320
87554,0,4637696,-1050728,-291352,-22594,320
87564,0,4637696,-1050728,-291352,-22594,320
87574,0,4637696,-1050728,-291352,-22594,320
87584,0,4637696,-1050728,-291352,-22594,320
87594,0,4637696,-1050728,-291352,-22594,320
87604,0,4637696,-1050728,-291352,-22594,320
87614,0,4637696,-1050728,-291352,-22594,320
87624,0,4637696,-1050728,-291352,-22594,320
87634,0,4637696,-1050728,-291352,-22594,320
87644,0,4637696,-1050728,-291352,-22594,320
87654,0,4637696,-1050728,-291352,-22594,320
87664,0,4637696,-1050728,-291352,-22594,320
87674,0,4637696,-1050728,-291352,-22594,320
87684,0,4637696,-1050728,-291352,-22594,320
87694,0,4637696,-1050728,-291352,-22594,320
87704,0,4637696,-1050728,-291352,-22594,320
87714,0,4637696,-1050728,-291352,-22594,320
87724,0,4637696,-1050728,-291352,-22594,320
87734,0,4637696,-1050728,-291352,-22594,320
87744,0,4637696,-1050728,-291352,-22594,320
87754,0,4637696,-1050728,-291352,-22594,320
87764,0,4637696,-1050728,-291352,-22594,320
87774,0,4637696,-1050728,-291352,-22594,320
87784,0,4637696,-1050728,-291352,-22594,320
87794,0,4637696,-1050728,-291352,-22594,320
87804,0,4637696,-1050728,-291352,-22594,320
87814,0,4637696,-1050728,-291352,-22594,320
87824,0,4637696,-1050728,-291352,-22594,320
87834,0,4637696,-1050728,-291352,-22594,320
87844,0,4637696,-1050728,-291352,-22594,320
87854,0,4637696,-1050728,-291352,-22594,320
87864,0,4637696,-1050728,-291352,-22594,320
87874,0,4637696,-1050728,-291352,-22594,320
87884,0,4637696,-1050728,-291352,-22594,320
87894,0,4637696,-1050728,-291352,-22594,320
87904,0,4637696,-1050728,-291352,-22594,320
87914,0,8192,-1856,-17,4475,225
87924,0,8192,-1856,-79,1526,42
87934,0,11264,-2552,-152,1847,0
87944,0,8192,-1856,-226,-563,0
87954,0,1024,-232,-280,-4820,0
87964,0,8192,-1856,-335,699,0
87974,0,4096,-928,-395,-150,0
87984,0,3072,-696,-438,-2077,0
87994,0,9216,-2088,-481,2593,0
88004,0,9216,-2088,-526,2753,0
88014,0,5120,-1160,-580,-999,0
88024,0,9216,-2088,-633,2203,0
88034,0,-1024,232,-686,-6197,0
88045,0,8192,-1856,-697,3006,0
88055,0,5120,-1160,-755,-5646,0
88065,0,10240,-2320,-751,5129,0
88075,0,16384,-3712,-847,4520,0
88085,0,6144,-1392,-896,-632,0
88095,0,9216,-2088,-929,1732,0
88105,0,22528,-5104,-973,11095,0
88115,0,8192,-1856,-1043,-2399,0
88125,0,2048,-464,-1130,-6495,0
88135,0,0,0,-1102,-2456,0
88145,0,10240,-2320,-964,7974,0
88155,0,13312,-3016,-889,7343,0
88165,0,12288,-2784,-930,-3936,0
88175,0,1024,-232,-945,-5485,0
88185,0,-12288,2784,-1017,-16570,0
88195,0,3072,-696,-846,2983,0
88205,0,1024,-232,-859,-1710,0
88215,0,6144,-1160,-791,2558,0
88225,0,6144,-1392,-812,218,0
88235,0,12288,-2784,-966,-2731,0
88245,0,10240,-2320,-1025,286,0
88255,0,0,0,-1036,-5072,0
88265,0,19456,-4408,-1004,7492,0
88275,0,-1024,232,-903,-1940,0
88285,0,6144,-1392,-1024,-2984,0
88295,0,2048,-464,-1021,-2904,0
88305,0,1024,-232,-1085,-5612,0
88315,0,0,0,-1134,-7987,0
88325,0,33792,-7656,-1051,19656,0
88335,0,18432,-4176,-831,11325,0
88345,0,20480,-4640,-570,16707,0
88355,0,-9216,2088,-402,-5703,0
88365,0,-22528,5104,-312,-16558,0
88375,0,-15360,3480,-186,-11073,0
88385,0,-15360,3480,20,-9100,0
88395,0,-6144,1392,20,-1389,0
88405,0,10240,-2320,-15,10200,0
88415,0,-72704,16472,90,-46610,0
88425,0,59392,-13456,32,54481,0
88435,0,-46080,10440,21,-27081,0
88445,0,-70656,16008,395,-17603,0
88455,0,-1024,232,773,36271,0
88465,0,-89088,20184,1222,-28595,0
88475,0,-20480,4640,1842,37625,0
88485,0,-135168,30624,2247,-52543,0
88495,0,21504,-4872,2713,68010,0
88505,0,-129024,29232,3330,-39565,0
88515,0,-70656,16008,3854,-930,0
88525,0,-44032,9976,4388,14194,0
88535,0,-4096,928,4963,47631,0
88545,0,-162816,36888,5486,-66335,0
88555,0,-95232,21576,6089,-15858,0
88565,0,-115712,26216,6880,-15422,0
88575,0,-167936,38048,7972,-32462,0
88585,0,-134144,30392,9326,13195,0
88595,0,-190464,43152,10908,-2043,0
88605,0,-147456,33408,12537,32874,0
88615,0,-153600,34800,14113,31268,0
88625,0,-200704,45472,15689,-6977,0
88635,0,-188416,42688,17358,2604,0
88645,0,-178176,40368,18721,-4567,0
88655,0,-201728,45704,19977,-37511,0
88665,0,-228352,51736,21304,-52095,0
88675,0,-286720,64960,22846,-77787,0
88685,0,-285696,64728,24638,-51326,0
88695,0,-291840,66120,26564,-33449,0
88705,0,-231424,52432,28573,15582,0
88715,0,-165888,37584,30404,56868,0
88725,0,-33792,7656,31936,121412,0
88735,0,-39936,9048,32890,67057,0
88745,0,-5120,1160,33272,58004,0
88755,3072,-139264,32248,33834,-48343,259
88765,6144,-154624,36424,34707,-47700,244
88775,6144,-129024,30624,35481,-23707,48
88785,30720,-19456,11368,35972,34595,2154
88795,67584,78848,-2552,36279,78004,7168
88805,89088,65536,5336,36338,30086,4443
88815,89088,-10240,22504,36515,-38222,1126
88825,132096,66560,14848,36948,38049,2838
