R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,40,0,0,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
8156,0,0,0,0,0
8166,0,0,0,0,0
8176,0,0,0,0,0
8186,0,0,0,0,0
8196,0,0,0,0,0
8206,0,0,0,0,0
8216,0,0,0,0,0
8226,0,0,0,0,0
8236,0,0,0,0,0
8246,0,0,0,0,0
8256,0,0,0,0,0
8266,0,0,0,0,0
8276,0,0,0,0,0
8286,0,0,0,0,0
8296,0,0,0,0,0
8306,0,0,0,0,0
8316,0,0,0,0,0
8326,0,0,0,0,0
8336,0,0,0,0,0
8346,0,0,0,0,0
8356,0,0,0,0,0
8366,0,0,0,0,0
8376,0,0,0,0,0
8386,0,0,0,0,0
8396,0,0,0,0,0
8406,0,0,0,0,0
8416,0,0,0,0,0
8426,0,0,0,0,0
8436,0,0,0,0,0
8446,0,0,0,0,0
8456,0,0,0,0,0
8466,0,0,0,0,0
8476,0,0,0,0,0
8486,0,0,0,0,0
8496,0,0,0,0,0
8506,0,0,0,0,0
8516,0,0,0,0,0
8526,0,0,0,0,0
8536,0,0,0,0,0
8546,0,0,0,0,0
8556,0,0,0,0,0
8566,0,0,0,0,0
8576,0,0,0,0,0
8586,0,0,0,0,0
8596,0,0,0,0,0
8606,0,0,0,0,0
8616,0,0,0,0,0
8626,0,0,0,0,0
8636,0,0,0,0,0
8646,0,0,0,0,0
8656,0,0,0,0,0
8666,0,0,0,0,0
8676,0,0,0,0,0
8686,0,0,0,0,0
8696,0,0,0,0,0
8706,0,0,0,0,0
8716,0,0,0,0,0
8726,0,0,0,0,0
8736,0,0,0,0,0
8746,0,0,0,0,0
8756,0,0,0,0,0
8766,0,0,0,0,0
8776,0,12288,-2784,0,-6517
8786,0,11264,-2552,0,-4614
8796,0,5120,-1160,0,-265
8806,0,7168,-1624,0,-2660
8816,0,6144,-1392,0,-2058
8826,0,8192,-1856,0,-3878
8836,0,5120,-1160,0,60
8846,0,6144,-1392,0,-520
8856,0,14336,-3248,0,-6487
8866,0,9216,-2088,0,-2151
8876,0,8192,-1856,0,-2165
8886,0,20480,-4640,0,-14355
8896,0,-13312,3016,0,15682
8906,0,22528,-5104,0,-19894
8916,0,-16384,3712,0,9083
8927,0,-8192,1856,0,6833
8937,0,-4096,928,0,3267
8947,0,11264,-2552,0,-6170
8957,0,9216,-2088,0,-3533
8967,0,2048,-464,0,3221
8977,0,1024,-232,0,4021
8987,0,-1024,232,0,1939
8997,0,8192,-1856,0,-3532
9007,0,35840,-8120,0,-27140
9017,0,37888,-8584,0,-19882
9027,0,64512,-14616,0,-33746
9037,0,71680,-16240,0,-33460
9047,0,39936,-9048,0,-3069
9057,0,18432,-4176,0,5256
9067,0,8192,-1856,0,-1836
9077,0,-25600,5800,0,13796
9087,0,-51200,11600,0,17919
9097,0,-68608,15544,0,23176
9107,0,-61440,13920,0,-8167
9117,0,-169984,38512,0,90944
9127,0,-148480,33640,0,55271
9137,0,-155648,35264,0,46132
9147,0,-176128,39904,0,63287
9157,0,-146432,33176,0,29848
9167,0,-152576,34568,0,24543
9177,0,-205824,46632,0,61839
9187,0,-263168,59624,0,99415
9197,0,-269312,61016,0,91619
9207,0,-238592,54056,0,55440
9217,0,-285696,64728,0,99311
9227,0,-247808,56144,0,66505
9237,0,-185344,41992,0,16487
9247,0,-266240,60320,0,88511
9257,0,-329728,74704,0,121114
9267,0,-319488,72384,0,95812
9277,0,-300032,67976,0,85026
9287,0,-225280,51040,0,35221
9297,0,-260096,59160,0,85824
9307,0,-239616,54288,0,66457
9317,0,-301056,68208,0,117409
9327,0,-278528,63104,0,91302
9337,0,-200704,45472,0,32880
9347,0,-222208,50344,0,100502
9357,0,-180224,40832,0,73264
9367,0,-208896,47328,0,128553
9377,0,-159744,36192,0,64052
9387,0,-181248,41064,0,100418
9397,0,-220160,49880,0,109825
9407,0,-333824,75632,0,199229
9417,0,-309248,70064,0,170422
9427,0,-160768,36424,0,35446
9437,0,-204800,46400,0,83387
9447,0,-258048,58464,0,135429
9457,0,-284672,64496,0,160265
9467,0,-250880,56840,0,137800
9477,3072,-117760,27376,234,34678
9487,3072,-207872,47792,234,122355
9497,6144,-279552,64728,468,176045
9507,6144,-307200,70992,468,189019
9517,6144,-278528,64496,468,164132
9527,9216,-128000,31088,703,52585
9537,9216,48128,-8816,703,-45249
9547,30720,126976,-21808,2343,-43557
9557,43008,193536,-34104,3281,-37002
9567,58368,150528,-20880,4453,38312
9577,89088,-15360,23664,6796,183504
9587,89088,-80896,38512,6796,197170
9597,122880,-72704,44312,9375,170919
9607,122880,-68608,43384,9375,169497
9617,156672,-39936,44544,11953,132231
9627,156672,11264,32944,11953,117132
9637,221184,-5120,51272,16875,164278
9647,231424,63488,38048,17656,127702
9657,231424,175104,12760,17656,68613
9667,275456,203776,16240,21015,107289
9677,275456,337920,-14152,21015,44450
9687,314368,449536,-30624,23984,5625
9697,324608,492544,-38048,24765,1818
9707,348160,482304,-30392,26562,34500
9717,358400,488448,-24128,27343,67744
9727,391168,418816,-6264,29843,119217
9737,405504,398336,1624,30937,131321
9747,405504,432128,-6032,30937,89128
9757,405504,431104,-5800,30937,79947
9767,405504,421888,-3712,30937,49118
9777,523264,433152,20416,39921,99851
9787,536576,364544,38976,40937,171777
9797,536576,419840,26448,40937,142970
9807,610304,598016,2784,46562,55722
9817,610304,691200,-18328,46562,37265
9827,780288,736256,9976,59531,106392
9837,780288,769024,2552,59531,114286
9847,780288,807936,-6264,59531,108507
9857,780288,876544,-21808,59531,68348
9867,1116160,912384,46168,85156,158128
9877,1149952,956416,43848,87734,154887
9887,1232896,1030144,45936,94062,161040
9897,1324032,1125376,45008,101015,163722
9907,1350656,1266688,19024,103046,135738
9917,1350656,1433600,-18792,103046,79946
9927,1350656,1588224,-53824,103046,30642
9937,1350656,1686528,-76096,103046,-3110
9947,1350656,1764352,-93728,103046,-12374
9957,1337344,1772544,-98600,102031,-9579
9967,1350656,1735680,-87232,103046,15000
9977,1350656,1681408,-74936,103046,30821
9987,1337344,1620992,-64264,102031,47314
9997,1337344,1585152,-56144,102031,49820
10007,1324032,1534976,-47792,101015,57466
10017,1310720,1546240,-53360,100000,15934
10027,1310720,1519616,-47328,100000,27001
10038,1245184,1502208,-58232,95000,17737
10048,1245184,1495040,-56608,95000,18275
10058,1197056,1440768,-55216,91328,33644
10068,1184768,1442816,-58464,90390,3876
10078,1149952,1399808,-56608,87734,17152
10088,1138688,1370112,-52432,86875,23111
10098,1138688,1351680,-48256,86875,21670
10108,1042432,1338368,-67048,79531,-22559
10118,870400,1304576,-98368,66406,-65502
10128,746496,1247232,-113448,56953,-76231
10138,683008,1168384,-109968,52109,-68371
10148,579584,1051648,-106952,44218,-45452
10158,579584,951296,-84216,44218,-52447
10168,492544,771072,-63104,37578,-13301
10178,391168,629760,-54056,29843,-17699
10188,391168,452608,-13920,29843,42832
10198,391168,293888,22040,29843,94082
10208,391168,138240,57304,29843,143567
10218,297984,94208,46168,22734,81794
10228,297984,75776,50344,22734,56243
10238,297984,35840,59392,22734,72835
10248,249856,13312,53592,19062,65084
10258,221184,65536,35264,16875,-319
10268,199680,4096,44312,15234,49382
10278,199680,-18432,49416,15234,67525
10288,144384,-50176,44080,11015,82841
10298,122880,-101376,50808,9375,116027
10308,101376,-86016,42456,7734,78308
10318,92160,-114688,46864,7031,77262
10328,98304,-91136,42920,7500,33121
10338,98304,-154624,57304,7500,79484
10348,98304,-128000,51272,7500,48519
10358,98304,-182272,63568,7500,104812
10368,98304,-122880,50112,7500,55825
10378,98304,-147456,55680,7500,93537
10388,98304,-93184,43384,7500,50799
10398,98304,-72704,38744,7500,44670
10408,101376,-80896,41296,7734,59860
10418,107520,-61440,38280,8203,52497
10428,107520,-102400,47560,8203,94498
10438,107520,-93184,45472,8203,91796
10448,107520,-137216,55448,8203,140774
10458,144384,-105472,56608,11015,127759
10468,144384,-4096,33640,11015,52707
10478,141312,20480,27376,10781,56362
10488,141312,23552,26680,10781,67987
10498,141312,123904,3944,10781,-7771
10508,138240,106496,7192,10546,22553
10518,138240,75776,14152,10546,51075
10528,138240,99328,8816,10546,30060
10538,138240,71680,15080,10546,56339
10548,138240,35840,23200,10546,91694
10558,138240,44032,21344,10546,81587
10568,107520,57344,11368,8203,54002
10578,101376,3072,22272,7734,101842
10588,70656,2048,15544,5390,91377
10598,70656,7168,14384,5390,70276
10608,46080,-6144,11832,3515,59508
10618,39936,-81920,27608,3046,105472
10628,39936,-119808,36192,3046,118332
10638,9216,-101376,25056,703,55068
10648,9216,-140288,33872,703,72908
10658,9216,-178176,42456,703,96318
10668,0,-165888,37584,0,79347
10678,0,-144384,32712,0,48748
10688,0,-141312,32016,0,84430
10698,-4096,-164864,36424,-313,127619
10708,-4096,-123904,27144,-313,92862
10718,-4096,-112640,24592,-313,87221
10728,-4096,-181248,40136,-313,146125
10738,-7168,-163840,35496,-547,116697
10748,-10240,-133120,27840,-782,72993
10758,-74752,-162816,24592,-5704,86480
10768,-74752,-193536,26912,-5704,84628
10778,-166912,-168960,464,-12735,30247
10788,-191488,-164864,-6032,-14610,-4403
10798,-191488,-207872,3712,-14610,58672
10808,-322560,-304128,-4176,-24610,81402
10818,-322560,-395264,16472,-24610,125397
10828,-456704,-484352,6264,-34844,103117
10838,-456704,-552960,21808,-34844,90030
10848,-541696,-637952,21808,-41329,88953
10858,-565248,-740352,39672,-43125,113256
10868,-606208,-804864,45008,-46250,118073
10878,-621568,-878592,58232,-47422,122082
10888,-708608,-894976,42224,-54063,78115
10898,-753664,-939008,41992,-57500,86426
10908,-753664,-1007616,57536,-57500,121859
10918,-921600,-1077248,35264,-70313,95681
10928,-921600,-1100800,40600,-70313,76045
10938,-1128448,-1139712,2552,-86094,-1077
10948,-1128448,-1251328,27840,-86094,42750
10958,-1128448,-1389568,59160,-86094,101701
10968,-1285120,-1514496,51968,-98047,98154
10978,-1285120,-1582080,67280,-98047,96419
10988,-1351680,-1636352,64496,-103125,72735
10998,-1393664,-1728512,75864,-106329,97213
11008,-1393664,-1770496,85376,-106329,93035
11018,-1467392,-1799168,75168,-111954,58454
11028,-1514496,-1857536,77720,-115547,68521
11038,-1562624,-1899520,76328,-119219,68370
11048,-1546240,-1976320,97440,-117969,124240
11058,-1562624,-2014208,102312,-119219,129630
11068,-1579008,-2055168,107880,-120469,131790
11078,-1579008,-2084864,114608,-136719,66426
11088,-1829888,-2115584,64728,-139610,48508
11098,-1829888,-2195456,82824,-139610,94119
11108,-1829888,-2267136,99064,-139610,121570
11118,-1829888,-2337792,115072,-139610,139512
11128,-2196480,-2364416,38048,-167579,10509
11138,-2243584,-2441216,44776,-171172,29915
11148,-2243584,-2536448,66352,-171172,66839
11158,-2292736,-2639872,78648,-174922,86344
11168,-2292736,-2785280,111592,-174922,145932
11178,-2292736,-2914304,137576,-174922,173573
11188,-2292736,-2963456,151960,-174922,165887
11198,-2292736,-2996224,159384,-174922,153566
11208,-2292736,-2997248,159616,-174922,140387
11218,-2292736,-3035136,168200,-174922,172716
11228,-2292736,-2977792,155208,-174922,118756
11238,-2292736,-2916352,141288,-174922,100419
11248,-2292736,-2913280,140592,-174922,122469
11258,-2268160,-2916352,146856,-173047,152751
11268,-2015232,-2856960,190704,-153750,189700
11278,-1889280,-2825216,212048,-144141,225026
11288,-1595392,-2793472,271440,-121719,332850
11298,-1595392,-2626560,233624,-121719,245428
11308,-1595392,-2525184,210656,-121719,251082
11318,-994304,-2286592,292784,-75860,332477
11328,-994304,-2129920,257288,-75860,334824
11338,-781312,-1787904,228056,-59610,242604
11349,-727040,-1547264,185832,-55469,243610
11359,-727040,-1159168,97904,-55469,100872
11369,-493568,-929792,98832,-37657,183927
11379,-353280,-659456,69368,-26954,178304
11389,-315392,-488448,39208,-24063,184478
11399,-315392,-280576,-7888,-24063,127881
11409,-250880,-201728,-11136,-19141,176268
11419,-247808,-17408,-52200,-18907,86880
11429,-232448,39936,-61712,-17735,101443
11439,-229376,188416,-94656,-17500,21830
11449,-229376,192512,-95584,-17500,64190
11459,-222208,273408,-112288,-16954,15006
11469,-222208,173056,-89552,-16954,119495
11479,-222208,182272,-91640,-16954,89544
11489,-225280,119808,-78184,-17188,117999
11499,-225280,212992,-99296,-17188,-8583
11509,-225280,146432,-84216,-17188,22430
11519,-225280,138240,-82360,-17188,-6653
11529,-225280,-27648,-44776,-17188,113490
11539,-225280,-41984,-41528,-17188,85872
11549,-225280,-116736,-24592,-17188,126850
11559,-225280,-33792,-43384,-17188,15215
11569,-225280,-110592,-25984,-17188,68307
11579,-225280,-91136,-30392,-17188,34289
11589,-225280,-167936,-12992,-17188,99354
11599,-222208,-100352,-27608,-16954,34230
11609,-222208,-124928,-22040,-16954,61420
11619,-209920,-52224,-35728,-16016,-709
11629,-206848,-227328,4640,-15782,160485
11639,-206848,-233472,6032,-15782,136497
11649,-185344,-256000,16008,-14141,148741
11659,-185344,-139264,-10440,-14141,27611
11669,-182272,-250880,15544,-13907,132254
11679,-182272,-200704,4176,-13907,87335
11689,-182272,-145408,-8352,-13907,46095
11699,-182272,12288,-44080,-13907,-67168
11709,-179200,-64512,-25984,-13672,21889
11719,-173056,-82944,-20416,-13204,45601
11729,-173056,-86016,-19720,-13204,58187
11739,-123904,9216,-30160,-9454,-12852
11749,-123904,-7168,-26448,-9454,11996
11759,-77824,-80896,696,-5938,88534
11769,-65536,-55296,-2320,-5000,61168
11779,-65536,-60416,-9512,-5000,32421
11789,-25600,48128,-16704,-1954,-8981
11799,-25600,-100352,16936,-1954,149370
11809,-25600,-80896,12528,-1954,128697
11819,0,29696,-6728,0,33529
11829,0,33792,-7656,0,16821
11839,0,90112,-20416,0,-5914
11849,0,-7168,1624,0,101426
11859,0,51200,-11600,0,52922
11869,0,89088,-20184,0,22324
11879,3072,110592,-24360,234,250
11889,3072,95232,-20880,234,16033
11899,52224,51200,232,3984,70824
11909,104448,104448,-5104,7968,18876
11919,104448,159744,-12528,7968,3066
11929,104448,196608,-20880,7968,-14838
11939,205824,229376,-5336,15703,14948
11949,205824,256000,-11368,15703,24605
11959,365568,402432,-8352,27890,-24843
11969,384000,424960,-9280,29296,794
11979,443392,462848,-4408,33828,25191
11989,443392,457728,-3248,33828,74115
11999,589824,527360,14152,45000,82559
12009,631808,680960,-11136,48203,-11605
12019,631808,664576,-7424,48203,38082
12029,904192,681984,50344,68984,148117
12039,904192,710656,43848,68984,179430
12049,904192,945152,-9280,68984,21957
12059,1197056,1112064,19256,91328,45856
12069,1197056,1227776,-6960,91328,26089
12079,1436672,1327104,24824,109609,107318
12089,1452032,1422336,232,110781,93964
12099,1771520,1666048,23896,135156,87857
12109,1908736,1796096,25520,145625,115805
12119,1908736,2001920,-21112,145625,35563
12129,2341888,2095104,55912,178671,208959
12139,2499584,2365440,18560,190703,94839
12149,2756608,2672640,19024,210312,86087
12159,2787328,2965504,-40368,212656,2118
12169,2787328,3107840,-72616,212656,51643
12179,2879488,3380224,-113448,219687,-14821
12189,2879488,3549184,-151728,219687,-28830
12199,2974720,3770368,-180264,226953,-91082
12209,2974720,3812352,-189776,226953,-45100
12219,2974720,3777536,-181888,226953,32507
12229,2974720,3869696,-202768,226953,-34447
12239,3502080,3943424,-99992,267187,80263
12249,3737600,3926016,-42688,285156,204240
12259,3819520,3920896,-22968,291406,270034
12269,3861504,4212736,-79576,294609,84789
12279,3945472,4403200,-105560,301015,52558
12289,3988480,4638720,-147320,304296,-6622
12299,3988480,4757504,-174232,304296,25036
12309,3988480,5024768,-234784,304296,-105940
12319,3988480,5148672,-262856,304296,-126071
12329,4301824,5102592,-181424,328203,60557
12339,4347904,5161984,-184440,331718,33572
12349,4301824,5152768,-192792,328203,33725
12359,4301824,5184512,-199984,328203,19424
12369,4301824,5178368,-198592,328203,55198
12380,4301824,5329920,-232928,328203,-69449
12390,4301824,5411840,-251488,328203,-120528
12400,3246080,5275648,-459824,247656,-304293
12410,2611200,5230592,-593456,199218,-491574
12420,2148352,5019648,-650528,163906,-548715
12430,1908736,4442112,-573968,145625,-323498
12440,965632,3959808,-678368,73671,-528787
12450,965632,3182592,-502280,73671,-249199
12460,965632,2554880,-360064,73671,-138271
12470,231424,1736704,-341040,17656,-129483
12480,193536,1122304,-210424,14765,-63179
12490,193536,336896,-32480,14765,172913
12500,0,-18432,4176,0,35474
12510,0,-565248,128064,0,200290
12520,0,-737280,167040,0,96848
12530,0,-763904,173072,0,-8852
12540,0,-989184,224112,0,155368
12550,0,-1032192,233856,0,171937
12560,-4096,-899072,202768,-313,68406
12570,-4096,-777216,175160,-313,16653
12580,-4096,-751616,169360,-313,60673
12590,-65536,-750592,155208,-5000,103245
12600,-80896,-841728,172376,-6172,230401
12610,-80896,-828416,169360,-6172,214959
12620,-166912,-718848,125048,-12735,86896
12630,-166912,-724992,126440,-12735,109255
12640,-216064,-648192,97904,-16485,48842
12650,-253952,-694272,109040,-19375,147765
12660,-253952,-694272,99760,-19375,125125
12670,-253952,-678912,96280,-19375,123997
12680,-309248,-633856,73544,-23594,60240
12690,-309248,-625664,71688,-23594,58393
12700,-309248,-684032,84912,-23594,106259
12710,-312320,-735232,95816,-23829,138904
12720,-309248,-691200,86536,-23594,73325
12730,-319488,-659456,87000,-24375,78091
12740,-332800,-771072,99296,-25391,123318
12750,-332800,-823296,111128,-25391,171667
12760,-353280,-820224,105792,-26954,151375
12770,-359424,-781312,95584,-27422,112234
12780,-359424,-764928,91872,-27422,96972
12790,-363520,-841728,108344,-27735,175930
12800,-363520,-828416,105328,-27735,166894
12810,-363520,-837632,107416,-27735,186396
12820,-363520,-689152,73776,-27735,54422
12830,-363520,-729088,82824,-27735,117057
12840,-366592,-701440,75864,-27969,106379
12850,-366592,-775168,92568,-27969,182173
12860,-392192,-703488,70528,-29922,106093
12870,-417792,-704512,64960,-31875,97926
12880,-444416,-686080,54752,-33907,102513
12890,-456704,-803840,78648,-34844,167795
12900,-524288,-858112,75632,-40000,182227
12910,-537600,-859136,72848,-41016,151029
12920,-601088,-852992,57072,-45860,107438
12930,-601088,-855040,57536,-45860,93202
12940,-684032,-1011712,74240,-52188,199163
12950,-684032,-1028096,77952,-52188,186251
12960,-684032,-1100800,94424,-52188,217932
12970,-684032,-1077248,89088,-52188,159561
12980,-1128448,-1115136,-3016,-86094,23496
12990,-1128448,-1243136,25984,-86094,114122
13000,-1379328,-1306624,-16472,-105235,54121
13010,-1393664,-1440768,10672,-106329,113795
13020,-1498112,-1494016,-928,-114297,49516
13030,-1579008,-1646592,15312,-120469,77386
13040,-1792000,-1785856,-1392,-136719,75791
13050,-1869824,-2045952,39904,-142657,155285
13060,-1869824,-2129920,58928,-142657,119071
