R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
175,25,1600,200,25,1900,1200,500,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1Y,GPT1X,GPT2X,GPT2Y
81.895,3.040,1.637,5.034,-0.660,1.935,-0.469,1.381
81.906,-1.598,-5.077,5.523,-0.471,-0.059,-0.469,1.015
81.917,1.575,2.979,3.203,0.319,0.099,-0.248,0.567
81.929,4.871,6.153,-4.486,0.262,0.630,-0.067,0.436
81.940,-1.110,-4.466,-2.655,0.840,1.099,0.366,0.790
81.951,-0.621,-1.536,8.819,-0.315,0.406,0.320,0.675
81.962,-1.720,0.172,-2.533,-0.479,0.434,-0.003,0.528
81.974,-4.894,1.148,-3.266,-1.080,0.009,-0.397,0.269
81.985,-0.255,-1.658,-7.050,-0.954,0.955,-0.628,0.545
81.996,-0.866,4.933,-5.707,-0.689,1.249,-0.772,0.768
82.007,-0.866,-4.100,-1.679,0.400,0.340,-0.495,0.791
82.018,3.772,-2.147,-5.341,0.228,0.310,-0.274,0.538
82.030,-5.382,-0.926,-2.777,-0.488,-0.405,-0.023,0.171
82.041,7.801,1.026,10.161,0.144,-0.183,-0.037,0.061
82.052,-1.598,-2.635,-3.510,0.415,-0.359,0.223,-0.053
82.063,-0.377,3.223,-5.463,-0.272,-0.281,0.159,-0.179
82.075,2.063,4.566,-1.190,0.012,-0.018,0.108,-0.200
82.086,12.073,-3.856,8.819,1.046,-0.920,0.192,-0.326
82.097,-1.232,0.538,-5.829,0.824,-0.383,0.447,-0.374
82.108,-3.307,-9.227,-6.195,-0.041,-0.712,0.347,-0.280
82.120,-4.040,-2.635,-6.928,-0.503,-0.993,0.157,-0.592
82.131,1.453,1.514,7.720,-0.272,-1.553,-0.093,-1.088
82.142,-3.307,2.857,-2.533,-0.232,-1.188,-0.075,-1.155
82.153,-5.627,3.101,1.860,-0.445,0.665,-0.048,-0.681
82.164,-3.063,-1.170,4.668,-0.289,0.104,-0.041,-0.250
82.176,6.702,-1.414,-4.731,0.693,0.081,0.083,-0.037
82.187,-0.133,4.444,4.668,0.041,-0.352,0.143,-0.241
82.198,-1.842,-1.292,1.250,-0.182,-0.512,0.115,-0.296
82.209,3.040,1.026,-8.149,0.098,-0.294,0.016,-0.354
82.221,0.965,4.688,2.959,-0.088,0.423,-0.010,-0.150
82.232,-1.476,1.270,-9.247,-0.109,-0.524,-0.135,-0.204
82.243,0.232,-3.978,-3.998,-0.287,-1.185,-0.130,-0.494
82.254,-1.964,1.881,1.128,-0.301,-0.786,-0.111,-0.664
82.266,1.697,-0.804,3.814,-0.073,0.242,-0.178,-0.557
82.277,-1.232,-3.978,-2.167,-0.550,-0.302,-0.165,-0.339
82.288,-1.354,1.637,-0.702,0.384,-0.169,-0.055,-0.304
82.299,-0.133,-1.170,0.029,-0.136,-0.769,-0.106,-0.335
82.311,1.453,1.759,-2.777,-0.450,-0.474,-0.283,-0.357
82.322,2.551,-3.612,-6.195,-1.262,-1.167,-0.628,-0.584
82.333,1.087,-2.513,-5.097,-1.034,-0.318,-0.859,-0.430
82.344,-1.110,-3.001,2.471,-0.915,-0.676,-0.913,-0.570
82.356,1.209,-3.001,4.302,0.044,-0.083,-0.650,-0.223
82.367,-4.162,2.491,-1.435,-1.231,0.050,-0.738,-0.251
82.378,0.476,1.637,-0.580,-0.162,-1.298,-0.660,-0.601
82.389,-1.232,3.956,4.424,-0.191,-0.381,-0.465,-0.747
82.400,-1.720,-1.903,-1.190,-0.017,0.129,-0.200,-0.229
82.412,-2.453,0.050,-2.045,-0.412,-0.645,-0.160,-0.266
82.423,4.627,2.491,-3.388,0.242,0.175,-0.243,-0.310
82.434,5.970,9.693,3.569,0.584,1.263,-0.040,0.036
82.445,-0.011,-4.710,0.884,-0.167,0.077,-0.002,0.347
82.457,6.946,-1.903,-3.022,1.642,0.097,0.359,0.262
82.468,1.575,4.933,2.105,0.598,0.487,0.568,0.228
82.479,-1.354,-3.978,-1.923,0.541,-0.006,0.644,0.188
