R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
175,25,1600,200,25,1900,1200,500,0,0,0,0,7,75,10
sysTime,GRawZ,ARawX,ARawY,ARawZ,APT1Y,APT1Z,APT1X,APT2X,APT2Y,APT2Z
113.189,0.762,0.208,-0.194,9.814,0.228,-0.202,9.812,0.223,-0.213,9.813
113.199,-2.533,0.194,-0.265,9.836,0.226,-0.215,9.810,0.224,-0.211,9.812
113.209,-0.458,0.237,-0.237,9.836,0.226,-0.217,9.810,0.225,-0.212,9.811
113.220,6.988,0.208,-0.237,9.821,0.218,-0.227,9.814,0.224,-0.215,9.812
113.230,-4.975,0.215,-0.201,9.814,0.214,-0.222,9.809,0.221,-0.217,9.811
113.240,5.278,0.323,-0.215,9.807,0.228,-0.222,9.809,0.221,-0.219,9.811
113.251,4.302,0.273,-0.172,9.793,0.238,-0.219,9.816,0.224,-0.220,9.812
113.261,-5.097,0.208,-0.273,9.742,0.231,-0.219,9.812,0.227,-0.219,9.813
113.271,9.551,0.208,-0.265,9.814,0.228,-0.224,9.812,0.227,-0.220,9.813
113.281,5.034,0.201,-0.186,9.829,0.220,-0.218,9.816,0.226,-0.220,9.813
113.292,-2.777,0.244,-0.229,9.800,0.216,-0.218,9.814,0.224,-0.219,9.814
113.302,1.372,0.179,-0.172,9.793,0.200,-0.217,9.816,0.219,-0.219,9.814
113.312,-7.050,0.229,-0.244,9.771,0.207,-0.219,9.811,0.215,-0.219,9.814
113.323,-7.660,0.280,-0.265,9.786,0.219,-0.227,9.813,0.215,-0.220,9.814
113.333,0.151,0.215,-0.194,9.800,0.226,-0.226,9.815,0.217,-0.222,9.814
113.343,-1.801,0.229,-0.258,9.793,0.227,-0.228,9.809,0.220,-0.223,9.814
113.353,4.058,0.179,-0.201,9.843,0.226,-0.230,9.818,0.222,-0.225,9.814
113.364,-7.905,0.208,-0.222,9.814,0.215,-0.227,9.818,0.221,-0.226,9.815
113.374,-0.336,0.172,-0.186,9.807,0.215,-0.225,9.813,0.220,-0.227,9.815
113.384,-3.144,0.251,-0.251,9.829,0.213,-0.226,9.813,0.218,-0.226,9.814
