R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
175,25,1600,200,25,1900,1200,500,0,0,0,0,7,75,10
sysTime,GRawZ,APT1X,°Raw,°PT1,°PT2,°KFRaw
148.999,-10.712,0.230,-1.345,-1.358,-1.298,-1.285
149.010,-1.557,0.212,-1.009,-1.308,-1.307,-1.262
149.021,8.330,0.211,-1.050,-1.283,-1.304,-1.259
149.032,7.110,0.225,-1.259,-1.278,-1.296,-1.255
149.043,2.959,0.220,-1.348,-1.310,-1.298,-1.264
149.054,5.034,0.218,-1.131,-1.256,-1.294,-1.277
149.065,-2.045,0.212,-1.219,-1.283,-1.291,-1.285
149.076,-1.313,0.205,-1.420,-1.254,-1.282,-1.265
149.087,1.006,0.206,-1.430,-1.272,-1.277,-1.259
149.098,2.593,0.205,-1.294,-1.305,-1.282,-1.240
149.109,-4.120,0.213,-1.213,-1.271,-1.284,-1.231
149.120,4.180,0.227,-1.131,-1.268,-1.281,-1.221
149.131,-3.876,0.232,-1.475,-1.286,-1.281,-1.234
149.142,5.767,0.226,-1.216,-1.259,-1.281,-1.228
149.153,-3.022,0.228,-1.341,-1.296,-1.280,-1.250
149.164,2.471,0.228,-1.174,-1.334,-1.294,-1.282
149.175,6.377,0.226,-0.668,-1.248,-1.298,-1.245
149.186,-1.313,0.222,-1.348,-1.228,-1.276,-1.242
149.198,2.593,0.218,-1.130,-1.210,-1.259,-1.242
149.209,2.105,0.220,-0.880,-1.188,-1.244,-1.259
149.220,2.471,0.225,-1.177,-1.185,-1.227,-1.253
149.231,-3.388,0.230,-1.473,-1.259,-1.228,-1.256
149.242,0.762,0.228,-1.724,-1.338,-1.249,-1.272
149.253,-0.580,0.231,-1.176,-1.319,-1.274,-1.249
149.264,1.128,0.229,-1.347,-1.309,-1.288,-1.238
149.275,-3.632,0.235,-1.007,-1.263,-1.289,-1.253
149.286,2.715,0.236,-1.090,-1.198,-1.270,-1.227
149.297,-6.928,0.223,-1.296,-1.208,-1.252,-1.206
149.308,4.424,0.217,-1.168,-1.201,-1.236,-1.205
149.319,13.946,0.217,-1.422,-1.216,-1.224,-1.196
149.330,-0.580,0.218,-1.515,-1.250,-1.221,-1.188
149.341,1.860,0.212,-1.185,-1.256,-1.232,-1.194
149.352,0.640,0.217,-1.264,-1.256,-1.241,-1.236
149.363,-0.214,0.220,-1.596,-1.320,-1.253,-1.246
149.374,-0.580,0.222,-1.340,-1.328,-1.276,-1.266
149.385,4.546,0.227,-1.291,-1.315,-1.287,-1.265
149.396,-6.562,0.231,-1.344,-1.317,-1.296,-1.256
149.407,-3.998,0.233,-1.130,-1.305,-1.300,-1.237
149.418,4.058,0.225,-1.434,-1.322,-1.304,-1.269
149.429,5.278,0.218,-1.256,-1.258,-1.293,-1.271
149.441,1.860,0.227,-1.472,-1.243,-1.277,-1.283
149.452,2.227,0.226,-0.962,-1.226,-1.266,-1.286
149.463,-0.946,0.227,-1.341,-1.256,-1.259,-1.292
149.474,5.523,0.229,-1.462,-1.244,-1.255,-1.307
149.485,-2.289,0.218,-1.391,-1.259,-1.252,-1.281
149.496,7.110,0.226,-1.179,-1.291,-1.262,-1.301
149.507,5.645,0.229,-1.094,-1.313,-1.278,-1.304
149.518,3.569,0.226,-1.132,-1.306,-1.289,-1.310
149.529,-1.190,0.221,-1.381,-1.297,-1.292,-1.315
149.540,-0.092,0.217,-1.299,-1.277,-1.288,-1.305
149.551,-3.266,0.216,-1.177,-1.265,-1.283,-1.270
149.562,0.273,0.226,-1.216,-1.264,-1.277,-1.272
149.573,1.982,0.225,-1.519,-1.275,-1.273,-1.306
149.584,10.650,0.235,-1.214,-1.313,-1.282,-1.314
149.595,2.471,0.225,-1.172,-1.263,-1.282,-1.292
149.606,0.396,0.229,-1.129,-1.257,-1.274,-1.290
149.617,-7.782,0.228,-0.794,-1.213,-1.269,-1.264
149.628,0.396,0.227,-1.220,-1.245,-1.260,-1.245
149.639,-6.440,0.231,-1.299,-1.201,-1.245,-1.228
149.650,-6.562,0.228,-1.295,-1.235,-1.237,-1.262
149.661,-0.336,0.229,-1.299,-1.266,-1.240,-1.243
149.672,-0.824,0.233,-0.882,-1.215,-1.244,-1.234
149.683,2.227,0.231,-1.305,-1.287,-1.251,-1.263
149.694,-5.829,0.234,-1.300,-1.284,-1.261,-1.280
149.705,-3.022,0.229,-1.349,-1.297,-1.270,-1.295
149.716,-2.411,0.230,-1.259,-1.303,-1.278,-1.297
149.727,2.471,0.227,-1.383,-1.303,-1.283,-1.301
149.738,8.941,0.228,-1.418,-1.344,-1.295,-1.280
149.750,-0.946,0.226,-1.348,-1.317,-1.301,-1.300
149.761,-2.900,0.213,-1.045,-1.315,-1.310,-1.282
149.772,-5.341,0.206,-1.177,-1.288,-1.308,-1.289
149.783,-3.388,0.221,-1.246,-1.263,-1.301,-1.273
149.794,0.640,0.219,-1.426,-1.294,-1.294,-1.243
149.805,0.029,0.220,-1.302,-1.298,-1.295,-1.264
149.816,-5.097,0.226,-1.558,-1.348,-1.303,-1.262
149.827,-9.736,0.227,-1.517,-1.355,-1.317,-1.275
149.838,-2.777,0.226,-1.046,-1.354,-1.333,-1.278
149.849,-3.388,0.227,-1.590,-1.384,-1.342,-1.275
149.860,-5.097,0.227,-1.220,-1.348,-1.348,-1.284
149.871,7.110,0.242,-1.130,-1.305,-1.337,-1.282
149.882,0.151,0.237,-1.393,-1.289,-1.322,-1.270
149.893,-3.754,0.225,-1.307,-1.282,-1.310,-1.257
149.904,-5.829,0.213,-1.172,-1.302,-1.306,-1.252
149.915,7.842,0.215,-1.381,-1.321,-1.307,-1.271
149.926,-0.458,0.230,-1.340,-1.339,-1.314,-1.275
149.937,0.273,0.222,-1.343,-1.363,-1.330,-1.297
149.948,-1.923,0.223,-1.135,-1.335,-1.335,-1.301
149.959,0.762,0.230,-1.045,-1.289,-1.327,-1.292
149.970,-0.702,0.224,-1.343,-1.297,-1.316,-1.326
149.981,-5.829,0.220,-1.131,-1.227,-1.292,-1.320
149.992,-3.022,0.216,-1.214,-1.213,-1.269,-1.315
150.003,-2.655,0.221,-1.016,-1.223,-1.254,-1.352
150.015,-1.313,0.225,-1.428,-1.263,-1.250,-1.367
150.026,9.307,0.222,-1.386,-1.280,-1.257,-1.375
150.037,9.063,0.221,-1.515,-1.321,-1.269,-1.368
150.048,5.034,0.223,-1.260,-1.311,-1.284,-1.358
150.059,1.128,0.226,-1.290,-1.308,-1.293,-1.365
150.070,-10.590,0.229,-1.179,-1.241,-1.282,-1.360
150.081,6.743,0.223,-1.380,-1.293,-1.279,-1.379
150.092,-1.923,0.230,-1.136,-1.289,-1.286,-1.380
150.103,-4.120,0.228,-1.472,-1.313,-1.291,-1.390
150.114,-3.388,0.223,-1.296,-1.277,-1.288,-1.373
150.125,4.302,0.233,-1.635,-1.301,-1.284,-1.371
150.136,-8.149,0.230,-1.386,-1.283,-1.284,-1.347
150.147,-4.975,0.233,-1.632,-1.284,-1.280,-1.379
150.158,8.208,0.233,-0.969,-1.281,-1.285,-1.366
150.169,-3.144,0.229,-1.089,-1.271,-1.281,-1.396
150.180,1.860,0.232,-1.381,-1.258,-1.273,-1.361
150.191,-13.764,0.222,-1.216,-1.318,-1.281,-1.341
150.202,-0.458,0.224,-1.176,-1.306,-1.292,-1.372
150.213,-3.266,0.232,-1.591,-1.320,-1.293,-1.394
150.224,-2.900,0.233,-1.134,-1.292,-1.300,-1.394
150.235,-3.998,0.232,-1.505,-1.306,-1.295,-1.357
150.246,5.034,0.222,-1.210,-1.291,-1.298,-1.370
150.257,1.738,0.229,-1.174,-1.279,-1.292,-1.389
150.269,-1.313,0.224,-1.130,-1.247,-1.282,-1.375
150.280,4.058,0.222,-1.130,-1.260,-1.273,-1.365
150.291,-3.022,0.225,-1.257,-1.286,-1.276,-1.363
150.302,-0.458,0.235,-1.591,-1.304,-1.279,-1.368
150.313,-1.923,0.228,-1.462,-1.331,-1.290,-1.385
150.324,3.814,0.233,-1.096,-1.316,-1.301,-1.390
150.335,3.447,0.228,-1.262,-1.343,-1.314,-1.379
150.346,4.058,0.237,-1.381,-1.330,-1.317,-1.367
150.357,1.128,0.226,-1.136,-1.264,-1.309,-1.345
150.368,-1.435,0.226,-1.469,-1.324,-1.308,-1.366
150.379,5.889,0.223,-1.216,-1.298,-1.306,-1.367
150.390,-4.609,0.228,-1.220,-1.326,-1.314,-1.368
150.401,1.616,0.224,-1.341,-1.289,-1.308,-1.384
150.412,0.151,0.218,-1.337,-1.265,-1.296,-1.386
150.424,1.372,0.214,-1.548,-1.259,-1.283,-1.367
150.435,0.273,0.218,-1.258,-1.229,-1.269,-1.349
150.446,1.860,0.221,-1.130,-1.237,-1.257,-1.345
150.457,-2.167,0.220,-1.349,-1.287,-1.260,-1.347
150.468,-0.092,0.239,-1.175,-1.283,-1.269,-1.316
150.479,-0.580,0.233,-1.474,-1.296,-1.274,-1.306
150.491,4.302,0.228,-1.259,-1.296,-1.279,-1.269
150.502,6.011,0.206,-1.173,-1.305,-1.292,-1.264
150.513,5.034,0.204,-1.213,-1.325,-1.301,-1.265
150.524,-4.486,0.222,-1.007,-1.317,-1.309,-1.269
150.535,-0.702,0.224,-1.470,-1.313,-1.306,-1.298
150.546,6.865,0.227,-1.340,-1.287,-1.303,-1.278
150.557,3.081,0.225,-1.174,-1.291,-1.297,-1.246
150.568,3.203,0.227,-1.128,-1.248,-1.288,-1.223
150.580,3.814,0.222,-1.387,-1.259,-1.276,-1.222
150.591,-7.660,0.220,-1.379,-1.300,-1.280,-1.223
150.602,2.593,0.223,-1.675,-1.330,-1.290,-1.221
150.613,2.349,0.221,-1.555,-1.329,-1.301,-1.220
150.624,-3.632,0.226,-1.132,-1.303,-1.306,-1.226
150.635,-1.068,0.220,-1.346,-1.288,-1.303,-1.207
150.646,0.151,0.218,-1.090,-1.255,-1.291,-1.221
150.658,-1.190,0.219,-1.125,-1.211,-1.272,-1.213
150.669,-1.190,0.223,-1.511,-1.221,-1.254,-1.233
150.680,11.138,0.227,-1.130,-1.221,-1.246,-1.225
150.691,-9.736,0.226,-1.384,-1.320,-1.257,-1.257
150.702,-6.440,0.235,-1.343,-1.301,-1.270,-1.248
150.713,1.860,0.240,-0.923,-1.241,-1.274,-1.215
150.725,1.860,0.236,-1.388,-1.268,-1.268,-1.219
150.736,-5.585,0.235,-1.342,-1.279,-1.270,-1.262
150.747,-4.486,0.229,-1.094,-1.250,-1.266,-1.266
150.758,3.814,0.235,-1.094,-1.208,-1.254,-1.241
150.769,-3.144,0.224,-1.126,-1.175,-1.235,-1.244
150.780,1.982,0.217,-1.218,-1.178,-1.217,-1.242
150.791,-5.097,0.222,-1.216,-1.183,-1.206,-1.228
150.802,-0.946,0.220,-1.554,-1.247,-1.209,-1.261
150.814,-4.731,0.223,-1.217,-1.222,-1.216,-1.242
150.825,-2.167,0.218,-1.423,-1.270,-1.227,-1.248
150.836,1.982,0.221,-1.216,-1.286,-1.243,-1.241
150.847,-1.435,0.226,-1.167,-1.289,-1.257,-1.249
150.858,-1.068,0.222,-1.134,-1.275,-1.268,-1.258
150.869,-2.900,0.211,-1.093,-1.260,-1.267,-1.251
150.880,-0.458,0.210,-1.139,-1.280,-1.273,-1.253
150.892,0.273,0.207,-1.175,-1.277,-1.275,-1.272
150.903,4.058,0.213,-1.047,-1.232,-1.269,-1.268
150.914,2.837,0.222,-1.213,-1.278,-1.269,-1.284
150.925,-0.092,0.217,-1.042,-1.219,-1.262,-1.273
150.936,-1.435,0.217,-1.009,-1.231,-1.254,-1.275
150.947,0.029,0.225,-1.303,-1.216,-1.244,-1.284
150.959,0.518,0.229,-1.172,-1.238,-1.240,-1.298
150.970,2.715,0.229,-1.259,-1.275,-1.246,-1.310
150.981,6.377,0.236,-1.257,-1.273,-1.252,-1.299
150.992,3.814,0.240,-1.047,-1.246,-1.256,-1.303
151.003,-1.557,0.241,-1.181,-1.257,-1.256,-1.272
151.014,3.203,0.236,-1.339,-1.289,-1.262,-1.290
151.025,-0.580,0.230,-1.139,-1.269,-1.269,-1.285
151.037,-3.998,0.218,-1.252,-1.236,-1.262,-1.294
151.048,-1.435,0.213,-1.259,-1.246,-1.259,-1.296
151.059,1.616,0.213,-1.426,-1.286,-1.263,-1.278
151.070,-3.876,0.224,-0.968,-1.214,-1.257,-1.268
151.081,-7.416,0.238,-1.381,-1.284,-1.258,-1.252
151.092,-0.580,0.211,-0.963,-1.330,-1.277,-1.271
151.104,3.692,0.222,-1.503,-1.335,-1.288,-1.262
151.115,3.814,0.216,-1.131,-1.264,-1.292,-1.237
151.126,-5.341,0.223,-1.214,-1.279,-1.291,-1.260
